Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 6.917730e-001  4.147463e+002  6.969205e+000
 6.944070e-001  4.086908e+002  6.922078e+000
 6.970420e-001  4.027837e+002  6.852620e+000
 6.996770e-001  3.995672e+002  6.884980e+000
 7.023110e-001  4.017345e+002  6.791136e+000
 7.049460e-001  3.979708e+002  6.780634e+000
 7.075810e-001  3.906054e+002  6.776738e+000
 7.102150e-001  3.884815e+002  6.708042e+000
 7.128500e-001  3.885519e+002  6.703642e+000
 7.154850e-001  3.908406e+002  6.650248e+000
 7.181190e-001  3.836180e+002  6.654483e+000
 7.207540e-001  3.740494e+002  6.594402e+000
 7.233890e-001  3.718265e+002  6.630896e+000
 7.260230e-001  3.710367e+002  6.592489e+000
 7.286580e-001  3.654050e+002  6.545103e+000
 7.312930e-001  3.738652e+002  6.572132e+000
 7.339270e-001  3.673266e+002  6.541702e+000
 7.365620e-001  3.642979e+002  6.492414e+000
 7.391970e-001  3.632576e+002  6.498917e+000
 7.418310e-001  3.631699e+002  6.500818e+000
 7.444660e-001  3.542755e+002  6.433046e+000
 7.471010e-001  3.539291e+002  6.371093e+000
 7.497350e-001  3.488539e+002  6.388396e+000
 7.523700e-001  3.461126e+002  6.386223e+000
 7.550040e-001  3.359385e+002  6.396248e+000
 7.576390e-001  3.372377e+002  6.506391e+000
 7.602740e-001  3.354788e+002  6.496034e+000
 7.629080e-001  3.326132e+002  6.541919e+000
 7.655430e-001  3.338285e+002  6.636046e+000
 7.681780e-001  3.313130e+002  6.667730e+000
 7.708120e-001  3.237250e+002  6.598637e+000
 7.734470e-001  3.196929e+002  6.620612e+000
 7.760820e-001  3.200348e+002  6.657243e+000
 7.787160e-001  3.190479e+002  6.593507e+000
 7.813510e-001  3.180652e+002  6.578708e+000
 7.839860e-001  3.214804e+002  6.564272e+000
 7.866200e-001  3.086494e+002  6.404668e+000
 7.892550e-001  3.044622e+002  6.326797e+000
 7.918900e-001  3.057382e+002  6.247779e+000
 7.945240e-001  3.082485e+002  6.224986e+000
 7.971590e-001  3.006795e+002  6.144272e+000
 7.997940e-001  2.964144e+002  6.146926e+000
 8.024280e-001  2.925849e+002  6.074949e+000
 8.050630e-001  2.897580e+002  6.053538e+000
 8.076980e-001  2.916921e+002  6.052154e+000
 8.103320e-001  2.913180e+002  6.060531e+000
 8.129670e-001  2.947351e+002  6.061171e+000
 8.156020e-001  2.919273e+002  6.012127e+000
 8.182360e-001  2.843014e+002  5.951076e+000
 8.208710e-001  2.842972e+002  5.941344e+000
 8.235050e-001  2.780307e+002  5.945573e+000
 8.261400e-001  2.725843e+002  5.875924e+000
 8.287750e-001  2.658056e+002  5.780266e+000
 8.314090e-001  2.662571e+002  5.800330e+000
 8.340440e-001  2.642479e+002  5.768694e+000
 8.366790e-001  2.677059e+002  5.765036e+000
 8.393130e-001  2.635415e+002  5.763374e+000
 8.419480e-001  2.564206e+002  5.685074e+000
 8.445830e-001  2.580394e+002  5.679141e+000
 8.472170e-001  2.565889e+002  5.663238e+000
 8.498520e-001  2.501205e+002  5.583763e+000
 8.524870e-001  2.449723e+002  5.581929e+000
 8.551210e-001  2.479015e+002  5.566174e+000
 8.577560e-001  2.502907e+002  5.572460e+000
 8.603910e-001  2.494123e+002  5.531928e+000
 8.630250e-001  2.469875e+002  5.552386e+000
 8.656600e-001  2.468698e+002  5.542717e+000
 8.682950e-001  2.397499e+002  5.470008e+000
 8.709290e-001  2.380548e+002  5.488184e+000
 8.735640e-001  2.363586e+002  5.411896e+000
 8.761990e-001  2.350245e+002  5.463556e+000
 8.788330e-001  2.343795e+002  5.468202e+000
 8.814680e-001  2.324774e+002  5.434335e+000
 8.841030e-001  2.318239e+002  5.498014e+000
 8.867370e-001  2.287141e+002  5.463755e+000
 8.893720e-001  2.211097e+002  5.417251e+000
 8.920070e-001  2.194694e+002  5.378844e+000
 8.946410e-001  2.173361e+002  5.356074e+000
 8.972760e-001  2.167287e+002  5.355455e+000
 8.999100e-001  2.146533e+002  5.322804e+000
 9.025450e-001  2.144806e+002  5.347875e+000
 9.051800e-001  2.109016e+002  5.272486e+000
 9.078140e-001  2.128417e+002  5.252384e+000
 9.104490e-001  2.115937e+002  5.274806e+000
 9.130840e-001  2.100580e+002  5.298395e+000
 9.157180e-001  2.098461e+002  5.317481e+000
 9.183530e-001  2.027429e+002  5.348906e+000
 9.209880e-001  2.004199e+002  5.424553e+000
 9.236220e-001  1.989623e+002  5.447908e+000
 9.262570e-001  1.983058e+002  5.446026e+000
 9.288920e-001  1.943373e+002  5.502926e+000
 9.315260e-001  1.977194e+002  5.498740e+000
 9.341610e-001  1.984677e+002  5.564722e+000
 9.367960e-001  1.993496e+002  5.585131e+000
 9.394300e-001  1.916946e+002  5.516834e+000
 9.420650e-001  1.795566e+002  5.524157e+000
 9.447000e-001  1.803657e+002  5.543501e+000
 9.473340e-001  1.878620e+002  5.625570e+000
 9.499690e-001  1.870503e+002  5.577472e+000
 9.526040e-001  1.817582e+002  5.559450e+000
 9.552380e-001  1.782115e+002  5.565517e+000
 9.578730e-001  1.818507e+002  5.589915e+000
 9.605080e-001  1.821355e+002  5.603947e+000
 9.631420e-001  1.866748e+002  5.629345e+000
 9.657770e-001  1.805638e+002  5.660596e+000
 9.684110e-001  1.726919e+002  5.654985e+000
 9.710460e-001  1.689383e+002  5.505230e+000
 9.736810e-001  1.691310e+002  5.413538e+000
 9.763150e-001  1.683826e+002  5.361877e+000
 9.789500e-001  1.669635e+002  5.330668e+000
