Sample description: Sub_Ave_harp_0077_803-Ave_Tp_0076_50
Sample: Sub_Ave_harp_00  c= 0 mg/ml  Code: 
 1.548721e+000  2.091349e-003  2.900288e-005
 1.554350e+000  2.038866e-003  2.885975e-005
 1.559979e+000  2.042884e-003  2.883481e-005
 1.565608e+000  2.043498e-003  2.875318e-005
 1.571237e+000  1.930368e-003  2.867570e-005
 1.576866e+000  1.899791e-003  2.861067e-005
 1.582494e+000  1.870660e-003  2.848556e-005
 1.588123e+000  1.806272e-003  2.848420e-005
 1.593752e+000  1.740989e-003  2.832654e-005
 1.599381e+000  1.661659e-003  2.828920e-005
 1.605009e+000  1.683213e-003  2.825912e-005
 1.610638e+000  1.642670e-003  2.814608e-005
 1.616267e+000  1.619851e-003  2.812713e-005
 1.621895e+000  1.635221e-003  2.803849e-005
 1.627524e+000  1.645338e-003  2.803517e-005
 1.633152e+000  1.618779e-003  2.795616e-005
 1.638781e+000  1.574864e-003  2.784940e-005
 1.644409e+000  1.535284e-003  2.785133e-005
 1.650038e+000  1.521621e-003  2.775063e-005
 1.655666e+000  1.509922e-003  2.770227e-005
 1.661294e+000  1.478716e-003  2.761729e-005
 1.666923e+000  1.497809e-003  2.760056e-005
 1.672551e+000  1.457973e-003  2.755390e-005
 1.678179e+000  1.463467e-003  2.745200e-005
 1.683808e+000  1.427715e-003  2.744815e-005
 1.689436e+000  1.337384e-003  2.732815e-005
 1.695064e+000  1.382885e-003  2.728097e-005
 1.700692e+000  1.354563e-003  2.723130e-005
 1.706320e+000  1.294097e-003  2.712883e-005
 1.711948e+000  1.303627e-003  2.711812e-005
 1.717576e+000  1.347241e-003  2.701528e-005
 1.723204e+000  1.332198e-003  2.700945e-005
 1.728832e+000  1.197864e-003  2.691759e-005
 1.734460e+000  1.225202e-003  2.686169e-005
 1.740088e+000  1.245197e-003  2.685491e-005
 1.745716e+000  1.211622e-003  2.676997e-005
 1.751344e+000  1.200448e-003  2.675719e-005
 1.756972e+000  1.211273e-003  2.667266e-005
 1.762600e+000  1.184067e-003  2.661931e-005
 1.768227e+000  1.156261e-003  2.656197e-005
 1.773855e+000  1.127862e-003  2.650431e-005
 1.779483e+000  1.095870e-003  2.645794e-005
 1.785110e+000  1.114114e-003  2.636596e-005
 1.790738e+000  1.130990e-003  2.636703e-005
 1.796365e+000  1.113262e-003  2.628776e-005
 1.801993e+000  1.061041e-003  2.621370e-005
 1.807621e+000  1.073640e-003  2.617856e-005
 1.813248e+000  1.120193e-003  2.610627e-005
 1.818875e+000  1.040603e-003  2.609388e-005
 1.824503e+000  1.005143e-003  2.598238e-005
 1.830130e+000  9.588457e-004  2.596150e-005
 1.835758e+000  9.313794e-004  2.592884e-005
 1.841385e+000  9.657123e-004  2.582744e-005
 1.847012e+000  9.580372e-004  2.582632e-005
 1.852639e+000  9.024061e-004  2.571563e-005
 1.858266e+000  9.306408e-004  2.573001e-005
 1.863894e+000  9.192993e-004  2.564957e-005
 1.869521e+000  8.680225e-004  2.557395e-005
 1.875148e+000  8.687742e-004  2.558891e-005
 1.880775e+000  8.923205e-004  2.550526e-005
 1.886402e+000  8.239835e-004  2.548153e-005
 1.892029e+000  7.900020e-004  2.542983e-005
 1.897656e+000  8.109266e-004  2.537648e-005
 1.903283e+000  8.391204e-004  2.537109e-005
 1.908910e+000  8.456748e-004  2.527336e-005
 1.914536e+000  8.044653e-004  2.525972e-005
 1.920163e+000  8.000507e-004  2.519545e-005
 1.925790e+000  8.204523e-004  2.516969e-005
 1.931417e+000  8.869458e-004  2.515958e-005
 1.937043e+000  8.106658e-004  2.506606e-005
 1.942670e+000  7.338813e-004  2.503384e-005
 1.948297e+000  7.294724e-004  2.494552e-005
 1.953923e+000  7.307634e-004  2.492998e-005
 1.959550e+000  6.890113e-004  2.486875e-005
 1.965176e+000  7.020901e-004  2.483359e-005
 1.970803e+000  7.513457e-004  2.481242e-005
 1.976429e+000  7.434633e-004  2.472882e-005
 1.982055e+000  7.032857e-004  2.471465e-005
 1.987682e+000  7.236879e-004  2.466732e-005
 1.993308e+000  7.041946e-004  2.464056e-005
 1.998934e+000  6.332882e-004  2.459400e-005
 2.004560e+000  6.575339e-004  2.452433e-005
 2.010187e+000  6.663181e-004  2.453543e-005
 2.015813e+000  6.552904e-004  2.446397e-005
 2.021439e+000  6.260541e-004  2.441909e-005
 2.027065e+000  6.093391e-004  2.435225e-005
 2.032691e+000  6.375919e-004  2.465648e-005
 2.038317e+000  6.915366e-004  2.504745e-005
 2.043943e+000  6.703095e-004  2.522488e-005
 2.049569e+000  6.613070e-004  2.542354e-005
 2.055195e+000  6.372011e-004  2.554392e-005
 2.060820e+000  6.192692e-004  2.567950e-005
 2.066446e+000  6.956076e-004  2.580712e-005
 2.072072e+000  6.365163e-004  2.586488e-005
 2.077698e+000  6.399094e-004  2.599194e-005
 2.083323e+000  6.318318e-004  2.596206e-005
 2.088949e+000  6.052107e-004  2.599681e-005
 2.094575e+000  5.940167e-004  2.600283e-005
 2.100200e+000  5.672620e-004  2.599073e-005
 2.105826e+000  5.502278e-004  2.606885e-005
 2.111451e+000  5.750084e-004  2.602187e-005
 2.117077e+000  5.849839e-004  2.605460e-005
 2.122702e+000  6.154657e-004  2.603949e-005
 2.128327e+000  5.769589e-004  2.603967e-005
 2.133953e+000  5.211385e-004  2.603917e-005
 2.139578e+000  5.737722e-004  2.601756e-005
 2.145203e+000  5.835464e-004  2.606661e-005
 2.150828e+000  5.727227e-004  2.598967e-005
 2.156453e+000  5.894590e-004  2.556855e-005
 2.162078e+000  6.370622e-004  2.511705e-005
 2.167704e+000  5.617849e-004  2.480908e-005
 2.173329e+000  5.196953e-004  2.466960e-005
 2.178954e+000  5.853457e-004  2.447103e-005
 2.184578e+000  5.550853e-004  2.433039e-005
 2.190203e+000  4.869363e-004  2.416112e-005
 2.195828e+000  5.075802e-004  2.402973e-005
 2.201453e+000  5.159620e-004  2.394423e-005
 2.207078e+000  4.950484e-004  2.379438e-005
 2.212702e+000  5.023934e-004  2.373635e-005
 2.218327e+000  4.484723e-004  2.365845e-005
 2.223952e+000  5.008012e-004  2.363946e-005
 2.229576e+000  5.504396e-004  2.361029e-005
 2.235201e+000  5.020707e-004  2.354187e-005
 2.240825e+000  4.882298e-004  2.354043e-005
 2.246450e+000  5.063534e-004  2.347415e-005
 2.252074e+000  5.386847e-004  2.348927e-005
 2.257699e+000  5.332421e-004  2.347231e-005
 2.263323e+000  5.242225e-004  2.342052e-005
 2.268947e+000  4.667129e-004  2.338789e-005
 2.274572e+000  4.778111e-004  2.332120e-005
 2.280196e+000  5.304241e-004  2.333640e-005
 2.285820e+000  5.554780e-004  2.333397e-005
 2.291444e+000  5.118147e-004  2.332008e-005
 2.297068e+000  5.371649e-004  2.335568e-005
 2.302692e+000  5.138900e-004  2.330734e-005
 2.308316e+000  4.693858e-004  2.331361e-005
 2.313940e+000  4.314970e-004  2.325981e-005
 2.319564e+000  4.441949e-004  2.322889e-005
 2.325188e+000  5.224712e-004  2.322361e-005
 2.330812e+000  5.419071e-004  2.320098e-005
 2.336435e+000  5.099511e-004  2.321171e-005
 2.342059e+000  5.407347e-004  2.318840e-005
 2.347683e+000  4.705393e-004  2.318461e-005
 2.353306e+000  3.873019e-004  2.313336e-005
 2.358930e+000  3.847951e-004  2.309842e-005
 2.364553e+000  4.137575e-004  2.310190e-005
 2.370177e+000  4.351979e-004  2.304726e-005
 2.375800e+000  4.554624e-004  2.306688e-005
 2.381424e+000  4.397929e-004  2.302598e-005
 2.387047e+000  4.117696e-004  2.301151e-005
 2.392670e+000  4.071146e-004  2.298917e-005
 2.398294e+000  3.993996e-004  2.294701e-005
 2.403917e+000  3.931049e-004  2.298127e-005
 2.409540e+000  4.391373e-004  2.294288e-005
 2.415163e+000  4.428258e-004  2.296110e-005
 2.420786e+000  4.480897e-004  2.291948e-005
 2.426409e+000  4.739122e-004  2.289502e-005
 2.432032e+000  4.690413e-004  2.289302e-005
