Sample description: Sub_Ave_arc4_0073_818-Ave_Tp_0072_315
Sample: Sub_Ave_arc4_00  c= 0 mg/ml  Code: 
 2.117075e+000  1.297120e-003  2.652074e-005
 2.122701e+000  1.301240e-003  2.662479e-005
 2.128326e+000  1.306076e-003  2.674245e-005
 2.133951e+000  1.229287e-003  2.684807e-005
 2.139576e+000  1.151773e-003  2.688173e-005
 2.145202e+000  1.083098e-003  2.701812e-005
 2.150827e+000  1.138919e-003  2.705214e-005
 2.156452e+000  1.225442e-003  2.674787e-005
 2.162077e+000  1.221192e-003  2.637717e-005
 2.167702e+000  1.184758e-003  2.616010e-005
 2.173327e+000  1.146009e-003  2.608029e-005
 2.178952e+000  1.200279e-003  2.593812e-005
 2.184577e+000  1.158130e-003  2.589155e-005
 2.190202e+000  1.148087e-003  2.580473e-005
 2.195827e+000  1.211012e-003  2.574064e-005
 2.201452e+000  1.141987e-003  2.568566e-005
 2.207076e+000  1.150724e-003  2.553737e-005
 2.212701e+000  1.123683e-003  2.548028e-005
 2.218326e+000  1.040337e-003  2.540497e-005
 2.223950e+000  1.056177e-003  2.538040e-005
 2.229575e+000  1.033540e-003  2.531932e-005
 2.235199e+000  1.002291e-003  2.524822e-005
 2.240824e+000  9.344785e-004  2.523598e-005
 2.246448e+000  9.064795e-004  2.515660e-005
 2.252073e+000  9.365996e-004  2.516265e-005
 2.257697e+000  9.355201e-004  2.512406e-005
 2.263322e+000  9.070849e-004  2.507855e-005
 2.268946e+000  8.285314e-004  2.506333e-005
 2.274570e+000  8.538487e-004  2.499398e-005
 2.280194e+000  8.677267e-004  2.498972e-005
 2.285818e+000  7.759191e-004  2.495198e-005
 2.291442e+000  7.724345e-004  2.494406e-005
 2.297067e+000  8.295594e-004  2.498098e-005
 2.302691e+000  8.252183e-004  2.492626e-005
 2.308315e+000  8.067910e-004  2.492762e-005
 2.313938e+000  7.611784e-004  2.487774e-005
 2.319562e+000  7.657061e-004  2.485646e-005
 2.325186e+000  8.080444e-004  2.484283e-005
 2.330810e+000  7.625501e-004  2.480190e-005
 2.336434e+000  7.299780e-004  2.479310e-005
 2.342057e+000  7.302380e-004  2.477128e-005
 2.347681e+000  7.109130e-004  2.476675e-005
 2.353305e+000  6.820796e-004  2.471547e-005
 2.358928e+000  6.582947e-004  2.467391e-005
 2.364552e+000  7.325400e-004  2.468496e-005
 2.370175e+000  7.563268e-004  2.462774e-005
 2.375799e+000  6.881798e-004  2.462374e-005
 2.381422e+000  5.902878e-004  2.455268e-005
 2.387045e+000  5.632670e-004  2.455437e-005
 2.392669e+000  6.174996e-004  2.456784e-005
 2.398292e+000  6.089977e-004  2.452052e-005
 2.403915e+000  6.370930e-004  2.454053e-005
 2.409538e+000  6.613795e-004  2.448017e-005
 2.415162e+000  6.016018e-004  2.447407e-005
 2.420785e+000  5.469582e-004  2.442150e-005
 2.426408e+000  5.512170e-004  2.440023e-005
 2.432031e+000  5.016863e-004  2.439986e-005
 2.437653e+000  4.804802e-004  2.433066e-005
 2.443276e+000  5.567419e-004  2.437140e-005
 2.448899e+000  5.322596e-004  2.434125e-005
 2.454522e+000  5.252408e-004  2.430712e-005
 2.460145e+000  4.960622e-004  2.430535e-005
 2.465767e+000  4.743231e-004  2.424363e-005
 2.471390e+000  4.846930e-004  2.426253e-005
 2.477013e+000  4.575666e-004  2.421012e-005
 2.482635e+000  4.884515e-004  2.421786e-005
 2.488258e+000  4.143690e-004  2.418911e-005
 2.493880e+000  4.079442e-004  2.414051e-005
 2.499503e+000  4.049172e-004  2.415967e-005
