Sample description: DCC56ArgN11 AMS
Sample: DCC56ArgN11 AMS  c= 3.8800 mg/ml  Code: DArgN11
Parent(s): processed/subtracted/DArgN11_0024_sub.dat
  3.909560e-01   6.156660e+02   1.081820e+01
  3.929520e-01   6.299075e+02   1.085600e+01
  3.949480e-01   6.081701e+02   1.061054e+01
  3.969440e-01   6.283701e+02   1.078314e+01
  3.989400e-01   6.116678e+02   1.063115e+01
  4.009360e-01   6.189936e+02   1.068037e+01
  4.029320e-01   6.175541e+02   1.055172e+01
  4.049280e-01   5.959554e+02   1.039975e+01
  4.069240e-01   5.830637e+02   1.038582e+01
  4.089200e-01   5.934062e+02   1.032907e+01
  4.109160e-01   5.801134e+02   1.029503e+01
  4.129120e-01   5.856910e+02   1.019493e+01
  4.149080e-01   5.899183e+02   1.023763e+01
  4.169040e-01   5.717394e+02   1.012743e+01
  4.189010e-01   5.868601e+02   1.011570e+01
  4.208970e-01   5.703044e+02   1.004509e+01
  4.228930e-01   5.732296e+02   9.962363e+00
  4.248890e-01   5.764523e+02   1.007428e+01
  4.268850e-01   5.506845e+02   9.851461e+00
  4.288810e-01   5.453106e+02   9.746317e+00
  4.308770e-01   5.545814e+02   9.848853e+00
  4.328730e-01   5.512848e+02   9.744982e+00
  4.348690e-01   5.388951e+02   9.780448e+00
  4.368650e-01   5.462374e+02   9.698866e+00
  4.388610e-01   5.431299e+02   9.700809e+00
  4.408570e-01   5.268356e+02   9.678696e+00
  4.428530e-01   5.359369e+02   9.600621e+00
  4.448490e-01   5.415335e+02   9.765580e+00
  4.468450e-01   5.331966e+02   9.614956e+00
  4.488410e-01   5.256211e+02   9.520116e+00
  4.508370e-01   5.351832e+02   9.688554e+00
  4.528330e-01   5.260626e+02   9.503729e+00
  4.548290e-01   5.214253e+02   9.505925e+00
  4.568250e-01   5.108485e+02   9.452737e+00
  4.588210e-01   5.187289e+02   9.484425e+00
  4.608170e-01   5.186639e+02   9.468577e+00
  4.628130e-01   4.960686e+02   9.278482e+00
  4.648090e-01   4.904428e+02   9.398518e+00
  4.668050e-01   4.987518e+02   9.248191e+00
  4.688010e-01   4.825010e+02   9.273647e+00
  4.707970e-01   4.879706e+02   9.256397e+00
  4.727930e-01   4.876523e+02   9.217206e+00
  4.747890e-01   4.859649e+02   9.229822e+00
  4.767850e-01   4.785701e+02   9.140278e+00
  4.787810e-01   4.791619e+02   9.178982e+00
  4.807770e-01   4.722351e+02   9.033832e+00
  4.827730e-01   4.760590e+02   9.100492e+00
  4.847690e-01   4.873010e+02   9.155920e+00
  4.867650e-01   4.695281e+02   9.009768e+00
  4.887610e-01   4.713134e+02   9.035005e+00
  4.907570e-01   4.742268e+02   8.915735e+00
  4.927530e-01   4.789472e+02   9.056477e+00
  4.947490e-01   4.520686e+02   8.901276e+00
  4.967450e-01   4.526289e+02   8.849186e+00
  4.987410e-01   4.673557e+02   8.916541e+00
  5.007370e-01   4.654616e+02   8.901582e+00
  5.027330e-01   4.497979e+02   8.850611e+00
  5.047290e-01   4.463812e+02   8.708477e+00
  5.067260e-01   4.224423e+02   8.706871e+00
  5.087220e-01   4.386966e+02   8.756126e+00
  5.107180e-01   4.500951e+02   8.715722e+00
  5.127140e-01   4.428820e+02   8.689848e+00
  5.147100e-01   4.250691e+02   8.563619e+00
  5.167060e-01   4.351606e+02   8.631528e+00
  5.187020e-01   4.329626e+02   8.648407e+00
  5.206980e-01   4.322168e+02   8.548420e+00
  5.226940e-01   4.346856e+02   8.591863e+00
  5.246900e-01   4.238015e+02   8.497492e+00
  5.266860e-01   4.232361e+02   8.539461e+00
  5.286820e-01   4.157673e+02   8.459144e+00
  5.306780e-01   4.012869e+02   8.393268e+00
  5.326740e-01   4.023250e+02   8.466131e+00
  5.346700e-01   4.081178e+02   8.387997e+00
  5.366660e-01   4.122513e+02   8.437871e+00
  5.386620e-01   4.107590e+02   8.382832e+00
  5.406580e-01   3.951284e+02   8.317812e+00
  5.426540e-01   3.739657e+02   8.298608e+00
  5.446500e-01   4.070232e+02   8.318080e+00
  5.466460e-01   4.072080e+02   8.378559e+00
  5.486420e-01   3.838760e+02   8.173335e+00
  5.506380e-01   3.917969e+02   8.327108e+00
  5.526340e-01   3.862157e+02   8.178619e+00
  5.546300e-01   3.883722e+02   8.162304e+00
  5.566260e-01   3.754111e+02   8.218686e+00
  5.586220e-01   3.827544e+02   8.071082e+00
  5.606180e-01   3.786500e+02   8.207374e+00
  5.626140e-01   3.705456e+02   8.098077e+00
  5.646100e-01   3.646430e+02   8.009492e+00
  5.666060e-01   3.786263e+02   8.078170e+00
  5.686020e-01   3.773010e+02   8.049436e+00
  5.705980e-01   3.537724e+02   8.021454e+00
  5.725940e-01   3.681237e+02   7.955263e+00
  5.745900e-01   3.680840e+02   8.008193e+00
  5.765860e-01   3.588863e+02   7.916853e+00
  5.785820e-01   3.668894e+02   7.943698e+00
  5.805780e-01   3.580557e+02   7.946866e+00
  5.825740e-01   3.532771e+02   7.862546e+00
  5.845700e-01   3.516281e+02   7.880273e+00
  5.865660e-01   3.400745e+02   7.812647e+00
  5.885620e-01   3.399869e+02   7.772776e+00
  5.905580e-01   3.469302e+02   7.767892e+00
  5.925550e-01   3.465358e+02   7.763286e+00
  5.945510e-01   3.312010e+02   7.769142e+00
  5.965470e-01   3.448206e+02   7.757691e+00
  5.985430e-01   3.447335e+02   7.746619e+00
  6.005390e-01   3.459590e+02   7.716258e+00
  6.025350e-01   3.478046e+02   7.719603e+00
  6.045310e-01   3.401415e+02   7.684144e+00
  6.065270e-01   3.250271e+02   7.548482e+00
  6.085230e-01   3.246134e+02   7.684508e+00
  6.105190e-01   3.149046e+02   7.595948e+00
  6.125150e-01   3.335768e+02   7.649580e+00
  6.145110e-01   3.171229e+02   7.486271e+00
  6.165070e-01   3.236487e+02   7.564036e+00
  6.185030e-01   3.225268e+02   7.612851e+00
  6.204990e-01   3.168433e+02   7.490990e+00
