Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 6.824950e-001  1.057310e+001  1.730977e-001
 6.852300e-001  1.045405e+001  1.699678e-001
 6.879660e-001  1.055997e+001  1.728066e-001
 6.907010e-001  1.024320e+001  1.699500e-001
 6.934360e-001  1.008915e+001  1.676798e-001
 6.961710e-001  1.053980e+001  1.715446e-001
 6.989060e-001  1.041305e+001  1.716636e-001
 7.016410e-001  1.045080e+001  1.687667e-001
 7.043760e-001  1.067793e+001  1.750829e-001
 7.071110e-001  9.987350e+000  1.656506e-001
 7.098460e-001  1.021610e+001  1.679224e-001
 7.125810e-001  9.799975e+000  1.671547e-001
 7.153160e-001  9.864025e+000  1.649931e-001
 7.180510e-001  9.588325e+000  1.592511e-001
 7.207870e-001  9.935050e+000  1.672673e-001
 7.235220e-001  9.602350e+000  1.647901e-001
 7.262570e-001  9.183875e+000  1.630948e-001
 7.289920e-001  9.632325e+000  1.612589e-001
 7.317270e-001  9.424300e+000  1.625534e-001
 7.344620e-001  9.558850e+000  1.626885e-001
 7.371970e-001  9.459250e+000  1.637615e-001
 7.399320e-001  9.194975e+000  1.606621e-001
 7.426670e-001  9.385725e+000  1.643091e-001
 7.454020e-001  9.227025e+000  1.619076e-001
 7.481370e-001  9.152375e+000  1.614216e-001
 7.508720e-001  9.261900e+000  1.619576e-001
 7.536080e-001  9.084500e+000  1.600946e-001
 7.563430e-001  8.943350e+000  1.607644e-001
 7.590780e-001  9.526550e+000  1.638793e-001
 7.618130e-001  9.472125e+000  1.664391e-001
 7.645480e-001  9.047375e+000  1.597212e-001
 7.672830e-001  8.996600e+000  1.607590e-001
 7.700180e-001  8.919100e+000  1.599700e-001
 7.727530e-001  8.849550e+000  1.591246e-001
 7.754880e-001  8.453100e+000  1.568937e-001
 7.782230e-001  8.820725e+000  1.578929e-001
 7.809580e-001  8.509425e+000  1.582469e-001
 7.836940e-001  8.709525e+000  1.566662e-001
 7.864290e-001  8.251275e+000  1.533635e-001
 7.891640e-001  8.570850e+000  1.565635e-001
 7.918990e-001  8.372525e+000  1.546191e-001
 7.946340e-001  8.693800e+000  1.602572e-001
 7.973690e-001  8.355050e+000  1.538822e-001
 8.001040e-001  8.229375e+000  1.546951e-001
 8.028390e-001  8.391150e+000  1.553823e-001
 8.055740e-001  8.388200e+000  1.545564e-001
 8.083090e-001  8.210650e+000  1.566435e-001
 8.110440e-001  8.425400e+000  1.602499e-001
 8.137790e-001  8.183400e+000  1.561610e-001
 8.165150e-001  8.212325e+000  1.561578e-001
 8.192500e-001  8.274550e+000  1.599342e-001
 8.219850e-001  8.091875e+000  1.611589e-001
 8.247200e-001  7.991225e+000  1.605753e-001
 8.274550e-001  7.698775e+000  1.536681e-001
 8.301900e-001  7.934425e+000  1.564830e-001
 8.329250e-001  7.862675e+000  1.569387e-001
 8.356600e-001  7.717550e+000  1.559891e-001
 8.383950e-001  7.594775e+000  1.557227e-001
 8.411300e-001  7.821175e+000  1.579154e-001
 8.438650e-001  7.627350e+000  1.552109e-001
 8.466010e-001  7.672375e+000  1.585965e-001
 8.493360e-001  7.789625e+000  1.636225e-001
 8.520710e-001  7.559325e+000  1.568944e-001
 8.548060e-001  7.803725e+000  1.641462e-001
 8.575410e-001  7.467375e+000  1.577977e-001
 8.602760e-001  7.436425e+000  1.601499e-001
 8.630110e-001  7.475650e+000  1.575076e-001
 8.657460e-001  7.626800e+000  1.567150e-001
 8.684810e-001  7.485175e+000  1.596559e-001
 8.712160e-001  7.058650e+000  1.551876e-001
 8.739510e-001  7.128050e+000  1.563828e-001
 8.766860e-001  7.150825e+000  1.588743e-001
 8.794220e-001  7.083025e+000  1.551439e-001
 8.821570e-001  7.244700e+000  1.559001e-001
 8.848920e-001  6.727675e+000  1.528468e-001
 8.876270e-001  6.996700e+000  1.583109e-001
 8.903620e-001  6.968600e+000  1.582495e-001
 8.930970e-001  6.887125e+000  1.554115e-001
 8.958320e-001  6.696450e+000  1.543580e-001
 8.985670e-001  6.965850e+000  1.593095e-001
 9.013020e-001  6.927600e+000  1.618984e-001
 9.040370e-001  6.817575e+000  1.588970e-001
 9.067720e-001  6.971375e+000  1.575689e-001
 9.095070e-001  6.780725e+000  1.581894e-001
 9.122430e-001  6.784600e+000  1.560464e-001
 9.149780e-001  6.657450e+000  1.582221e-001
 9.177130e-001  6.757675e+000  1.591362e-001
 9.204480e-001  6.665425e+000  1.576779e-001
 9.231830e-001  6.790500e+000  1.559576e-001
 9.259180e-001  6.549075e+000  1.592964e-001
 9.286530e-001  6.459300e+000  1.567376e-001
 9.313880e-001  6.224025e+000  1.534604e-001
 9.341230e-001  6.727775e+000  1.579045e-001
 9.368580e-001  6.534000e+000  1.575933e-001
