 08-Dec-2011       (ela_006.dat - 1.0*Aver(ela_005.dat,ela_007.dat) /  1.8000 
 ela_006.dat  Conc = .18E+01  N1 =    1  N2 = 2170
 ela_005.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
 ela_007.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
  0.565052E+00  0.120763E+02  0.286451E+00
  0.567792E+00  0.118150E+02  0.283727E+00
  0.570533E+00  0.119462E+02  0.285256E+00
  0.573273E+00  0.113698E+02  0.283459E+00
  0.576013E+00  0.117338E+02  0.281886E+00
  0.578754E+00  0.114068E+02  0.280770E+00
  0.581494E+00  0.113181E+02  0.281407E+00
  0.584234E+00  0.112824E+02  0.276744E+00
  0.586974E+00  0.107772E+02  0.279614E+00
  0.589715E+00  0.112220E+02  0.280277E+00
  0.592455E+00  0.112503E+02  0.279829E+00
  0.595195E+00  0.110457E+02  0.284602E+00
  0.597936E+00  0.104031E+02  0.274995E+00
  0.600676E+00  0.109406E+02  0.278380E+00
  0.603416E+00  0.104640E+02  0.273676E+00
  0.606157E+00  0.102853E+02  0.272585E+00
  0.608897E+00  0.105652E+02  0.270969E+00
  0.611637E+00  0.103188E+02  0.272905E+00
  0.614378E+00  0.101742E+02  0.270889E+00
  0.617118E+00  0.980139E+01  0.272408E+00
  0.619858E+00  0.101042E+02  0.267945E+00
  0.622598E+00  0.103197E+02  0.273009E+00
  0.625339E+00  0.100535E+02  0.269105E+00
  0.628079E+00  0.997147E+01  0.273610E+00
  0.630819E+00  0.920550E+01  0.264121E+00
  0.633560E+00  0.969378E+01  0.263076E+00
  0.636300E+00  0.944983E+01  0.270853E+00
  0.639040E+00  0.899483E+01  0.262701E+00
  0.641781E+00  0.911422E+01  0.261483E+00
  0.644521E+00  0.903336E+01  0.262687E+00
  0.647261E+00  0.905178E+01  0.258723E+00
  0.650002E+00  0.934981E+01  0.264117E+00
  0.652742E+00  0.855247E+01  0.262135E+00
  0.655482E+00  0.896200E+01  0.258900E+00
  0.658222E+00  0.844475E+01  0.264499E+00
  0.660963E+00  0.846467E+01  0.254267E+00
  0.663703E+00  0.840714E+01  0.260966E+00
  0.666443E+00  0.853219E+01  0.256281E+00
  0.669184E+00  0.843994E+01  0.255411E+00
  0.671924E+00  0.821300E+01  0.255959E+00
  0.674664E+00  0.794114E+01  0.255453E+00
  0.677405E+00  0.819608E+01  0.257327E+00
  0.680145E+00  0.818581E+01  0.252515E+00
  0.682885E+00  0.830147E+01  0.257607E+00
  0.685626E+00  0.797300E+01  0.258777E+00
  0.688366E+00  0.784742E+01  0.251622E+00
  0.691106E+00  0.769697E+01  0.252404E+00
  0.693846E+00  0.740856E+01  0.250519E+00
  0.696587E+00  0.783536E+01  0.255432E+00
  0.699327E+00  0.762333E+01  0.247875E+00
  0.702067E+00  0.733553E+01  0.247789E+00
  0.704808E+00  0.732658E+01  0.247001E+00
  0.707548E+00  0.713428E+01  0.249020E+00
  0.710288E+00  0.739889E+01  0.248929E+00
  0.713029E+00  0.740711E+01  0.245027E+00
  0.715769E+00  0.703369E+01  0.247174E+00
  0.718509E+00  0.696733E+01  0.250441E+00
  0.721250E+00  0.717644E+01  0.250146E+00
