
Sample:   c= 0 mg/ml  Code: 
 2.211000e+000  1.575093e-003  1.011832e-003
 2.220000e+000  1.674736e-003  1.007796e-003
 2.230000e+000  1.652203e-003  1.002274e-003
 2.240000e+000  1.066030e-003  1.004517e-003
 2.250000e+000  8.282570e-004  1.003519e-003
 2.259000e+000  1.906096e-003  9.991575e-004
 2.269000e+000  8.182318e-004  1.000874e-003
 2.279000e+000  1.929994e-003  9.891944e-004
 2.289000e+000  7.167761e-004  9.804020e-004
 2.298000e+000  1.687786e-003  9.818381e-004
 2.308000e+000  1.522971e-003  9.792000e-004
 2.318000e+000  7.701413e-004  9.773285e-004
 2.327000e+000  1.455531e-003  9.773996e-004
 2.337000e+000  7.030093e-004  9.773266e-004
 2.347000e+000  5.966364e-004  9.760763e-004
 2.357000e+000  2.458745e-003  9.777034e-004
 2.366000e+000  2.415632e-003  9.754435e-004
 2.376000e+000  9.638393e-004  9.733643e-004
 2.386000e+000  4.596709e-004  9.739135e-004
 2.395000e+000  1.260324e-004  9.756468e-004
 2.405000e+000  6.604928e-004  9.699363e-004
 2.415000e+000  1.449424e-003  9.692953e-004
 2.425000e+000 -1.220130e-004  9.644674e-004
 2.434000e+000  3.660897e-004  9.648272e-004
 2.444000e+000  6.535792e-004  9.656353e-004
 2.454000e+000  1.475645e-003  9.635161e-004
 2.464000e+000  1.324398e-003  9.650956e-004
 2.473000e+000  9.238266e-004  9.654191e-004
 2.483000e+000  1.845199e-003  9.650165e-004
 2.493000e+000  1.698583e-003  9.629423e-004
 2.502000e+000  1.382601e-003  9.582739e-004
 2.512000e+000  1.808898e-003  9.645958e-004
 2.522000e+000  3.257469e-003  9.563982e-004
 2.532000e+000  1.527265e-003  9.573916e-004
 2.541000e+000  9.418598e-004  9.609312e-004
 2.551000e+000  1.557785e-003  9.547142e-004
 2.561000e+000  2.545091e-004  9.503006e-004
 2.571000e+000  9.428936e-004  9.500895e-004
 2.580000e+000  1.473094e-003  9.480766e-004
 2.590000e+000  8.418858e-004  9.419532e-004
 2.600000e+000  8.589985e-004  9.360825e-004
 2.609000e+000  1.771438e-003  9.326807e-004
 2.619000e+000  3.472801e-004  9.345328e-004
 2.629000e+000 -2.206600e-004  9.262298e-004
 2.639000e+000  1.694985e-003  9.236051e-004
 2.648000e+000  8.950371e-004  9.237463e-004
 2.658000e+000  1.856986e-003  9.211034e-004
