Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  7.502000e-01   1.446331e+01   9.747112e-02
  7.528000e-01   1.437037e+01   9.633082e-02
  7.554000e-01   1.405384e+01   9.467414e-02
  7.580000e-01   1.414095e+01   9.636501e-02
  7.606000e-01   1.398697e+01   9.619694e-02
  7.632000e-01   1.401818e+01   9.582372e-02
  7.658000e-01   1.394239e+01   9.511997e-02
  7.683000e-01   1.384842e+01   9.604971e-02
  7.709000e-01   1.373217e+01   9.600066e-02
  7.735000e-01   1.368964e+01   9.575351e-02
  7.761000e-01   1.349760e+01   9.357182e-02
  7.787000e-01   1.336968e+01   9.529506e-02
  7.813000e-01   1.352881e+01   9.438610e-02
  7.838000e-01   1.336043e+01   9.570786e-02
  7.864000e-01   1.323354e+01   9.376527e-02
  7.890000e-01   1.311111e+01   9.287014e-02
  7.916000e-01   1.295850e+01   9.470099e-02
  7.942000e-01   1.283025e+01   9.403669e-02
  7.968000e-01   1.294410e+01   9.393999e-02
  7.994000e-01   1.274554e+01   9.440510e-02
  8.019000e-01   1.273217e+01   9.321093e-02
  8.045000e-01   1.249348e+01   9.274465e-02
  8.071000e-01   1.246674e+01   9.278191e-02
  8.097000e-01   1.232133e+01   9.327004e-02
  8.123000e-01   1.232407e+01   9.296372e-02
  8.149000e-01   1.216941e+01   9.313383e-02
  8.174000e-01   1.208745e+01   9.153165e-02
  8.200000e-01   1.213786e+01   9.169752e-02
  8.226000e-01   1.207339e+01   9.272412e-02
  8.252000e-01   1.195816e+01   9.236313e-02
  8.278000e-01   1.183573e+01   9.313706e-02
  8.304000e-01   1.177298e+01   9.040229e-02
  8.330000e-01   1.166907e+01   9.245508e-02
  8.355000e-01   1.135254e+01   9.081765e-02
  8.381000e-01   1.152023e+01   9.177310e-02
  8.407000e-01   1.145027e+01   9.119320e-02
  8.433000e-01   1.128258e+01   9.138176e-02
  8.459000e-01   1.111145e+01   9.056534e-02
  8.485000e-01   1.105727e+01   9.116119e-02
  8.510000e-01   1.098765e+01   8.943535e-02
  8.536000e-01   1.111043e+01   9.060524e-02
  8.562000e-01   1.094067e+01   8.994711e-02
  8.588000e-01   1.069684e+01   9.063754e-02
