Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: null
Parent(s): sub01.dat sub02.dat sub03.dat
 1.105054e+000  3.527525e+000  4.194249e-002
 1.109758e+000  3.458599e+000  4.170097e-002
 1.114461e+000  3.449174e+000  4.162152e-002
 1.119164e+000  3.392956e+000  4.141267e-002
 1.123868e+000  3.283441e+000  4.107269e-002
 1.128571e+000  3.277459e+000  4.096688e-002
 1.133274e+000  3.302600e+000  4.092841e-002
 1.137978e+000  3.199339e+000  4.066646e-002
 1.142681e+000  3.169855e+000  4.055813e-002
 1.147384e+000  3.179402e+000  4.051711e-002
 1.152088e+000  3.139136e+000  4.031079e-002
 1.156791e+000  3.149308e+000  4.022035e-002
 1.161495e+000  3.054357e+000  4.000662e-002
 1.166198e+000  2.994174e+000  3.976493e-002
 1.170901e+000  2.933829e+000  3.956481e-002
 1.175605e+000  2.926638e+000  3.947022e-002
 1.180308e+000  2.953888e+000  3.947975e-002
 1.185011e+000  2.898707e+000  3.924536e-002
 1.189715e+000  2.833083e+000  3.908601e-002
 1.194418e+000  2.826603e+000  3.894792e-002
 1.199122e+000  2.769313e+000  3.875441e-002
 1.203825e+000  2.750260e+000  3.867273e-002
 1.208528e+000  2.739510e+000  3.855461e-002
 1.213232e+000  2.636119e+000  3.830965e-002
 1.217935e+000  2.674966e+000  3.833053e-002
 1.222638e+000  2.631288e+000  3.819441e-002
 1.227342e+000  2.623850e+000  3.808953e-002
 1.232045e+000  2.603151e+000  3.796093e-002
 1.236748e+000  2.597718e+000  3.785974e-002
 1.241452e+000  2.505659e+000  3.760671e-002
 1.246155e+000  2.500338e+000  3.751017e-002
 1.250859e+000  2.494618e+000  3.747224e-002
 1.255562e+000  2.489602e+000  3.801525e-002
 1.260265e+000  2.472765e+000  3.908197e-002
 1.264969e+000  2.401987e+000  3.965321e-002
 1.269672e+000  2.384089e+000  4.010806e-002
 1.274375e+000  2.339719e+000  4.036128e-002
 1.279079e+000  2.351589e+000  4.085573e-002
 1.283782e+000  2.269713e+000  4.103393e-002
 1.288486e+000  2.263565e+000  4.138267e-002
 1.293189e+000  2.256516e+000  4.169951e-002
 1.297892e+000  2.204101e+000  4.192723e-002
 1.302596e+000  2.195152e+000  4.218788e-002
 1.307299e+000  2.163123e+000  4.219903e-002
 1.312002e+000  2.142782e+000  4.228066e-002
 1.316706e+000  2.140788e+000  4.237480e-002
 1.321409e+000  2.105184e+000  4.137041e-002
 1.326112e+000  2.075113e+000  3.993098e-002
 1.330816e+000  2.074410e+000  3.919283e-002
 1.335519e+000  2.073452e+000  3.857958e-002
 1.340223e+000  2.000825e+000  3.801759e-002
 1.344926e+000  2.030805e+000  3.769983e-002
 1.349629e+000  2.010443e+000  3.729805e-002
 1.354333e+000  1.972200e+000  3.697011e-002
 1.359036e+000  1.925137e+000  3.657983e-002
 1.363739e+000  1.921575e+000  3.625041e-002
 1.368443e+000  1.882131e+000  3.600365e-002
 1.373146e+000  1.827684e+000  3.576148e-002
 1.377849e+000  1.820441e+000  3.564756e-002
 1.382553e+000  1.820836e+000  3.556972e-002
 1.387256e+000  1.822688e+000  3.550934e-002
 1.391960e+000  1.791568e+000  3.536870e-002
 1.396663e+000  1.721371e+000  3.513030e-002
 1.401366e+000  1.721943e+000  3.503773e-002
 1.406070e+000  1.715981e+000  3.488847e-002
 1.410773e+000  1.703068e+000  3.480904e-002
 1.415476e+000  1.714663e+000  3.471064e-002
 1.420180e+000  1.710287e+000  3.469138e-002
 1.424883e+000  1.669638e+000  3.450815e-002
 1.429587e+000  1.619306e+000  3.433246e-002
 1.434290e+000  1.599680e+000  3.421034e-002
 1.438993e+000  1.568139e+000  3.409623e-002
 1.443697e+000  1.545421e+000  3.398936e-002
 1.448400e+000  1.496884e+000  3.381547e-002
 1.453103e+000  1.486981e+000  3.372804e-002
 1.457807e+000  1.489992e+000  3.368044e-002
 1.462510e+000  1.494684e+000  3.359963e-002
 1.467213e+000  1.491465e+000  3.355869e-002
 1.471917e+000  1.445388e+000  3.339756e-002
 1.476620e+000  1.440119e+000  3.329911e-002
 1.481324e+000  1.471446e+000  3.329173e-002
 1.486027e+000  1.445377e+000  3.321574e-002
 1.490730e+000  1.385501e+000  3.303828e-002
 1.495434e+000  1.383816e+000  3.352712e-002
 1.500137e+000  1.404889e+000  3.457899e-002
 1.504840e+000  1.335401e+000  3.500828e-002
 1.509544e+000  1.302316e+000  3.538692e-002
 1.514247e+000  1.294509e+000  3.583030e-002
 1.518951e+000  1.330553e+000  3.623221e-002
 1.523654e+000  1.321555e+000  3.535445e-002
 1.528357e+000  1.272867e+000  3.442762e-002
 1.533061e+000  1.259020e+000  3.386100e-002
 1.537764e+000  1.251157e+000  3.347392e-002
 1.542467e+000  1.241680e+000  3.309633e-002
 1.547171e+000  1.247729e+000  3.284910e-002
 1.551874e+000  1.209692e+000  3.255969e-002
 1.556577e+000  1.221755e+000  3.252856e-002
 1.561281e+000  1.147957e+000  3.223403e-002
 1.565984e+000  1.203620e+000  3.219337e-002
 1.570688e+000  1.172575e+000  3.196331e-002
 1.575391e+000  1.165112e+000  3.176842e-002
 1.580094e+000  1.173043e+000  3.164642e-002
 1.584798e+000  1.111376e+000  3.140133e-002
 1.589501e+000  1.098006e+000  3.142416e-002
 1.594204e+000  1.071956e+000  3.146411e-002
 1.598908e+000  1.097868e+000  3.150306e-002
 1.603611e+000  1.044214e+000  3.138868e-002
 1.608314e+000  1.069409e+000  3.139339e-002
 1.613018e+000  1.054501e+000  3.136686e-002
 1.617721e+000  1.024110e+000  3.121652e-002
 1.622425e+000  1.008849e+000  3.113199e-002
 1.627128e+000  1.028517e+000  3.110388e-002
 1.631831e+000  1.050622e+000  3.113149e-002
 1.636535e+000  9.945490e-001  3.098669e-002
 1.641238e+000  9.276355e-001  3.078429e-002
 1.645941e+000  9.431477e-001  3.071052e-002
 1.650645e+000  9.016887e-001  3.056830e-002
 1.655348e+000  9.308426e-001  3.062400e-002
 1.660052e+000  8.940544e-001  3.048431e-002
 1.664755e+000  8.688652e-001  3.032227e-002
 1.669458e+000  9.136781e-001  3.041415e-002
 1.674162e+000  8.521376e-001  3.025271e-002
 1.678865e+000  8.930461e-001  3.024253e-002
 1.683568e+000  8.870908e-001  3.011841e-002
 1.688272e+000  8.450114e-001  3.006078e-002
 1.692975e+000  8.196437e-001  3.001005e-002
 1.697678e+000  8.316105e-001  2.996287e-002
 1.702382e+000  8.635432e-001  2.995277e-002
 1.707085e+000  8.408236e-001  2.983352e-002
 1.711789e+000  8.163134e-001  2.977768e-002
 1.716492e+000  8.141760e-001  2.971969e-002
 1.721195e+000  7.949429e-001  2.963800e-002
 1.725899e+000  7.853043e-001  2.954257e-002
 1.730602e+000  8.050395e-001  2.954964e-002
 1.735305e+000  8.035991e-001  2.953045e-002
 1.740009e+000  7.966237e-001  2.946240e-002
 1.744712e+000  7.843649e-001  2.938297e-002
 1.749416e+000  7.597917e-001  2.926638e-002
 1.754119e+000  7.361272e-001  2.921525e-002
 1.758822e+000  7.080578e-001  2.911806e-002
 1.763526e+000  7.490073e-001  2.915759e-002
 1.768229e+000  7.355164e-001  2.908896e-002
 1.772932e+000  7.482924e-001  2.902993e-002
 1.777636e+000  6.796290e-001  2.887493e-002
 1.782339e+000  6.857473e-001  2.885561e-002
 1.787042e+000  6.972181e-001  2.881326e-002
 1.791746e+000  6.606569e-001  2.871299e-002
 1.796449e+000  6.627061e-001  2.872575e-002
 1.801153e+000  6.651430e-001  2.867113e-002
 1.805856e+000  6.560018e-001  2.858664e-002
 1.810559e+000  7.035854e-001  2.862496e-002
 1.815263e+000  7.115092e-001  2.861449e-002
 1.819966e+000  5.962111e-001  2.834158e-002
 1.824669e+000  6.088949e-001  2.829364e-002
 1.829373e+000  6.341430e-001  2.833292e-002
 1.834076e+000  6.608834e-001  2.833858e-002
 1.838779e+000  6.523045e-001  2.830419e-002
 1.843483e+000  5.643637e-001  2.812517e-002
 1.848186e+000  5.968647e-001  2.814657e-002
 1.852890e+000  6.351080e-001  2.813922e-002
 1.857593e+000  5.912543e-001  2.804370e-002
 1.862296e+000  5.881556e-001  2.795588e-002
 1.867000e+000  5.831249e-001  2.794937e-002
 1.871703e+000  5.424852e-001  2.784806e-002
 1.876406e+000  6.203047e-001  2.795782e-002
 1.881110e+000  5.559029e-001  2.776792e-002
 1.885813e+000  5.889092e-001  2.783409e-002
 1.890517e+000  5.298196e-001  2.766770e-002
 1.895220e+000  5.659847e-001  2.772814e-002
 1.899923e+000  5.445385e-001  2.770327e-002
 1.904627e+000  5.760541e-001  2.768993e-002
 1.909330e+000  5.340379e-001  2.754203e-002
 1.914033e+000  5.069475e-001  2.746077e-002
 1.918737e+000  5.130149e-001  2.745160e-002
 1.923440e+000  5.040901e-001  2.738542e-002
 1.928143e+000  5.615038e-001  2.745443e-002
 1.932847e+000  5.160697e-001  2.733558e-002
 1.937550e+000  4.967700e-001  2.722804e-002
 1.942254e+000  5.064069e-001  2.719168e-002
 1.946957e+000  5.057384e-001  2.717868e-002
 1.951660e+000  5.284451e-001  2.718486e-002
 1.956364e+000  5.210162e-001  2.710020e-002
 1.961067e+000  5.390635e-001  2.705962e-002
 1.965770e+000  4.849378e-001  2.689131e-002
 1.970474e+000  5.124673e-001  2.692634e-002
 1.975177e+000  5.126090e-001  2.682943e-002
 1.979881e+000  4.869368e-001  2.679485e-002
 1.984584e+000  4.593683e-001  2.669518e-002
 1.989287e+000  5.013616e-001  2.671892e-002
 1.993991e+000  4.474759e-001  2.656663e-002
 1.998694e+000  5.278909e-001  2.671280e-002
 2.003397e+000  4.953153e-001  2.665201e-002
 2.008101e+000  4.739361e-001  2.661309e-002
 2.012804e+000  4.634800e-001  2.662910e-002
 2.017507e+000  4.425695e-001  2.653358e-002
 2.022211e+000  4.424106e-001  2.649484e-002
 2.026914e+000  4.442274e-001  2.649162e-002
 2.031618e+000  4.687598e-001  2.654146e-002
 2.036321e+000  4.673002e-001  2.647874e-002
 2.041024e+000  4.599415e-001  2.642789e-002
 2.045728e+000  4.595553e-001  2.640082e-002
 2.050431e+000  4.714639e-001  2.643191e-002
 2.055134e+000  4.476888e-001  2.635525e-002
 2.059838e+000  4.455413e-001  2.642787e-002
 2.064541e+000  4.461243e-001  2.716142e-002
 2.069244e+000  3.809976e-001  2.751270e-002
 2.073948e+000  4.135727e-001  2.798717e-002
 2.078651e+000  4.072618e-001  2.825425e-002
 2.083355e+000  4.440892e-001  2.860374e-002
 2.088058e+000  4.361777e-001  2.883214e-002
 2.092761e+000  4.504548e-001  2.896685e-002
 2.097465e+000  4.454703e-001  2.906679e-002
 2.102168e+000  4.510066e-001  2.914017e-002
 2.106871e+000  4.305408e-001  2.920699e-002
 2.111575e+000  4.237999e-001  2.925950e-002
 2.116278e+000  4.411715e-001  2.936821e-002
 2.120982e+000  4.082139e-001  2.937633e-002
 2.125685e+000  4.062808e-001  2.912759e-002
 2.130388e+000  4.121388e-001  2.830623e-002
 2.135092e+000  4.433842e-001  2.785787e-002
 2.139795e+000  4.326037e-001  2.749821e-002
 2.144498e+000  4.317735e-001  2.718119e-002
 2.149202e+000  4.121045e-001  2.691169e-002
 2.153905e+000  4.075316e-001  2.672023e-002
 2.158608e+000  4.058709e-001  2.658989e-002
 2.163312e+000  4.035945e-001  2.650560e-002
 2.168015e+000  3.996341e-001  2.644810e-002
 2.172719e+000  3.940623e-001  2.636120e-002
 2.177422e+000  3.917230e-001  2.631021e-002
 2.182125e+000  4.070992e-001  2.628844e-002
 2.186829e+000  3.784415e-001  2.618387e-002
 2.191532e+000  3.984395e-001  2.614607e-002
 2.196235e+000  3.664877e-001  2.604164e-002
 2.200939e+000  3.824546e-001  2.603353e-002
 2.205642e+000  3.863664e-001  2.598813e-002
 2.210346e+000  3.558168e-001  2.587349e-002
 2.215049e+000  3.469891e-001  2.583731e-002
 2.219752e+000  3.995673e-001  2.587123e-002
 2.224456e+000  4.010692e-001  2.587741e-002
 2.229159e+000  3.374834e-001  2.572948e-002
 2.233862e+000  3.807456e-001  2.567589e-002
 2.238566e+000  3.718588e-001  2.565477e-002
 2.243269e+000  3.595016e-001  2.564153e-002
 2.247972e+000  3.997686e-001  2.564484e-002
 2.252676e+000  3.808945e-001  2.556607e-002
 2.257379e+000  3.528405e-001  2.550247e-002
 2.262083e+000  3.893015e-001  2.550951e-002
 2.266786e+000  3.526069e-001  2.540619e-002
 2.271489e+000  3.836244e-001  2.544580e-002
 2.276193e+000  3.625926e-001  2.538764e-002
 2.280896e+000  3.817716e-001  2.540945e-002
 2.285599e+000  3.940239e-001  2.539971e-002
 2.290303e+000  3.950502e-001  2.534405e-002
 2.295006e+000  3.978815e-001  2.531486e-002
 2.299709e+000  3.784371e-001  2.526231e-002
 2.304413e+000  3.560691e-001  2.521334e-002
 2.309116e+000  3.836692e-001  2.520939e-002
 2.313820e+000  4.199773e-001  2.524325e-002
 2.318523e+000  3.741204e-001  2.510506e-002
 2.323226e+000  3.646764e-001  2.509926e-002
 2.327930e+000  3.719098e-001  2.509087e-002
 2.332633e+000  3.815746e-001  2.504346e-002
 2.337336e+000  3.674323e-001  2.499241e-002
 2.342040e+000  3.631820e-001  2.492950e-002
 2.346743e+000  3.837892e-001  2.494096e-002
 2.351447e+000  3.759444e-001  2.490983e-002
 2.356150e+000  3.582755e-001  2.487477e-002
 2.360853e+000  3.685445e-001  2.485428e-002
 2.365557e+000  3.759094e-001  2.482715e-002
 2.370260e+000  3.541793e-001  2.473548e-002
 2.374963e+000  3.609271e-001  2.474768e-002
