 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  0.789164E+00  0.838242E+01  0.114627E+00
  0.791899E+00  0.872499E+01  0.114655E+00
  0.794634E+00  0.872555E+01  0.117760E+00
  0.797369E+00  0.842150E+01  0.113183E+00
  0.800104E+00  0.812308E+01  0.112296E+00
  0.802839E+00  0.849857E+01  0.114120E+00
  0.805574E+00  0.830734E+01  0.113426E+00
  0.808309E+00  0.810694E+01  0.114115E+00
  0.811044E+00  0.817830E+01  0.116152E+00
  0.813779E+00  0.784139E+01  0.113262E+00
  0.816515E+00  0.800872E+01  0.113542E+00
  0.819250E+00  0.790331E+01  0.114905E+00
  0.821985E+00  0.790074E+01  0.116468E+00
  0.824720E+00  0.792182E+01  0.116204E+00
  0.827455E+00  0.759327E+01  0.111327E+00
  0.830190E+00  0.766555E+01  0.113004E+00
  0.832925E+00  0.737069E+01  0.111713E+00
  0.835660E+00  0.749760E+01  0.112073E+00
  0.838395E+00  0.719986E+01  0.110866E+00
  0.841130E+00  0.707020E+01  0.111641E+00
  0.843865E+00  0.712450E+01  0.110588E+00
  0.846601E+00  0.710044E+01  0.112034E+00
  0.849336E+00  0.735067E+01  0.115882E+00
  0.852071E+00  0.715954E+01  0.111052E+00
  0.854806E+00  0.724720E+01  0.115926E+00
  0.857541E+00  0.698308E+01  0.111333E+00
  0.860276E+00  0.714334E+01  0.113836E+00
  0.863011E+00  0.677610E+01  0.110603E+00
  0.865746E+00  0.681960E+01  0.109852E+00
  0.868481E+00  0.659054E+01  0.111861E+00
  0.871216E+00  0.657926E+01  0.109282E+00
  0.873951E+00  0.661125E+01  0.109317E+00
  0.876686E+00  0.657244E+01  0.111399E+00
  0.879422E+00  0.649420E+01  0.108734E+00
  0.882157E+00  0.629382E+01  0.108087E+00
  0.884892E+00  0.628429E+01  0.106651E+00
  0.887627E+00  0.626505E+01  0.109614E+00
  0.890362E+00  0.623765E+01  0.109730E+00
  0.893097E+00  0.610281E+01  0.107581E+00
  0.895832E+00  0.597857E+01  0.106421E+00
  0.898567E+00  0.617536E+01  0.110368E+00
  0.901302E+00  0.614961E+01  0.111257E+00
  0.904037E+00  0.613197E+01  0.109972E+00
  0.906772E+00  0.583552E+01  0.107574E+00
  0.909507E+00  0.590993E+01  0.109079E+00
  0.912243E+00  0.567630E+01  0.107170E+00
  0.914978E+00  0.569328E+01  0.107420E+00
  0.917713E+00  0.562691E+01  0.107734E+00
  0.920448E+00  0.560986E+01  0.107436E+00
  0.923183E+00  0.542396E+01  0.106065E+00
  0.925918E+00  0.573094E+01  0.108716E+00
  0.928653E+00  0.551073E+01  0.106938E+00
  0.931388E+00  0.538082E+01  0.104059E+00
  0.934123E+00  0.554593E+01  0.107337E+00
  0.936858E+00  0.546251E+01  0.106972E+00
  0.939593E+00  0.560656E+01  0.108145E+00
  0.942329E+00  0.517862E+01  0.104301E+00
  0.945064E+00  0.524194E+01  0.105942E+00
  0.947799E+00  0.531832E+01  0.107996E+00
  0.950534E+00  0.502503E+01  0.104225E+00
  0.953269E+00  0.502674E+01  0.104427E+00
  0.956004E+00  0.506329E+01  0.104818E+00
  0.958739E+00  0.499557E+01  0.107223E+00
  0.961474E+00  0.508326E+01  0.107465E+00
  0.964209E+00  0.492481E+01  0.102914E+00
  0.966944E+00  0.484103E+01  0.104335E+00
  0.969679E+00  0.513088E+01  0.107615E+00
  0.972414E+00  0.492349E+01  0.106759E+00
  0.975150E+00  0.492337E+01  0.107145E+00
  0.977885E+00  0.475949E+01  0.102255E+00
  0.980620E+00  0.471877E+01  0.104783E+00
  0.983355E+00  0.441086E+01  0.101263E+00
  0.986090E+00  0.464494E+01  0.103892E+00
  0.988825E+00  0.448772E+01  0.101699E+00
  0.991560E+00  0.463519E+01  0.103858E+00
  0.994295E+00  0.439056E+01  0.103845E+00
  0.997030E+00  0.452298E+01  0.103194E+00
  0.999765E+00  0.429808E+01  0.999493E-01
  0.100250E+01  0.440111E+01  0.102813E+00
  0.100524E+01  0.432692E+01  0.103415E+00
  0.100797E+01  0.443496E+01  0.103421E+00
  0.101071E+01  0.413260E+01  0.100848E+00
  0.101344E+01  0.417451E+01  0.100805E+00
  0.101618E+01  0.423344E+01  0.102285E+00
  0.101891E+01  0.402045E+01  0.101055E+00
  0.102165E+01  0.433237E+01  0.104121E+00
  0.102438E+01  0.408696E+01  0.989233E-01
  0.102712E+01  0.397276E+01  0.101195E+00
  0.102985E+01  0.415467E+01  0.103107E+00
  0.103259E+01  0.389155E+01  0.987380E-01
  0.103532E+01  0.403683E+01  0.102775E+00
  0.103806E+01  0.409229E+01  0.102922E+00
  0.104079E+01  0.371649E+01  0.101585E+00
  0.104353E+01  0.371448E+01  0.983578E-01
  0.104626E+01  0.364187E+01  0.999809E-01
  0.104900E+01  0.371590E+01  0.995994E-01
  0.105173E+01  0.374108E+01  0.100174E+00
  0.105447E+01  0.370975E+01  0.100092E+00
  0.105720E+01  0.366780E+01  0.988033E-01
  0.105994E+01  0.367252E+01  0.990439E-01
  0.106267E+01  0.349072E+01  0.100242E+00
  0.106541E+01  0.367266E+01  0.100544E+00
  0.106814E+01  0.360044E+01  0.985779E-01
  0.107088E+01  0.354272E+01  0.996071E-01
  0.107361E+01  0.350896E+01  0.100531E+00
  0.107635E+01  0.344621E+01  0.982303E-01
  0.107908E+01  0.346682E+01  0.102782E+00
  0.108182E+01  0.342929E+01  0.976737E-01
  0.108455E+01  0.350735E+01  0.100167E+00
  0.108729E+01  0.338584E+01  0.976518E-01
  0.109002E+01  0.334349E+01  0.977974E-01
  0.109276E+01  0.327207E+01  0.981292E-01
  0.109549E+01  0.338260E+01  0.100460E+00
  0.109823E+01  0.322008E+01  0.978010E-01
  0.110096E+01  0.314942E+01  0.969048E-01
  0.110370E+01  0.315022E+01  0.951825E-01
  0.110643E+01  0.300555E+01  0.967352E-01
