 18-Jun-2007       (jari_010.dat - 1.0*jari_011.dat) /  7.8000
jari_010.dat  Conc = .78E+01  N1 =    1  N2 = 2154
jari_011.dat  Conc = 0.0d+0   N1 =    1  N2 = 2154
  0.122903E+01  0.167123E+02  0.175043E+00
  0.123134E+01  0.165850E+02  0.176601E+00
  0.123366E+01  0.162710E+02  0.176052E+00
  0.123598E+01  0.165173E+02  0.175122E+00
  0.123829E+01  0.161691E+02  0.174901E+00
  0.124061E+01  0.161279E+02  0.174626E+00
  0.124293E+01  0.159817E+02  0.177200E+00
  0.124524E+01  0.159982E+02  0.174321E+00
  0.124756E+01  0.157615E+02  0.175093E+00
  0.124988E+01  0.158017E+02  0.175725E+00
  0.125220E+01  0.160469E+02  0.175279E+00
  0.125451E+01  0.158854E+02  0.175706E+00
  0.125683E+01  0.156135E+02  0.174140E+00
  0.125915E+01  0.154232E+02  0.175111E+00
  0.126146E+01  0.153167E+02  0.175506E+00
  0.126378E+01  0.153491E+02  0.175301E+00
  0.126610E+01  0.153595E+02  0.174892E+00
  0.126841E+01  0.149755E+02  0.173435E+00
  0.127073E+01  0.148268E+02  0.175648E+00
  0.127305E+01  0.151759E+02  0.173932E+00
  0.127537E+01  0.151495E+02  0.174232E+00
  0.127768E+01  0.146906E+02  0.174773E+00
  0.128000E+01  0.148492E+02  0.173478E+00
  0.128232E+01  0.146082E+02  0.175696E+00
  0.128463E+01  0.148190E+02  0.174079E+00
  0.128695E+01  0.146462E+02  0.174228E+00
  0.128927E+01  0.147121E+02  0.174275E+00
  0.129159E+01  0.142728E+02  0.173312E+00
  0.129390E+01  0.145699E+02  0.174175E+00
  0.129622E+01  0.146351E+02  0.172852E+00
  0.129854E+01  0.141904E+02  0.174902E+00
  0.130085E+01  0.143283E+02  0.172943E+00
  0.130317E+01  0.142458E+02  0.173625E+00
  0.130549E+01  0.142615E+02  0.173715E+00
  0.130780E+01  0.141103E+02  0.173017E+00
  0.131012E+01  0.135951E+02  0.173656E+00
  0.131244E+01  0.138136E+02  0.173271E+00
  0.131476E+01  0.141776E+02  0.173248E+00
  0.131707E+01  0.141395E+02  0.172685E+00
  0.131939E+01  0.140001E+02  0.173019E+00
  0.132171E+01  0.139083E+02  0.174193E+00
  0.132402E+01  0.136315E+02  0.170483E+00
  0.132634E+01  0.136410E+02  0.172539E+00
  0.132866E+01  0.136097E+02  0.172660E+00
  0.133097E+01  0.134621E+02  0.173193E+00
  0.133329E+01  0.132762E+02  0.172237E+00
  0.133561E+01  0.128867E+02  0.171259E+00
  0.133793E+01  0.131818E+02  0.172678E+00
  0.134024E+01  0.131124E+02  0.171707E+00
  0.134256E+01  0.131188E+02  0.172208E+00
  0.134488E+01  0.133376E+02  0.171696E+00
  0.134719E+01  0.129979E+02  0.170988E+00
  0.134951E+01  0.128773E+02  0.172584E+00
  0.135183E+01  0.130453E+02  0.171592E+00
  0.135414E+01  0.129481E+02  0.171704E+00
  0.135646E+01  0.128199E+02  0.170676E+00
  0.135878E+01  0.126758E+02  0.170840E+00
  0.136110E+01  0.126277E+02  0.172588E+00
  0.136341E+01  0.126890E+02  0.170053E+00
  0.136573E+01  0.125503E+02  0.171563E+00
  0.136805E+01  0.125519E+02  0.170012E+00
  0.137036E+01  0.126195E+02  0.171649E+00
  0.137268E+01  0.126114E+02  0.170491E+00
  0.137500E+01  0.124876E+02  0.170154E+00
  0.137731E+01  0.124217E+02  0.171485E+00
