Sample description: N11 200mM AMS
Sample: N11 200mM AMS  c= .6000 mg/ml  Code: N11AMS
Parent(s): /tmp/qt_temp.n22813
  5.306780e-01   1.077227e+03   4.385074e+01
  5.326740e-01   1.105870e+03   4.420453e+01
  5.346700e-01   1.111541e+03   4.379828e+01
  5.366660e-01   1.171879e+03   4.427943e+01
  5.386620e-01   1.151724e+03   4.375013e+01
  5.406580e-01   1.110805e+03   4.371150e+01
  5.426540e-01   9.991037e+02   4.348384e+01
  5.446500e-01   1.096132e+03   4.344358e+01
  5.466460e-01   1.162949e+03   4.391451e+01
  5.486420e-01   1.052749e+03   4.300015e+01
  5.506380e-01   1.110912e+03   4.336427e+01
  5.526340e-01   1.065402e+03   4.297772e+01
  5.546300e-01   1.108030e+03   4.290074e+01
  5.566260e-01   1.092809e+03   4.312511e+01
  5.586220e-01   1.037391e+03   4.252844e+01
  5.606180e-01   1.029876e+03   4.308718e+01
  5.626140e-01   1.033670e+03   4.294294e+01
  5.646100e-01   1.053240e+03   4.249968e+01
  5.666060e-01   1.035928e+03   4.250046e+01
  5.686020e-01   1.051885e+03   4.251028e+01
  5.705980e-01   9.856952e+02   4.267226e+01
  5.725940e-01   1.003913e+03   4.208233e+01
  5.745900e-01   9.088411e+02   4.198220e+01
  5.765860e-01   1.035168e+03   4.205114e+01
  5.785820e-01   1.002248e+03   4.200149e+01
  5.805780e-01   1.006769e+03   4.206542e+01
  5.825740e-01   1.052041e+03   4.194681e+01
  5.845700e-01   9.167485e+02   4.153633e+01
  5.865660e-01   9.464836e+02   4.167073e+01
  5.885620e-01   8.405268e+02   4.137451e+01
  5.905580e-01   9.580954e+02   4.143574e+01
  5.925550e-01   9.857763e+02   4.138687e+01
  5.945510e-01   8.224743e+02   4.145373e+01
  5.965470e-01   9.342944e+02   4.129248e+01
  5.985430e-01   9.239219e+02   4.111383e+01
  6.005390e-01   9.009154e+02   4.102580e+01
  6.025350e-01   9.272636e+02   4.104585e+01
  6.045310e-01   8.770945e+02   4.105270e+01
  6.065270e-01   9.066799e+02   4.060907e+01
  6.085230e-01   8.606553e+02   4.098797e+01
  6.105190e-01   8.921367e+02   4.081249e+01
  6.125150e-01   8.775745e+02   4.070753e+01
  6.145110e-01   8.613743e+02   4.040021e+01
  6.165070e-01   8.838639e+02   4.037773e+01
  6.185030e-01   8.994703e+02   4.056849e+01
  6.204990e-01   8.766382e+02   4.032646e+01
  6.224950e-01   8.487525e+02   4.023079e+01
  6.244910e-01   8.934139e+02   4.084578e+01
  6.264870e-01   8.261245e+02   4.119586e+01
  6.284830e-01   8.392712e+02   4.202652e+01
  6.304790e-01   8.425477e+02   4.173248e+01
  6.324750e-01   8.096677e+02   4.200149e+01
  6.344710e-01   7.580596e+02   4.207253e+01
  6.364670e-01   7.042632e+02   4.230725e+01
  6.384630e-01   8.525540e+02   4.259606e+01
  6.404590e-01   8.096951e+02   4.190075e+01
  6.424550e-01   8.891782e+02   4.303827e+01
  6.444510e-01   7.834980e+02   4.268039e+01
  6.464470e-01   9.087505e+02   4.297743e+01
  6.484430e-01   8.054170e+02   4.278101e+01
  6.504390e-01   7.788032e+02   4.257584e+01
  6.524350e-01   7.858316e+02   4.303801e+01
  6.544310e-01   7.870673e+02   4.290455e+01
  6.564270e-01   7.550600e+02   4.270191e+01
  6.584230e-01   7.531274e+02   4.286981e+01
  6.604190e-01   7.058378e+02   4.215878e+01
  6.624150e-01   7.709586e+02   4.335846e+01
  6.644110e-01   7.255079e+02   4.202210e+01
  6.664070e-01   7.804186e+02   4.296350e+01
  6.684030e-01   7.275093e+02   4.266056e+01
  6.703990e-01   6.818270e+02   4.278241e+01
  6.723950e-01   7.173709e+02   4.276241e+01
  6.743910e-01   7.501539e+02   4.194803e+01
  6.763870e-01   7.665544e+02   4.198051e+01
  6.783830e-01   6.847856e+02   4.116891e+01
  6.803800e-01   7.465299e+02   4.130780e+01
  6.823760e-01   6.673044e+02   4.090632e+01
  6.843720e-01   7.117310e+02   4.067103e+01
  6.863680e-01   7.293651e+02   4.092627e+01
  6.883640e-01   6.871695e+02   4.025231e+01
  6.903600e-01   7.225355e+02   4.056077e+01
  6.923560e-01   6.916331e+02   3.983223e+01
  6.943520e-01   6.187021e+02   3.984747e+01
  6.963480e-01   6.434052e+02   4.012026e+01
  6.983440e-01   6.787838e+02   3.966949e+01
  7.003400e-01   6.682868e+02   3.973113e+01
  7.023360e-01   6.671346e+02   3.942306e+01
  7.043320e-01   6.656054e+02   3.935282e+01
  7.063280e-01   6.212163e+02   3.963631e+01
  7.083240e-01   5.867399e+02   3.886586e+01
  7.103200e-01   6.107858e+02   3.946636e+01
  7.123160e-01   6.012245e+02   3.881928e+01
  7.143120e-01   6.699281e+02   3.923354e+01
  7.163080e-01   6.493600e+02   3.874094e+01
  7.183040e-01   5.874842e+02   3.859598e+01
  7.203000e-01   6.400376e+02   3.897256e+01
  7.222960e-01   5.979300e+02   3.848430e+01
  7.242920e-01   6.429227e+02   3.850753e+01
  7.262880e-01   6.675424e+02   3.872254e+01
  7.282840e-01   5.542371e+02   3.825798e+01
  7.302800e-01   5.895308e+02   3.836628e+01
  7.322760e-01   6.633696e+02   3.798778e+01
  7.342720e-01   5.813628e+02   3.788583e+01
  7.362680e-01   5.690855e+02   3.779794e+01
  7.382640e-01   6.343402e+02   3.790810e+01
  7.402600e-01   6.404728e+02   3.788228e+01
  7.422560e-01   5.947615e+02   3.761794e+01
  7.442520e-01   5.648129e+02   3.781720e+01
  7.462480e-01   5.394253e+02   3.713417e+01
  7.482440e-01   5.860353e+02   3.754321e+01
  7.502400e-01   5.294663e+02   3.706352e+01
  7.522360e-01   5.223186e+02   3.717217e+01
  7.542320e-01   5.292214e+02   3.739068e+01
  7.562280e-01   5.403380e+02   3.700577e+01
  7.582240e-01   4.867473e+02   3.720863e+01
  7.602200e-01   5.466759e+02   3.669336e+01
  7.622160e-01   5.280058e+02   3.719689e+01
  7.642120e-01   6.243635e+02   3.719227e+01
  7.662090e-01   6.242838e+02   3.692921e+01
  7.682050e-01   5.552652e+02   3.685015e+01
  7.702010e-01   5.264659e+02   3.667224e+01
  7.721970e-01   4.955215e+02   3.691375e+01
  7.741930e-01   5.475481e+02   3.689556e+01
  7.761890e-01   5.434506e+02   3.656887e+01
  7.781850e-01   5.324503e+02   3.659768e+01
  7.801810e-01   4.359307e+02   3.595026e+01
  7.821770e-01   5.319560e+02   3.676846e+01
  7.841730e-01   5.114887e+02   3.618893e+01
  7.861690e-01   5.174743e+02   3.611541e+01
  7.881650e-01   5.655095e+02   3.636646e+01
  7.901610e-01   5.291635e+02   3.620744e+01
  7.921570e-01   4.884199e+02   3.617129e+01
  7.941530e-01   4.797574e+02   3.590253e+01
  7.961490e-01   5.210907e+02   3.610211e+01
  7.981450e-01   4.919112e+02   3.589156e+01
  8.001410e-01   4.539848e+02   3.567565e+01
  8.021370e-01   4.238836e+02   3.583125e+01
  8.041330e-01   4.671754e+02   3.567999e+01
  8.061290e-01   5.310774e+02   3.593397e+01
  8.081250e-01   5.268220e+02   3.570929e+01
  8.101210e-01   5.115160e+02   3.544802e+01
  8.121170e-01   4.663352e+02   3.549266e+01
  8.141130e-01   5.178462e+02   3.569299e+01
  8.161090e-01   5.128755e+02   3.569805e+01
  8.181050e-01   4.751433e+02   3.510756e+01
  8.201010e-01   4.293731e+02   3.550465e+01
  8.220970e-01   4.541371e+02   3.529248e+01
  8.240930e-01   4.859719e+02   3.535652e+01
  8.260890e-01   4.235809e+02   3.529441e+01
  8.280850e-01   4.383150e+02   3.472818e+01
  8.300810e-01   4.422696e+02   3.511714e+01
  8.320770e-01   4.394781e+02   3.516981e+01
  8.340730e-01   4.261899e+02   3.479673e+01
  8.360690e-01   4.517184e+02   3.500286e+01
  8.380650e-01   4.670177e+02   3.465110e+01
  8.400610e-01   4.188785e+02   3.495015e+01
  8.420570e-01   4.350994e+02   3.468841e+01
  8.440530e-01   3.923696e+02   3.458477e+01
  8.460490e-01   4.540424e+02   3.486062e+01
  8.480450e-01   3.970427e+02   3.407977e+01
  8.500410e-01   4.920967e+02   3.491927e+01
  8.520370e-01   3.627665e+02   3.437256e+01
  8.540340e-01   3.546346e+02   3.436839e+01
  8.560300e-01   3.980140e+02   3.450847e+01
  8.580260e-01   4.005380e+02   3.388622e+01
  8.600220e-01   3.419185e+02   3.433708e+01
  8.620180e-01   3.745730e+02   3.399074e+01
  8.640140e-01   3.515580e+02   3.426832e+01
  8.660100e-01   3.369062e+02   3.410715e+01
  8.680060e-01   3.665166e+02   3.380735e+01
  8.700020e-01   3.621032e+02   3.409929e+01
  8.719980e-01   3.795466e+02   3.372741e+01
  8.739940e-01   3.687612e+02   3.399014e+01
  8.759900e-01   3.653635e+02   3.367619e+01
  8.779860e-01   4.048966e+02   3.383681e+01
  8.799820e-01   4.393028e+02   3.395592e+01
  8.819780e-01   3.664896e+02   3.377327e+01
  8.839740e-01   3.456779e+02   3.391575e+01
  8.859700e-01   3.968741e+02   3.361290e+01
  8.879660e-01   3.434459e+02   3.348165e+01
  8.899620e-01   3.901697e+02   3.368747e+01
  8.919580e-01   3.127409e+02   3.352534e+01
  8.939540e-01   3.230246e+02   3.335505e+01
  8.959500e-01   3.924155e+02   3.343627e+01
  8.979460e-01   4.026195e+02   3.346478e+01
  8.999420e-01   3.812231e+02   3.336099e+01
  9.019380e-01   3.833743e+02   3.338726e+01
  9.039340e-01   3.618156e+02   3.317645e+01
  9.059300e-01   3.128451e+02   3.291994e+01
  9.079260e-01   4.059746e+02   3.322936e+01
  9.099220e-01   3.194768e+02   3.281148e+01
  9.119180e-01   2.938361e+02   3.278577e+01
  9.139140e-01   3.173646e+02   3.294673e+01
  9.159100e-01   2.394581e+02   3.290263e+01
  9.179060e-01   3.442148e+02   3.288026e+01
  9.199020e-01   3.324864e+02   3.294656e+01
  9.218980e-01   3.086204e+02   3.276906e+01
  9.238940e-01   3.036668e+02   3.287325e+01
  9.258900e-01   2.766238e+02   3.279025e+01
  9.278860e-01   3.455571e+02   3.282152e+01
  9.298820e-01   3.756652e+02   3.295361e+01
  9.318780e-01   2.743886e+02   3.266085e+01
  9.338740e-01   2.593633e+02   3.273517e+01
  9.358700e-01   3.388769e+02   3.255509e+01
  9.378660e-01   3.416371e+02   3.278324e+01
  9.398620e-01   3.133046e+02   3.269887e+01
  9.418590e-01   2.890196e+02   3.259894e+01
  9.438550e-01   2.923999e+02   3.252851e+01
  9.458510e-01   3.337669e+02   3.247527e+01
  9.478470e-01   2.919866e+02   3.250757e+01
  9.498430e-01   3.610641e+02   3.255835e+01
  9.518390e-01   3.203334e+02   3.252381e+01
  9.538350e-01   3.313242e+02   3.245282e+01
  9.558310e-01   3.390990e+02   3.239183e+01
  9.578270e-01   3.102886e+02   3.231345e+01
  9.598230e-01   2.617069e+02   3.244296e+01
  9.618190e-01   3.081159e+02   3.218620e+01
  9.638150e-01   2.852141e+02   3.230042e+01
  9.658110e-01   2.653904e+02   3.217423e+01
  9.678070e-01   2.704934e+02   3.210979e+01
  9.698030e-01   3.083830e+02   3.216618e+01
  9.717990e-01   3.099400e+02   3.207823e+01
  9.737950e-01   3.009731e+02   3.197285e+01
  9.757910e-01   2.941439e+02   3.220743e+01
  9.777870e-01   2.842145e+02   3.171889e+01
  9.797830e-01   2.557318e+02   3.201514e+01
  9.817790e-01   1.929230e+02   3.175452e+01
  9.837750e-01   1.995494e+02   3.180848e+01
  9.857710e-01   3.132629e+02   3.193233e+01
  9.877670e-01   2.941472e+02   3.169821e+01
  9.897630e-01   3.052269e+02   3.205083e+01
  9.917590e-01   2.313445e+02   3.164512e+01
  9.937550e-01   2.698346e+02   3.180749e+01
  9.957510e-01   2.175908e+02   3.160797e+01
  9.977470e-01   2.655437e+02   3.161751e+01
  9.997430e-01   3.081933e+02   3.195936e+01
  1.001740e+00   2.204233e+02   3.135358e+01
  1.003740e+00   2.706047e+02   3.155582e+01
  1.005730e+00   2.491076e+02   3.158156e+01
  1.007730e+00   2.433673e+02   3.159426e+01
  1.009720e+00   2.677530e+02   3.161970e+01
  1.011720e+00   2.771911e+02   3.137292e+01
  1.013720e+00   2.572967e+02   3.156532e+01
  1.015710e+00   2.756658e+02   3.126995e+01
  1.017710e+00   2.998100e+02   3.177482e+01
  1.019700e+00   2.088345e+02   3.110336e+01
  1.021700e+00   2.125080e+02   3.097644e+01
  1.023700e+00   2.615908e+02   3.128818e+01
