Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: Lytawt
Parent(s): lytawt_zc_new.dat
 6.250590e-001  1.219200e+001  1.534100e-001
 6.277940e-001  1.143990e+001  1.406700e-001
 6.305290e-001  1.177060e+001  1.473290e-001
 6.332640e-001  1.212460e+001  1.507850e-001
 6.359990e-001  1.181040e+001  1.488510e-001
 6.387340e-001  1.171030e+001  1.493750e-001
 6.414690e-001  1.169640e+001  1.455000e-001
 6.442040e-001  1.129680e+001  1.427080e-001
 6.469390e-001  1.158120e+001  1.454910e-001
 6.496740e-001  1.164870e+001  1.488270e-001
 6.524090e-001  1.141640e+001  1.417360e-001
 6.551440e-001  1.170910e+001  1.462950e-001
 6.578800e-001  1.152030e+001  1.461270e-001
 6.606150e-001  1.138720e+001  1.449540e-001
 6.633500e-001  1.118700e+001  1.434050e-001
 6.660850e-001  1.152450e+001  1.437650e-001
 6.688200e-001  1.106070e+001  1.430790e-001
 6.715550e-001  1.152000e+001  1.466220e-001
 6.742900e-001  1.113630e+001  1.428370e-001
 6.770250e-001  1.105230e+001  1.418810e-001
 6.797600e-001  1.098420e+001  1.404950e-001
 6.824950e-001  1.139570e+001  1.451610e-001
 6.852300e-001  1.104260e+001  1.413760e-001
 6.879660e-001  1.124110e+001  1.440420e-001
 6.907010e-001  1.086470e+001  1.408770e-001
 6.934360e-001  1.076060e+001  1.397450e-001
 6.961710e-001  1.117660e+001  1.435460e-001
 6.989060e-001  1.105180e+001  1.429890e-001
 7.016410e-001  1.067810e+001  1.401240e-001
 7.043760e-001  1.092780e+001  1.444140e-001
 7.071110e-001  1.080110e+001  1.389540e-001
 7.098460e-001  1.073680e+001  1.394980e-001
 7.125810e-001  1.082330e+001  1.397330e-001
 7.153160e-001  1.066240e+001  1.381570e-001
 7.180510e-001  1.021480e+001  1.330140e-001
 7.207870e-001  1.077120e+001  1.400000e-001
 7.235220e-001  1.035860e+001  1.376490e-001
 7.262570e-001  1.047540e+001  1.367420e-001
 7.289920e-001  1.025270e+001  1.347080e-001
 7.317270e-001  1.047170e+001  1.360230e-001
 7.344620e-001  1.042660e+001  1.354050e-001
 7.371970e-001  1.014980e+001  1.363460e-001
 7.399320e-001  1.010500e+001  1.345320e-001
 7.426670e-001  1.021910e+001  1.365720e-001
 7.454020e-001  9.978530e+000  1.343090e-001
 7.481370e-001  1.003530e+001  1.338270e-001
 7.508720e-001  1.008680e+001  1.355510e-001
 7.536080e-001  9.979080e+000  1.331810e-001
 7.563430e-001  1.017090e+001  1.344730e-001
 7.590780e-001  1.024170e+001  1.367980e-001
 7.618130e-001  1.020850e+001  1.378330e-001
 7.645480e-001  9.760940e+000  1.328960e-001
 7.672830e-001  1.011970e+001  1.337500e-001
 7.700180e-001  9.810080e+000  1.330590e-001
 7.727530e-001  9.816690e+000  1.326370e-001
 7.754880e-001  9.504430e+000  1.305650e-001
 7.782230e-001  9.768250e+000  1.315060e-001
 7.809580e-001  9.785780e+000  1.332300e-001
 7.836940e-001  9.759980e+000  1.312110e-001
 7.864290e-001  9.338760e+000  1.281690e-001
 7.891640e-001  9.535790e+000  1.306900e-001
 7.918990e-001  9.586500e+000  1.295060e-001
 7.946340e-001  9.713850e+000  1.336960e-001
 7.973690e-001  9.370750e+000  1.281160e-001
 8.001040e-001  9.222010e+000  1.278730e-001
 8.028390e-001  9.593820e+000  1.300660e-001
 8.055740e-001  9.337190e+000  1.287840e-001
 8.083090e-001  9.354730e+000  1.306820e-001
 8.110440e-001  9.427870e+000  1.329920e-001
 8.137790e-001  9.248410e+000  1.304640e-001
 8.165150e-001  9.360920e+000  1.304290e-001
 8.192500e-001  9.346750e+000  1.324880e-001
 8.219850e-001  9.099160e+000  1.331960e-001
 8.247200e-001  9.175810e+000  1.333170e-001
 8.274550e-001  8.957030e+000  1.286700e-001
 8.301900e-001  8.866990e+000  1.300070e-001
 8.329250e-001  8.660970e+000  1.298390e-001
 8.356600e-001  8.615600e+000  1.296580e-001
 8.383950e-001  8.626930e+000  1.286300e-001
 8.411300e-001  8.769620e+000  1.307480e-001
 8.438650e-001  8.762210e+000  1.292130e-001
 8.466010e-001  8.659900e+000  1.309290e-001
 8.493360e-001  8.714820e+000  1.352450e-001
 8.520710e-001  8.599190e+000  1.299080e-001
 8.548060e-001  8.774650e+000  1.357610e-001
 8.575410e-001  8.487870e+000  1.303260e-001
 8.602760e-001  8.432950e+000  1.324660e-001
 8.630110e-001  8.358600e+000  1.305770e-001
 8.657460e-001  8.299530e+000  1.293370e-001
 8.684810e-001  8.466570e+000  1.326570e-001
 8.712160e-001  8.091890e+000  1.284160e-001
 8.739510e-001  8.206730e+000  1.287670e-001
