 18-Oct-2007       (prot_024.dat - 1.0*Aver(prot_023.dat,prot_025.dat)) /  3.0
prot_024.dat  Conc = .30E+01  N1 =    1  N2 = 2164
prot_023.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
prot_025.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
  0.647668E+00  0.481315E+02  0.610632E+00
  0.649983E+00  0.470940E+02  0.607417E+00
  0.652298E+00  0.479072E+02  0.603000E+00
  0.654613E+00  0.468503E+02  0.607024E+00
  0.656928E+00  0.456750E+02  0.601852E+00
  0.659243E+00  0.462308E+02  0.600421E+00
  0.661558E+00  0.459032E+02  0.598858E+00
  0.663873E+00  0.466167E+02  0.598593E+00
  0.666188E+00  0.457586E+02  0.603047E+00
  0.668503E+00  0.455748E+02  0.593717E+00
  0.670818E+00  0.454281E+02  0.594802E+00
  0.673133E+00  0.456638E+02  0.591057E+00
  0.675448E+00  0.449280E+02  0.592275E+00
  0.677763E+00  0.444727E+02  0.591047E+00
  0.680078E+00  0.439505E+02  0.586902E+00
  0.682393E+00  0.437287E+02  0.590378E+00
  0.684708E+00  0.435946E+02  0.578851E+00
  0.687023E+00  0.434032E+02  0.586444E+00
  0.689338E+00  0.431111E+02  0.582604E+00
  0.691653E+00  0.423637E+02  0.579830E+00
  0.693968E+00  0.415560E+02  0.582301E+00
  0.696283E+00  0.419725E+02  0.576072E+00
  0.698598E+00  0.432412E+02  0.580723E+00
  0.700913E+00  0.418142E+02  0.569068E+00
  0.703228E+00  0.416371E+02  0.573188E+00
  0.705544E+00  0.399276E+02  0.575638E+00
  0.707859E+00  0.405618E+02  0.572423E+00
  0.710174E+00  0.396884E+02  0.573975E+00
  0.712489E+00  0.384714E+02  0.560270E+00
  0.714804E+00  0.400762E+02  0.573473E+00
  0.717119E+00  0.388267E+02  0.569314E+00
  0.719434E+00  0.382635E+02  0.561280E+00
  0.721749E+00  0.379535E+02  0.566774E+00
  0.724064E+00  0.382759E+02  0.555634E+00
  0.726379E+00  0.376167E+02  0.563474E+00
  0.728694E+00  0.379942E+02  0.558221E+00
  0.731009E+00  0.380618E+02  0.557621E+00
  0.733324E+00  0.381891E+02  0.560403E+00
  0.735639E+00  0.366522E+02  0.557589E+00
  0.737954E+00  0.360924E+02  0.559399E+00
  0.740269E+00  0.370657E+02  0.548554E+00
  0.742584E+00  0.364767E+02  0.551070E+00
  0.744899E+00  0.364594E+02  0.554511E+00
  0.747214E+00  0.356941E+02  0.547126E+00
  0.749529E+00  0.358405E+02  0.552957E+00
  0.751844E+00  0.349758E+02  0.541506E+00
  0.754159E+00  0.346998E+02  0.547677E+00
  0.756474E+00  0.354587E+02  0.547730E+00
  0.758789E+00  0.348008E+02  0.545076E+00
  0.761104E+00  0.341954E+02  0.543464E+00
  0.763419E+00  0.339631E+02  0.540775E+00
  0.765734E+00  0.328185E+02  0.543369E+00
  0.768049E+00  0.321935E+02  0.539701E+00
  0.770364E+00  0.318915E+02  0.534938E+00
  0.772679E+00  0.317656E+02  0.538685E+00
  0.774994E+00  0.319102E+02  0.536912E+00
  0.777309E+00  0.321761E+02  0.537886E+00
  0.779624E+00  0.316182E+02  0.529735E+00
  0.781939E+00  0.310118E+02  0.532292E+00
  0.784254E+00  0.317771E+02  0.533209E+00
  0.786569E+00  0.317164E+02  0.529507E+00
  0.788884E+00  0.304967E+02  0.534677E+00
  0.791200E+00  0.296685E+02  0.524688E+00
  0.793515E+00  0.300785E+02  0.533253E+00
  0.795830E+00  0.304810E+02  0.522169E+00
  0.798145E+00  0.290997E+02  0.522523E+00
  0.800460E+00  0.303990E+02  0.524880E+00
  0.802775E+00  0.298271E+02  0.522569E+00
  0.805090E+00  0.289382E+02  0.525009E+00
  0.807405E+00  0.285377E+02  0.517002E+00
  0.809720E+00  0.284811E+02  0.519480E+00
  0.812035E+00  0.279320E+02  0.519250E+00
  0.814350E+00  0.281617E+02  0.516981E+00
  0.816665E+00  0.285539E+02  0.518848E+00
  0.818980E+00  0.279979E+02  0.509735E+00
  0.821295E+00  0.272974E+02  0.515338E+00
  0.823610E+00  0.270825E+02  0.516044E+00
  0.825925E+00  0.268658E+02  0.510892E+00
  0.828240E+00  0.263306E+02  0.511969E+00
  0.830555E+00  0.267415E+02  0.509782E+00
  0.832870E+00  0.259199E+02  0.512405E+00
  0.835185E+00  0.260985E+02  0.506399E+00
  0.837500E+00  0.255359E+02  0.506629E+00
  0.839815E+00  0.252721E+02  0.505835E+00
  0.842130E+00  0.251135E+02  0.502141E+00
  0.844445E+00  0.257655E+02  0.509449E+00
  0.846760E+00  0.244919E+02  0.500598E+00
  0.849075E+00  0.243094E+02  0.502211E+00
  0.851390E+00  0.235102E+02  0.502151E+00
  0.853705E+00  0.230857E+02  0.499125E+00
  0.856020E+00  0.230274E+02  0.500623E+00
  0.858335E+00  0.233228E+02  0.495433E+00
  0.860650E+00  0.242574E+02  0.498595E+00
  0.862965E+00  0.238272E+02  0.497166E+00
  0.865280E+00  0.239258E+02  0.498435E+00
  0.867595E+00  0.241981E+02  0.497234E+00
  0.869910E+00  0.237238E+02  0.491822E+00
  0.872225E+00  0.228479E+02  0.496119E+00
  0.874541E+00  0.221893E+02  0.489936E+00
  0.876856E+00  0.219809E+02  0.492031E+00
  0.879171E+00  0.221706E+02  0.490728E+00
  0.881486E+00  0.207754E+02  0.488755E+00
  0.883801E+00  0.210886E+02  0.489759E+00
  0.886116E+00  0.216816E+02  0.484992E+00
  0.888431E+00  0.219825E+02  0.486906E+00
  0.890746E+00  0.221668E+02  0.485529E+00
  0.893061E+00  0.211706E+02  0.487028E+00
  0.895376E+00  0.209027E+02  0.484786E+00
  0.897691E+00  0.200680E+02  0.479885E+00
  0.900006E+00  0.202326E+02  0.485890E+00
  0.902321E+00  0.210364E+02  0.482702E+00
  0.904636E+00  0.202809E+02  0.480505E+00
  0.906951E+00  0.200936E+02  0.480477E+00
  0.909266E+00  0.196094E+02  0.476795E+00
  0.911581E+00  0.190513E+02  0.481688E+00
  0.913896E+00  0.190363E+02  0.475287E+00
  0.916211E+00  0.195079E+02  0.478998E+00
  0.918526E+00  0.190768E+02  0.473389E+00
  0.920841E+00  0.182532E+02  0.474247E+00
  0.923156E+00  0.175277E+02  0.475684E+00
  0.925471E+00  0.186122E+02  0.472096E+00
  0.927786E+00  0.178260E+02  0.472687E+00
  0.930101E+00  0.177207E+02  0.469077E+00
  0.932416E+00  0.173076E+02  0.472489E+00
  0.934731E+00  0.181442E+02  0.468790E+00
  0.937046E+00  0.182751E+02  0.466945E+00
  0.939361E+00  0.172348E+02  0.472333E+00
  0.941676E+00  0.166756E+02  0.464553E+00
  0.943991E+00  0.170974E+02  0.468558E+00
  0.946306E+00  0.166209E+02  0.465442E+00
  0.948621E+00  0.163222E+02  0.465097E+00
  0.950936E+00  0.174900E+02  0.469848E+00
  0.953251E+00  0.165108E+02  0.461258E+00
  0.955566E+00  0.167032E+02  0.466324E+00
  0.957882E+00  0.157541E+02  0.459145E+00
  0.960197E+00  0.164637E+02  0.462320E+00
  0.962512E+00  0.153873E+02  0.463483E+00
  0.964827E+00  0.144357E+02  0.457683E+00
  0.967142E+00  0.151242E+02  0.458763E+00
  0.969457E+00  0.150352E+02  0.456544E+00
  0.971772E+00  0.158626E+02  0.460919E+00
  0.974087E+00  0.150628E+02  0.459178E+00
  0.976402E+00  0.154126E+02  0.454085E+00
  0.978717E+00  0.145018E+02  0.458266E+00
  0.981032E+00  0.141481E+02  0.454175E+00
  0.983347E+00  0.137748E+02  0.453771E+00
  0.985662E+00  0.138222E+02  0.450926E+00
  0.987977E+00  0.136405E+02  0.451041E+00
  0.990292E+00  0.134880E+02  0.453874E+00
  0.992607E+00  0.143187E+02  0.450147E+00
  0.994922E+00  0.145530E+02  0.450865E+00
  0.997237E+00  0.139635E+02  0.446201E+00
  0.999552E+00  0.132627E+02  0.450841E+00
  0.100187E+01  0.139249E+02  0.450452E+00
  0.100418E+01  0.134102E+02  0.445077E+00
  0.100650E+01  0.125697E+02  0.445741E+00
  0.100881E+01  0.120848E+02  0.443437E+00
  0.101113E+01  0.129533E+02  0.447821E+00
  0.101344E+01  0.124687E+02  0.447171E+00
  0.101576E+01  0.119662E+02  0.441843E+00
  0.101807E+01  0.121149E+02  0.448660E+00
  0.102039E+01  0.127130E+02  0.442877E+00
  0.102270E+01  0.119565E+02  0.445109E+00
  0.102502E+01  0.115745E+02  0.440761E+00
  0.102733E+01  0.114707E+02  0.439403E+00
  0.102965E+01  0.121191E+02  0.442209E+00
  0.103196E+01  0.109229E+02  0.438054E+00
  0.103428E+01  0.116790E+02  0.444558E+00
  0.103659E+01  0.111083E+02  0.436765E+00
  0.103891E+01  0.113853E+02  0.439248E+00
  0.104122E+01  0.117054E+02  0.438924E+00
  0.104354E+01  0.117739E+02  0.433979E+00
  0.104585E+01  0.115977E+02  0.439089E+00
  0.104817E+01  0.118137E+02  0.434938E+00
  0.105048E+01  0.111319E+02  0.438251E+00
  0.105280E+01  0.105618E+02  0.432615E+00
  0.105511E+01  0.110528E+02  0.434499E+00
  0.105743E+01  0.106120E+02  0.434545E+00
  0.105974E+01  0.106684E+02  0.432023E+00
  0.106206E+01  0.105279E+02  0.433386E+00
  0.106437E+01  0.106153E+02  0.431061E+00
  0.106669E+01  0.103094E+02  0.431752E+00
  0.106900E+01  0.106681E+02  0.433346E+00
  0.107132E+01  0.101381E+02  0.430459E+00
  0.107363E+01  0.932357E+01  0.428400E+00
  0.107595E+01  0.998276E+01  0.424825E+00
  0.107826E+01  0.941958E+01  0.430968E+00
  0.108058E+01  0.883481E+01  0.428155E+00
  0.108289E+01  0.920908E+01  0.425124E+00
  0.108521E+01  0.813876E+01  0.425639E+00
  0.108752E+01  0.815866E+01  0.425479E+00
  0.108984E+01  0.908888E+01  0.428705E+00
  0.109215E+01  0.914143E+01  0.424408E+00
  0.109447E+01  0.817690E+01  0.423217E+00
  0.109678E+01  0.882964E+01  0.425017E+00
  0.109910E+01  0.882810E+01  0.422868E+00
  0.110141E+01  0.867648E+01  0.424372E+00
  0.110373E+01  0.895995E+01  0.417898E+00
  0.110604E+01  0.859947E+01  0.424047E+00
  0.110836E+01  0.811929E+01  0.422242E+00
  0.111067E+01  0.745100E+01  0.421203E+00
  0.111299E+01  0.782564E+01  0.421830E+00
  0.111530E+01  0.800704E+01  0.415595E+00
  0.111762E+01  0.824321E+01  0.420047E+00
  0.111993E+01  0.849767E+01  0.418735E+00
  0.112225E+01  0.854761E+01  0.418637E+00
  0.112456E+01  0.849261E+01  0.418860E+00
  0.112688E+01  0.741686E+01  0.415414E+00
  0.112919E+01  0.700250E+01  0.421898E+00
  0.113151E+01  0.778956E+01  0.414439E+00
  0.113382E+01  0.796315E+01  0.416944E+00
  0.113614E+01  0.743639E+01  0.416819E+00
  0.113845E+01  0.689401E+01  0.413802E+00
  0.114077E+01  0.736134E+01  0.415973E+00
  0.114308E+01  0.758838E+01  0.410744E+00
  0.114540E+01  0.709173E+01  0.415644E+00
  0.114771E+01  0.710898E+01  0.413050E+00
  0.115003E+01  0.686843E+01  0.412715E+00
  0.115234E+01  0.668606E+01  0.411538E+00
  0.115466E+01  0.740415E+01  0.410119E+00
  0.115697E+01  0.692676E+01  0.414620E+00
  0.115929E+01  0.649622E+01  0.409596E+00
  0.116160E+01  0.692460E+01  0.409433E+00
  0.116392E+01  0.618239E+01  0.407857E+00
  0.116623E+01  0.621279E+01  0.408900E+00
  0.116855E+01  0.610814E+01  0.410830E+00
  0.117086E+01  0.595050E+01  0.406699E+00
  0.117318E+01  0.580964E+01  0.408131E+00
  0.117549E+01  0.572710E+01  0.407084E+00
  0.117781E+01  0.583235E+01  0.408007E+00
  0.118012E+01  0.481113E+01  0.408124E+00
  0.118244E+01  0.583962E+01  0.405233E+00
  0.118475E+01  0.622104E+01  0.410543E+00
  0.118707E+01  0.647558E+01  0.409820E+00
  0.118938E+01  0.649327E+01  0.407927E+00
  0.119170E+01  0.630147E+01  0.409568E+00
  0.119401E+01  0.526871E+01  0.405333E+00
  0.119633E+01  0.556139E+01  0.411922E+00
  0.119864E+01  0.490144E+01  0.406471E+00
  0.120096E+01  0.519363E+01  0.410732E+00
  0.120327E+01  0.511348E+01  0.410110E+00
  0.120559E+01  0.507911E+01  0.408197E+00
  0.120790E+01  0.575749E+01  0.413373E+00
  0.121022E+01  0.483364E+01  0.406094E+00
  0.121253E+01  0.489929E+01  0.408338E+00
  0.121485E+01  0.476786E+01  0.409327E+00
  0.121716E+01  0.399182E+01  0.408249E+00
  0.121948E+01  0.504134E+01  0.410210E+00
  0.122179E+01  0.485740E+01  0.407977E+00
  0.122411E+01  0.459102E+01  0.410901E+00
  0.122642E+01  0.538049E+01  0.409135E+00
  0.122874E+01  0.568398E+01  0.410800E+00
  0.123105E+01  0.641227E+01  0.409907E+00
  0.123337E+01  0.516082E+01  0.407313E+00
  0.123568E+01  0.501552E+01  0.411038E+00
  0.123800E+01  0.495343E+01  0.406334E+00
  0.124031E+01  0.524819E+01  0.408848E+00
  0.124263E+01  0.520336E+01  0.409243E+00
  0.124494E+01  0.505599E+01  0.408169E+00
  0.124726E+01  0.406209E+01  0.409480E+00
  0.124957E+01  0.367721E+01  0.405475E+00
  0.125189E+01  0.445696E+01  0.408300E+00
  0.125421E+01  0.459999E+01  0.408435E+00
  0.125652E+01  0.473973E+01  0.409611E+00
  0.125884E+01  0.356739E+01  0.407213E+00
  0.126115E+01  0.377159E+01  0.404487E+00
  0.126347E+01  0.462405E+01  0.410734E+00
  0.126578E+01  0.506902E+01  0.405353E+00
