 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.556652E+00  0.657564E+06  0.584337E+04
  0.558902E+00  0.668880E+06  0.580518E+04
  0.561151E+00  0.663524E+06  0.584913E+04
  0.563401E+00  0.668496E+06  0.575984E+04
  0.565651E+00  0.642084E+06  0.579747E+04
  0.567900E+00  0.651776E+06  0.571768E+04
  0.570150E+00  0.644704E+06  0.574675E+04
  0.572400E+00  0.630584E+06  0.578463E+04
  0.574650E+00  0.622208E+06  0.569351E+04
  0.576899E+00  0.633272E+06  0.574107E+04
  0.579149E+00  0.617348E+06  0.562458E+04
  0.581399E+00  0.623224E+06  0.568252E+04
  0.583648E+00  0.621432E+06  0.569202E+04
  0.585898E+00  0.614984E+06  0.561224E+04
  0.588148E+00  0.601160E+06  0.564760E+04
  0.590397E+00  0.608568E+06  0.559062E+04
  0.592647E+00  0.603296E+06  0.560740E+04
  0.594897E+00  0.598900E+06  0.556145E+04
  0.597147E+00  0.597312E+06  0.555469E+04
  0.599396E+00  0.582780E+06  0.563230E+04
  0.601646E+00  0.597120E+06  0.551921E+04
  0.603896E+00  0.600460E+06  0.555606E+04
  0.606145E+00  0.577564E+06  0.545600E+04
  0.608395E+00  0.579932E+06  0.549857E+04
  0.610645E+00  0.581512E+06  0.553562E+04
  0.612894E+00  0.571928E+06  0.546405E+04
  0.615144E+00  0.565516E+06  0.548240E+04
  0.617394E+00  0.556452E+06  0.542920E+04
  0.619644E+00  0.552956E+06  0.546417E+04
  0.621893E+00  0.556804E+06  0.544441E+04
  0.624143E+00  0.544096E+06  0.537385E+04
  0.626393E+00  0.542960E+06  0.543095E+04
  0.628642E+00  0.543868E+06  0.536164E+04
  0.630892E+00  0.539736E+06  0.541148E+04
  0.633142E+00  0.533836E+06  0.535487E+04
  0.635391E+00  0.530592E+06  0.530685E+04
  0.637641E+00  0.534592E+06  0.537625E+04
  0.639891E+00  0.519608E+06  0.531114E+04
  0.642141E+00  0.516808E+06  0.532425E+04
  0.644390E+00  0.518372E+06  0.525760E+04
  0.646640E+00  0.520948E+06  0.527881E+04
  0.648890E+00  0.503664E+06  0.530692E+04
  0.651139E+00  0.512716E+06  0.522089E+04
  0.653389E+00  0.502236E+06  0.524350E+04
  0.655639E+00  0.499012E+06  0.523787E+04
  0.657888E+00  0.490296E+06  0.523678E+04
  0.660138E+00  0.492364E+06  0.523605E+04
  0.662388E+00  0.496656E+06  0.517607E+04
  0.664638E+00  0.487920E+06  0.518996E+04
  0.666887E+00  0.484220E+06  0.519163E+04
  0.669137E+00  0.466264E+06  0.520471E+04
  0.671387E+00  0.460296E+06  0.515979E+04
  0.673636E+00  0.466332E+06  0.514044E+04
  0.675886E+00  0.468948E+06  0.515220E+04
  0.678136E+00  0.459128E+06  0.512254E+04
  0.680385E+00  0.469136E+06  0.514010E+04
  0.682635E+00  0.467488E+06  0.509004E+04
  0.684885E+00  0.444520E+06  0.510375E+04
  0.687134E+00  0.455296E+06  0.510248E+04
  0.689384E+00  0.449992E+06  0.508482E+04
  0.691634E+00  0.442152E+06  0.505708E+04
  0.693884E+00  0.452340E+06  0.502847E+04
  0.696133E+00  0.440036E+06  0.509933E+04
  0.698383E+00  0.446236E+06  0.501231E+04
  0.700633E+00  0.441340E+06  0.501126E+04
