 05-Nov-2009       (filippo_024.dat - 1.0*filippo_025.dat) /  5.0000          
filippo_024.  Conc = .50E+01  N1 =    1  N2 = 2310
filippo_025.  Conc = 0.0d+0   N1 =    1  N2 = 2310
  0.616315E+00  0.378150E+02  0.171491E+00
  0.618983E+00  0.375994E+02  0.168493E+00
  0.621650E+00  0.373672E+02  0.165922E+00
  0.624318E+00  0.368513E+02  0.171293E+00
  0.626986E+00  0.366961E+02  0.167351E+00
  0.629653E+00  0.358489E+02  0.165529E+00
  0.632321E+00  0.356163E+02  0.164938E+00
  0.634988E+00  0.352777E+02  0.160871E+00
  0.637656E+00  0.348289E+02  0.164379E+00
  0.640324E+00  0.343402E+02  0.160787E+00
  0.642991E+00  0.337322E+02  0.157836E+00
  0.645659E+00  0.339605E+02  0.162155E+00
  0.648327E+00  0.333056E+02  0.155967E+00
  0.650994E+00  0.327524E+02  0.159254E+00
  0.653662E+00  0.327090E+02  0.153626E+00
  0.656329E+00  0.320938E+02  0.153357E+00
  0.658997E+00  0.321559E+02  0.155357E+00
  0.661665E+00  0.313712E+02  0.152083E+00
  0.664332E+00  0.311799E+02  0.155090E+00
  0.667000E+00  0.308465E+02  0.147688E+00
  0.669668E+00  0.305082E+02  0.150946E+00
  0.672335E+00  0.300516E+02  0.150721E+00
  0.675003E+00  0.298442E+02  0.147925E+00
  0.677671E+00  0.293038E+02  0.150158E+00
  0.680338E+00  0.289892E+02  0.145759E+00
  0.683006E+00  0.287791E+02  0.145784E+00
  0.685673E+00  0.284403E+02  0.144457E+00
  0.688341E+00  0.280760E+02  0.142989E+00
  0.691009E+00  0.276066E+02  0.144174E+00
  0.693676E+00  0.275585E+02  0.142801E+00
  0.696344E+00  0.272854E+02  0.143296E+00
  0.699012E+00  0.267806E+02  0.139910E+00
  0.701679E+00  0.261714E+02  0.139704E+00
  0.704347E+00  0.263230E+02  0.140658E+00
  0.707014E+00  0.258853E+02  0.139243E+00
  0.709682E+00  0.256031E+02  0.139002E+00
  0.712350E+00  0.254013E+02  0.138172E+00
  0.715017E+00  0.250145E+02  0.136932E+00
  0.717685E+00  0.248236E+02  0.136093E+00
  0.720353E+00  0.243210E+02  0.135454E+00
  0.723020E+00  0.242215E+02  0.136102E+00
  0.725688E+00  0.239696E+02  0.133049E+00
  0.728355E+00  0.234813E+02  0.134535E+00
  0.731023E+00  0.232066E+02  0.133804E+00
  0.733691E+00  0.229793E+02  0.131928E+00
  0.736358E+00  0.228193E+02  0.131157E+00
  0.739026E+00  0.224585E+02  0.131575E+00
  0.741694E+00  0.222446E+02  0.131921E+00
  0.744361E+00  0.217368E+02  0.129371E+00
  0.747029E+00  0.219375E+02  0.130059E+00
  0.749696E+00  0.213352E+02  0.127631E+00
  0.752364E+00  0.213040E+02  0.129246E+00
  0.755032E+00  0.209879E+02  0.127971E+00
  0.757699E+00  0.207486E+02  0.126428E+00
  0.760367E+00  0.205886E+02  0.128172E+00
  0.763035E+00  0.200007E+02  0.125825E+00
  0.765702E+00  0.198239E+02  0.125780E+00
  0.768370E+00  0.197483E+02  0.123737E+00
  0.771037E+00  0.193398E+02  0.124299E+00
  0.773705E+00  0.193372E+02  0.125279E+00
  0.776373E+00  0.189563E+02  0.123310E+00
  0.779040E+00  0.187354E+02  0.122322E+00
  0.781708E+00  0.185957E+02  0.121995E+00
  0.784376E+00  0.182764E+02  0.121799E+00
  0.787043E+00  0.181377E+02  0.124324E+00
  0.789711E+00  0.179609E+02  0.118241E+00
  0.792378E+00  0.176889E+02  0.120759E+00
  0.795046E+00  0.173044E+02  0.119537E+00
  0.797714E+00  0.171341E+02  0.119810E+00
  0.800381E+00  0.171146E+02  0.118858E+00
  0.803049E+00  0.169172E+02  0.117757E+00
  0.805717E+00  0.167026E+02  0.119930E+00
  0.808384E+00  0.163926E+02  0.117724E+00
  0.811052E+00  0.163613E+02  0.117874E+00
  0.813720E+00  0.162577E+02  0.117354E+00
  0.816387E+00  0.159064E+02  0.115003E+00
  0.819055E+00  0.157615E+02  0.117558E+00
  0.821722E+00  0.155570E+02  0.115064E+00
  0.824390E+00  0.151296E+02  0.114320E+00
  0.827058E+00  0.150330E+02  0.116117E+00
  0.829725E+00  0.147903E+02  0.114396E+00
  0.832393E+00  0.147603E+02  0.115823E+00
  0.835061E+00  0.146085E+02  0.111267E+00
  0.837728E+00  0.141338E+02  0.114495E+00
  0.840396E+00  0.141367E+02  0.112911E+00
  0.843063E+00  0.139671E+02  0.113291E+00
  0.845731E+00  0.135670E+02  0.111861E+00
  0.848399E+00  0.137288E+02  0.110536E+00
  0.851066E+00  0.135352E+02  0.112270E+00
  0.853734E+00  0.131662E+02  0.111457E+00
  0.856402E+00  0.131551E+02  0.110508E+00
  0.859069E+00  0.129033E+02  0.110143E+00
  0.861737E+00  0.127461E+02  0.110235E+00
  0.864404E+00  0.126091E+02  0.110664E+00
  0.867072E+00  0.123892E+02  0.109530E+00
  0.869740E+00  0.122311E+02  0.107896E+00
  0.872407E+00  0.122212E+02  0.108255E+00
  0.875075E+00  0.120588E+02  0.108011E+00
  0.877743E+00  0.119250E+02  0.109248E+00
  0.880410E+00  0.117430E+02  0.106892E+00
  0.883078E+00  0.116252E+02  0.107018E+00
  0.885745E+00  0.115926E+02  0.106573E+00
  0.888413E+00  0.111903E+02  0.107661E+00
  0.891081E+00  0.112789E+02  0.106645E+00
  0.893748E+00  0.109120E+02  0.106708E+00
  0.896416E+00  0.108626E+02  0.106802E+00
  0.899084E+00  0.108382E+02  0.104613E+00
  0.901751E+00  0.105908E+02  0.105885E+00
  0.904419E+00  0.104176E+02  0.105109E+00
  0.907086E+00  0.102354E+02  0.105533E+00
  0.909754E+00  0.100832E+02  0.105587E+00
  0.912422E+00  0.100664E+02  0.102918E+00
  0.915089E+00  0.100091E+02  0.104695E+00
  0.917757E+00  0.988022E+01  0.104969E+00
  0.920425E+00  0.967180E+01  0.104869E+00
  0.923092E+00  0.970670E+01  0.105891E+00
  0.925760E+00  0.967920E+01  0.103051E+00
  0.928428E+00  0.930978E+01  0.105245E+00
  0.931095E+00  0.941700E+01  0.103204E+00
  0.933763E+00  0.909426E+01  0.104995E+00
  0.936430E+00  0.900996E+01  0.103420E+00
  0.939098E+00  0.881620E+01  0.103341E+00
  0.941766E+00  0.888618E+01  0.104539E+00
  0.944433E+00  0.888142E+01  0.102544E+00
  0.947101E+00  0.861108E+01  0.103561E+00
  0.949769E+00  0.839798E+01  0.102634E+00
  0.952436E+00  0.849056E+01  0.102815E+00
  0.955104E+00  0.844824E+01  0.103960E+00
  0.957771E+00  0.819034E+01  0.101669E+00
  0.960439E+00  0.795690E+01  0.103701E+00
  0.963107E+00  0.788178E+01  0.102046E+00
  0.965774E+00  0.770736E+01  0.103026E+00
  0.968442E+00  0.764834E+01  0.103107E+00
  0.971110E+00  0.763838E+01  0.101613E+00
  0.973777E+00  0.760664E+01  0.102726E+00
  0.976445E+00  0.745960E+01  0.101048E+00
  0.979112E+00  0.747280E+01  0.102708E+00
  0.981780E+00  0.725906E+01  0.100638E+00
  0.984448E+00  0.721308E+01  0.101678E+00
  0.987115E+00  0.710562E+01  0.101574E+00
  0.989783E+00  0.692756E+01  0.101867E+00
  0.992451E+00  0.683556E+01  0.101181E+00
  0.995118E+00  0.678922E+01  0.100148E+00
  0.997786E+00  0.672094E+01  0.101814E+00
  0.100045E+01  0.675776E+01  0.101423E+00
  0.100312E+01  0.653262E+01  0.100489E+00
  0.100579E+01  0.648530E+01  0.101121E+00
  0.100846E+01  0.645134E+01  0.988180E-01
  0.101112E+01  0.628078E+01  0.101656E+00
  0.101379E+01  0.626260E+01  0.100169E+00
  0.101646E+01  0.629474E+01  0.100971E+00
  0.101913E+01  0.615742E+01  0.101027E+00
  0.102179E+01  0.593820E+01  0.991300E-01
  0.102446E+01  0.606300E+01  0.101659E+00
  0.102713E+01  0.608140E+01  0.992641E-01
  0.102980E+01  0.586238E+01  0.100051E+00
  0.103246E+01  0.577168E+01  0.999212E-01
  0.103513E+01  0.591276E+01  0.993548E-01
