Sample description: DAPK2o6768
Sample: DAPK2o6768  c= 2.0000 mg/ml  Code: DAPKB
Parent(s): processed/subtracted/DAPKB_0036_sub.dat
  9.089640e-01   1.343981e+02   9.991320e+00
  9.115950e-01   1.405202e+02   1.009398e+01
  9.142260e-01   1.325200e+02   1.004319e+01
  9.168570e-01   1.397571e+02   1.000068e+01
  9.194880e-01   1.446027e+02   9.968165e+00
  9.221190e-01   1.178465e+02   9.888770e+00
  9.247510e-01   1.386476e+02   1.003319e+01
  9.273820e-01   1.374126e+02   9.846850e+00
  9.300130e-01   1.296944e+02   9.998205e+00
  9.326440e-01   1.097181e+02   1.004655e+01
  9.352750e-01   1.312432e+02   1.025697e+01
  9.379060e-01   1.242796e+02   1.035781e+01
  9.405370e-01   1.387952e+02   1.041449e+01
  9.431680e-01   1.294770e+02   1.048100e+01
  9.457990e-01   1.348460e+02   1.040461e+01
  9.484310e-01   1.322819e+02   1.045777e+01
  9.510620e-01   1.256540e+02   1.040249e+01
  9.536930e-01   1.312728e+02   1.040591e+01
  9.563240e-01   1.084047e+02   1.055879e+01
  9.589550e-01   1.208244e+02   1.049844e+01
  9.615860e-01   1.269429e+02   1.066189e+01
  9.642170e-01   1.082541e+02   1.052328e+01
  9.668480e-01   1.340404e+02   1.065181e+01
  9.694790e-01   1.367568e+02   1.067643e+01
  9.721110e-01   1.133833e+02   1.064017e+01
  9.747420e-01   1.065989e+02   1.066337e+01
  9.773730e-01   1.205748e+02   1.073522e+01
  9.800040e-01   1.075512e+02   1.066285e+01
  9.826350e-01   1.059038e+02   1.065493e+01
  9.852660e-01   1.068042e+02   1.042068e+01
  9.878970e-01   1.042306e+02   1.040866e+01
  9.905280e-01   9.701035e+01   1.016253e+01
  9.931590e-01   1.069852e+02   1.017136e+01
  9.957900e-01   8.655575e+01   1.000314e+01
  9.984220e-01   1.059106e+02   1.003410e+01
  1.001050e+00   1.052361e+02   1.001666e+01
  1.003680e+00   9.187330e+01   9.800480e+00
  1.006310e+00   9.411605e+01   9.878480e+00
  1.008950e+00   1.093649e+02   9.890085e+00
  1.011580e+00   1.010712e+02   9.826795e+00
  1.014210e+00   9.816735e+01   9.727180e+00
  1.016840e+00   9.987725e+01   9.668965e+00
  1.019470e+00   9.431525e+01   9.702365e+00
  1.022100e+00   9.632065e+01   9.672575e+00
  1.024730e+00   9.840770e+01   9.704740e+00
  1.027360e+00   1.052921e+02   9.578420e+00
  1.029990e+00   1.061436e+02   9.619225e+00
  1.032630e+00   9.462820e+01   9.638085e+00
  1.035260e+00   8.427960e+01   9.402480e+00
  1.037890e+00   8.439745e+01   9.494190e+00
  1.040520e+00   9.289665e+01   9.453030e+00
  1.043150e+00   7.046985e+01   9.328355e+00
  1.045780e+00   9.473830e+01   9.550560e+00
  1.048410e+00   8.194985e+01   9.321185e+00
  1.051040e+00   8.473625e+01   9.400450e+00
  1.053670e+00   9.023535e+01   9.176665e+00
  1.056310e+00   7.490075e+01   9.333915e+00
  1.058940e+00   9.529960e+01   9.345440e+00
  1.061570e+00   8.105155e+01   9.188875e+00
  1.064200e+00   8.804315e+01   9.335990e+00
  1.066830e+00   8.910670e+01   9.071860e+00
  1.069460e+00   8.800725e+01   9.209480e+00
  1.072090e+00   6.878400e+01   9.065110e+00
  1.074720e+00   8.054150e+01   9.133085e+00
  1.077350e+00   6.035120e+01   9.029125e+00
  1.079990e+00   8.219875e+01   8.978810e+00
  1.082620e+00   8.348465e+01   9.145475e+00
  1.085250e+00   8.593085e+01   9.044830e+00
  1.087880e+00   8.281930e+01   9.015280e+00
  1.090510e+00   8.498040e+01   9.047460e+00
  1.093140e+00   7.058350e+01   8.917610e+00
  1.095770e+00   8.392895e+01   9.012275e+00
  1.098400e+00   6.637995e+01   8.814200e+00
  1.101030e+00   6.752435e+01   8.917985e+00
  1.103670e+00   7.894365e+01   9.004140e+00
  1.106300e+00   7.153245e+01   8.802960e+00
  1.108930e+00   7.080680e+01   8.935790e+00
  1.111560e+00   6.138860e+01   8.825005e+00
  1.114190e+00   7.919810e+01   8.959945e+00
  1.116820e+00   7.228625e+01   8.785285e+00
  1.119450e+00   6.316550e+01   8.730865e+00
  1.122080e+00   5.730640e+01   8.804025e+00
  1.124710e+00   5.783045e+01   8.701395e+00
  1.127350e+00   6.439825e+01   8.801995e+00
  1.129980e+00   6.208990e+01   8.754485e+00
  1.132610e+00   7.311780e+01   8.819320e+00
  1.135240e+00   4.984515e+01   8.692365e+00
  1.137870e+00   6.091430e+01   8.611630e+00
  1.140500e+00   6.044790e+01   8.622355e+00
  1.143130e+00   5.089110e+01   8.586075e+00
  1.145760e+00   6.219925e+01   8.656735e+00
  1.148390e+00   5.750485e+01   8.567420e+00
  1.151030e+00   5.978570e+01   8.569915e+00
  1.153660e+00   5.488240e+01   8.678640e+00
  1.156290e+00   6.609360e+01   8.564695e+00
  1.158920e+00   5.997475e+01   8.657660e+00
  1.161550e+00   6.765865e+01   8.600970e+00
  1.164180e+00   6.138345e+01   8.533515e+00
  1.166810e+00   5.700725e+01   8.522085e+00
  1.169440e+00   6.796685e+01   8.546175e+00
  1.172070e+00   4.490935e+01   8.527950e+00
  1.174710e+00   5.334450e+01   8.503900e+00
  1.177340e+00   4.214250e+01   8.508565e+00
  1.179970e+00   5.484635e+01   8.475655e+00
  1.182600e+00   6.463870e+01   8.481070e+00
  1.185230e+00   5.213140e+01   8.401860e+00
  1.187860e+00   5.532930e+01   8.343155e+00
  1.190490e+00   3.561945e+01   8.371915e+00
  1.193120e+00   4.786345e+01   8.285855e+00
  1.195750e+00   4.427220e+01   8.291975e+00
  1.198390e+00   4.988450e+01   8.377330e+00
  1.201020e+00   5.803055e+01   8.394840e+00
  1.203650e+00   4.138250e+01   8.343375e+00
  1.206280e+00   4.461340e+01   8.301025e+00
  1.208910e+00   5.732760e+01   8.296895e+00
  1.211540e+00   4.083220e+01   8.234335e+00
  1.214170e+00   5.909100e+01   8.268970e+00
  1.216800e+00   5.289050e+01   8.240165e+00
  1.219430e+00   4.490400e+01   8.205200e+00
  1.222070e+00   4.932810e+01   8.220870e+00
  1.224700e+00   5.249910e+01   8.269365e+00
  1.227330e+00   3.313810e+01   8.050195e+00
  1.229960e+00   3.965395e+01   8.134925e+00
  1.232590e+00   5.020665e+01   8.130140e+00
