 02-Dec-2007       (gue_056.dat - 1.0*gue_057.dat) /  3.0000                  
 gue_056.dat  Conc = .30E+01  N1 =    1  N2 =  872
 gue_057.dat  Conc = 0.0d+0   N1 =    1  N2 =  872
  0.557284E+00  0.512057E-01  0.103102E-02
  0.559966E+00  0.496180E-01  0.104036E-02
  0.562649E+00  0.497497E-01  0.103822E-02
  0.565331E+00  0.488460E-01  0.104559E-02
  0.568013E+00  0.478563E-01  0.101209E-02
  0.570695E+00  0.449253E-01  0.103279E-02
  0.573378E+00  0.462680E-01  0.102549E-02
  0.576060E+00  0.458097E-01  0.102345E-02
  0.578742E+00  0.450483E-01  0.103447E-02
  0.581425E+00  0.444317E-01  0.101409E-02
  0.584107E+00  0.433260E-01  0.101071E-02
  0.586789E+00  0.418400E-01  0.101753E-02
  0.589471E+00  0.428513E-01  0.101348E-02
  0.592154E+00  0.395693E-01  0.996122E-03
  0.594836E+00  0.406133E-01  0.100633E-02
  0.597518E+00  0.413590E-01  0.100632E-02
  0.600200E+00  0.395830E-01  0.100957E-02
  0.602883E+00  0.388347E-01  0.985952E-03
  0.605565E+00  0.371603E-01  0.100179E-02
  0.608247E+00  0.379273E-01  0.992569E-03
  0.610929E+00  0.364023E-01  0.996967E-03
  0.613612E+00  0.364120E-01  0.966281E-03
  0.616294E+00  0.358200E-01  0.970071E-03
  0.618976E+00  0.340607E-01  0.992306E-03
  0.621658E+00  0.345720E-01  0.984613E-03
  0.624341E+00  0.349417E-01  0.977339E-03
  0.627023E+00  0.313750E-01  0.968912E-03
  0.629705E+00  0.321987E-01  0.965400E-03
  0.632387E+00  0.325690E-01  0.973389E-03
  0.635070E+00  0.308337E-01  0.962939E-03
  0.637752E+00  0.321877E-01  0.960472E-03
  0.640434E+00  0.290653E-01  0.974080E-03
  0.643116E+00  0.280613E-01  0.963341E-03
  0.645799E+00  0.311447E-01  0.961074E-03
  0.648481E+00  0.292367E-01  0.944679E-03
  0.651163E+00  0.292533E-01  0.943794E-03
  0.653845E+00  0.263313E-01  0.945499E-03
  0.656528E+00  0.294293E-01  0.958367E-03
  0.659210E+00  0.278397E-01  0.956349E-03
  0.661892E+00  0.270983E-01  0.937412E-03
  0.664575E+00  0.254340E-01  0.950506E-03
  0.667257E+00  0.248333E-01  0.946478E-03
  0.669939E+00  0.246923E-01  0.938051E-03
  0.672621E+00  0.252470E-01  0.950708E-03
  0.675304E+00  0.243543E-01  0.947234E-03
  0.677986E+00  0.240150E-01  0.920413E-03
  0.680668E+00  0.246323E-01  0.933884E-03
  0.683350E+00  0.237233E-01  0.927745E-03
  0.686033E+00  0.240743E-01  0.921069E-03
  0.688715E+00  0.231733E-01  0.937259E-03
  0.691397E+00  0.222513E-01  0.938818E-03
  0.694079E+00  0.216853E-01  0.933250E-03
  0.696762E+00  0.200027E-01  0.926511E-03
  0.699444E+00  0.215857E-01  0.933374E-03
  0.702126E+00  0.214783E-01  0.928570E-03
  0.704808E+00  0.218053E-01  0.925765E-03
  0.707491E+00  0.197747E-01  0.933004E-03
  0.710173E+00  0.191153E-01  0.925222E-03
  0.712855E+00  0.196360E-01  0.920593E-03
  0.715537E+00  0.204243E-01  0.921288E-03
  0.718220E+00  0.203727E-01  0.932030E-03
  0.720902E+00  0.189837E-01  0.914832E-03
  0.723584E+00  0.172673E-01  0.936082E-03
  0.726266E+00  0.181253E-01  0.930515E-03
  0.728949E+00  0.183463E-01  0.908776E-03
  0.731631E+00  0.187073E-01  0.915923E-03
  0.734313E+00  0.167283E-01  0.917888E-03
  0.736996E+00  0.175980E-01  0.924352E-03
  0.739678E+00  0.177103E-01  0.922512E-03
  0.742360E+00  0.159363E-01  0.911559E-03
  0.745042E+00  0.169123E-01  0.910152E-03
  0.747725E+00  0.169023E-01  0.907464E-03
  0.750407E+00  0.152483E-01  0.917419E-03
  0.753089E+00  0.158010E-01  0.917360E-03
  0.755771E+00  0.160417E-01  0.911046E-03
  0.758454E+00  0.149543E-01  0.918207E-03
  0.761136E+00  0.148173E-01  0.905590E-03
  0.763818E+00  0.151677E-01  0.898568E-03
  0.766500E+00  0.143580E-01  0.910659E-03
  0.769183E+00  0.158963E-01  0.898519E-03
  0.771865E+00  0.136030E-01  0.911459E-03
  0.774547E+00  0.145123E-01  0.899044E-03
  0.777229E+00  0.125373E-01  0.886000E-03
  0.779912E+00  0.145850E-01  0.899225E-03
  0.782594E+00  0.144547E-01  0.907510E-03
  0.785276E+00  0.142690E-01  0.893190E-03
  0.787958E+00  0.127737E-01  0.890656E-03
  0.790641E+00  0.128993E-01  0.894461E-03
  0.793323E+00  0.123067E-01  0.886154E-03
  0.796005E+00  0.118330E-01  0.881458E-03
