Sample description: NETRIN DCC56 AmS
Sample: NETRIN DCC56 Am  c= 2.8700 mg/ml  Code: RN11D56A
Parent(s): processed/subtracted/RN11D56A_0064_sub.dat
  5.931360e-01   2.621202e+02   1.237031e+01
  5.951340e-01   2.939369e+02   1.246411e+01
  5.971320e-01   3.085174e+02   1.232848e+01
  5.991310e-01   3.171122e+02   1.216401e+01
  6.011290e-01   3.046157e+02   1.236508e+01
  6.031280e-01   2.935659e+02   1.228483e+01
  6.051260e-01   2.790812e+02   1.234923e+01
  6.071250e-01   2.858948e+02   1.228044e+01
  6.091230e-01   2.883334e+02   1.212044e+01
  6.111210e-01   2.730446e+02   1.220348e+01
  6.131200e-01   2.677840e+02   1.208103e+01
  6.151180e-01   2.804645e+02   1.212182e+01
  6.171170e-01   2.783767e+02   1.203701e+01
  6.191150e-01   2.711300e+02   1.212872e+01
  6.211140e-01   2.789805e+02   1.214405e+01
  6.231120e-01   2.756760e+02   1.187682e+01
  6.251110e-01   2.542429e+02   1.226432e+01
  6.271090e-01   2.416554e+02   1.246259e+01
  6.291070e-01   2.618523e+02   1.257679e+01
  6.311060e-01   2.586310e+02   1.266539e+01
  6.331040e-01   2.679202e+02   1.240985e+01
  6.351030e-01   2.512488e+02   1.268658e+01
  6.371010e-01   2.436753e+02   1.297879e+01
  6.391000e-01   2.582038e+02   1.293378e+01
  6.410980e-01   2.549108e+02   1.276254e+01
  6.430960e-01   2.566429e+02   1.286112e+01
  6.450950e-01   2.336585e+02   1.300636e+01
  6.470930e-01   2.525125e+02   1.284018e+01
  6.490920e-01   2.507679e+02   1.288443e+01
  6.510900e-01   2.521509e+02   1.280400e+01
  6.530890e-01   2.169035e+02   1.275479e+01
  6.550870e-01   2.598066e+02   1.302960e+01
  6.570850e-01   2.453666e+02   1.266440e+01
  6.590840e-01   2.373505e+02   1.284742e+01
  6.610820e-01   2.600899e+02   1.266341e+01
  6.630810e-01   2.485843e+02   1.275246e+01
  6.650790e-01   2.499359e+02   1.287614e+01
  6.670780e-01   2.454930e+02   1.261192e+01
  6.690760e-01   2.324463e+02   1.294110e+01
  6.710740e-01   2.318390e+02   1.251945e+01
  6.730730e-01   2.336798e+02   1.240686e+01
  6.750710e-01   2.330394e+02   1.216033e+01
  6.770700e-01   2.286909e+02   1.224685e+01
  6.790680e-01   2.090014e+02   1.224841e+01
  6.810670e-01   2.364202e+02   1.219392e+01
  6.830650e-01   2.236024e+02   1.215550e+01
  6.850630e-01   2.181582e+02   1.197616e+01
  6.870620e-01   2.224129e+02   1.207729e+01
  6.890600e-01   2.449624e+02   1.208588e+01
  6.910590e-01   2.322484e+02   1.181970e+01
  6.930570e-01   2.230909e+02   1.187334e+01
  6.950560e-01   2.353634e+02   1.182759e+01
  6.970540e-01   2.315585e+02   1.201593e+01
  6.990530e-01   2.256056e+02   1.190606e+01
  7.010510e-01   2.300223e+02   1.154455e+01
  7.030490e-01   2.003017e+02   1.182656e+01
  7.050480e-01   2.042857e+02   1.152686e+01
  7.070460e-01   2.050192e+02   1.173464e+01
  7.090450e-01   2.134484e+02   1.154338e+01
  7.110430e-01   2.094390e+02   1.161122e+01
  7.130420e-01   2.018679e+02   1.167470e+01
  7.150400e-01   2.133603e+02   1.155199e+01
  7.170380e-01   2.023544e+02   1.145466e+01
  7.190370e-01   2.121770e+02   1.148964e+01
  7.210350e-01   2.144279e+02   1.148130e+01
  7.230340e-01   1.906073e+02   1.147450e+01
  7.250320e-01   2.223801e+02   1.135559e+01
  7.270310e-01   1.959446e+02   1.138549e+01
  7.290290e-01   1.856784e+02   1.129111e+01
  7.310270e-01   1.992822e+02   1.129527e+01
  7.330260e-01   2.083042e+02   1.125533e+01
  7.350240e-01   2.007258e+02   1.120835e+01
  7.370230e-01   2.019568e+02   1.127488e+01
  7.390210e-01   1.845774e+02   1.101839e+01
  7.410200e-01   1.895617e+02   1.120682e+01
  7.430180e-01   1.944355e+02   1.109961e+01
  7.450160e-01   1.868993e+02   1.118487e+01
  7.470150e-01   1.940181e+02   1.120568e+01
  7.490130e-01   1.955369e+02   1.099980e+01
  7.510120e-01   1.643331e+02   1.100279e+01
  7.530100e-01   1.860634e+02   1.103215e+01
  7.550090e-01   1.726756e+02   1.112031e+01
  7.570070e-01   1.707498e+02   1.108759e+01
  7.590060e-01   1.747237e+02   1.085480e+01
  7.610040e-01   1.971732e+02   1.094838e+01
  7.630020e-01   1.845031e+02   1.097085e+01
  7.650010e-01   1.825272e+02   1.105284e+01
  7.669990e-01   1.704885e+02   1.099075e+01
  7.689980e-01   1.696686e+02   1.084981e+01
  7.709960e-01   1.660279e+02   1.097805e+01
  7.729950e-01   1.815882e+02   1.087283e+01
  7.749930e-01   1.670188e+02   1.084112e+01
  7.769910e-01   1.410122e+02   1.075122e+01
  7.789900e-01   1.539833e+02   1.089354e+01
  7.809880e-01   1.595063e+02   1.084723e+01
  7.829870e-01   1.576195e+02   1.080086e+01
  7.849850e-01   1.823024e+02   1.065927e+01
  7.869840e-01   1.802296e+02   1.076797e+01
  7.889820e-01   1.487251e+02   1.078148e+01
  7.909800e-01   1.517084e+02   1.070516e+01
  7.929790e-01   1.478240e+02   1.054831e+01
  7.949770e-01   1.334791e+02   1.054925e+01
  7.969760e-01   1.607693e+02   1.057647e+01
  7.989740e-01   1.713373e+02   1.063824e+01
  8.009730e-01   1.521770e+02   1.060018e+01
  8.029710e-01   1.447174e+02   1.055145e+01
  8.049690e-01   1.798314e+02   1.060800e+01
  8.069680e-01   1.488348e+02   1.044495e+01
  8.089660e-01   1.489655e+02   1.061411e+01
  8.109650e-01   1.675369e+02   1.041895e+01
  8.129630e-01   1.529868e+02   1.054342e+01
  8.149620e-01   1.561686e+02   1.049641e+01
  8.169600e-01   1.650829e+02   1.052139e+01
  8.189590e-01   1.584024e+02   1.039562e+01
  8.209570e-01   1.535484e+02   1.030962e+01
  8.229550e-01   1.422819e+02   1.046216e+01
  8.249540e-01   1.540463e+02   1.038741e+01
  8.269520e-01   1.550557e+02   1.030216e+01
  8.289510e-01   1.357038e+02   1.044303e+01
  8.309490e-01   1.558763e+02   1.029367e+01
  8.329480e-01   1.317080e+02   1.040681e+01
  8.349460e-01   1.407617e+02   1.024418e+01
  8.369440e-01   1.538564e+02   1.023110e+01
  8.389430e-01   1.243620e+02   1.031043e+01
  8.409410e-01   1.440895e+02   1.016870e+01
  8.429400e-01   1.442700e+02   1.028617e+01
  8.449380e-01   1.207693e+02   1.021933e+01
  8.469370e-01   1.367624e+02   1.029131e+01
