#Sample description: CD27LC239R NaCl
#Sample: CD27LC239R NaCl  c= 1.0600 mg/ml  Code: CD27CR
#Parent(s): /var/folders/z_/xc294sm95_b7n3lbzr312p7w0000gn/T/qt_temp.T19533
  6.528950e-01   7.077751e+02   2.899866e+01
  6.555260e-01   7.091871e+02   2.891158e+01
  6.581560e-01   6.662487e+02   2.863402e+01
  6.607870e-01   6.476605e+02   2.854883e+01
  6.634180e-01   6.548046e+02   2.846777e+01
  6.660490e-01   6.600975e+02   2.831470e+01
  6.686790e-01   6.692445e+02   2.830705e+01
  6.713100e-01   6.411818e+02   2.830115e+01
  6.739410e-01   6.049221e+02   2.808783e+01
  6.765720e-01   6.176794e+02   2.807286e+01
  6.792020e-01   6.527510e+02   2.808528e+01
  6.818330e-01   6.375491e+02   2.796684e+01
  6.844640e-01   5.849027e+02   2.803521e+01
  6.870950e-01   6.188464e+02   2.786646e+01
  6.897250e-01   6.111943e+02   2.780560e+01
  6.923560e-01   6.020271e+02   2.783120e+01
  6.949870e-01   6.050008e+02   2.771780e+01
  6.976180e-01   6.268490e+02   2.785248e+01
  7.002490e-01   6.009292e+02   2.760583e+01
  7.028790e-01   5.755559e+02   2.778800e+01
  7.055100e-01   5.798444e+02   2.737329e+01
  7.081410e-01   5.810913e+02   2.728747e+01
  7.107720e-01   5.576489e+02   2.727053e+01
  7.134020e-01   5.689593e+02   2.715357e+01
  7.160330e-01   5.953380e+02   2.743137e+01
  7.186640e-01   5.780582e+02   2.721636e+01
  7.212950e-01   6.069136e+02   2.713087e+01
  7.239250e-01   5.753025e+02   2.698473e+01
  7.265560e-01   5.605747e+02   2.699944e+01
  7.291870e-01   5.723259e+02   2.087099e+01
  7.318180e-01   5.617251e+02   1.468504e+01
  7.344480e-01   5.407628e+02   1.446720e+01
  7.370790e-01   5.528660e+02   1.449085e+01
  7.397100e-01   5.344421e+02   1.436488e+01
  7.423410e-01   5.363748e+02   1.440649e+01
  7.449710e-01   5.367362e+02   1.435541e+01
  7.476020e-01   5.460402e+02   1.436711e+01
  7.502330e-01   5.259594e+02   1.428123e+01
  7.528640e-01   5.349121e+02   1.419038e+01
  7.554940e-01   5.235714e+02   1.412112e+01
  7.581250e-01   5.060672e+02   1.416559e+01
  7.607560e-01   5.315671e+02   1.412514e+01
  7.633870e-01   5.070147e+02   1.408485e+01
  7.660170e-01   5.004839e+02   1.403662e+01
  7.686480e-01   5.112564e+02   1.396870e+01
  7.712790e-01   5.072622e+02   1.404406e+01
  7.739100e-01   4.967112e+02   1.393905e+01
  7.765400e-01   4.736627e+02   1.391706e+01
  7.791710e-01   4.932298e+02   1.401634e+01
  7.818020e-01   4.855802e+02   1.399182e+01
  7.844330e-01   4.753454e+02   1.425275e+01
  7.870630e-01   4.903164e+02   1.436685e+01
  7.896940e-01   4.804484e+02   1.441693e+01
  7.923250e-01   4.742592e+02   1.462219e+01
  7.949560e-01   4.667278e+02   1.453543e+01
  7.975860e-01   4.678493e+02   1.465611e+01
  8.002170e-01   4.714257e+02   1.438231e+01
  8.028480e-01   4.558303e+02   1.407907e+01
  8.054790e-01   4.541959e+02   1.406222e+01
  8.081090e-01   4.526896e+02   1.390315e+01
  8.107400e-01   4.439319e+02   1.377898e+01
  8.133710e-01   4.575539e+02   1.378974e+01
  8.160020e-01   4.614862e+02   1.369116e+01
  8.186320e-01   4.480885e+02   1.366310e+01
  8.212630e-01   4.445677e+02   1.349435e+01
  8.238940e-01   4.311119e+02   1.352093e+01
  8.265250e-01   4.285772e+02   1.357143e+01
  8.291560e-01   4.212576e+02   1.343986e+01
  8.317860e-01   4.249490e+02   1.347553e+01
  8.344170e-01   4.279678e+02   1.334298e+01
  8.370480e-01   4.249694e+02   1.338569e+01
  8.396790e-01   4.431624e+02   1.341207e+01
  8.423090e-01   4.400128e+02   1.337208e+01
  8.449400e-01   4.190025e+02   1.327243e+01
  8.475710e-01   3.979074e+02   1.319040e+01
  8.502020e-01   4.273730e+02   1.324689e+01
  8.528320e-01   4.215755e+02   1.324177e+01
  8.554630e-01   3.890948e+02   1.314080e+01
  8.580940e-01   4.107671e+02   1.320361e+01
  8.607250e-01   3.923809e+02   1.311950e+01
  8.633550e-01   4.002271e+02   1.399610e+01
  8.659860e-01   4.003989e+02   3.510208e+01
  8.686170e-01   4.006017e+02   9.661572e+00
  8.712480e-01   3.931391e+02   9.689046e+00
  8.738780e-01   3.805779e+02   9.644299e+00
  8.765090e-01   3.839622e+02   9.548077e+00
  8.791400e-01   3.960038e+02   9.602067e+00
  8.817710e-01   3.827466e+02   9.571557e+00
  8.844010e-01   3.708378e+02   9.474772e+00
  8.870320e-01   3.658126e+02   9.469459e+00
  8.896630e-01   3.666141e+02   9.427505e+00
  8.922940e-01   3.650348e+02   9.400562e+00
  8.949240e-01   3.709090e+02   9.428169e+00
  8.975550e-01   3.655077e+02   9.406996e+00
  9.001860e-01   3.576104e+02   9.407017e+00
  9.028170e-01   3.624831e+02   9.387321e+00
  9.054470e-01   3.537640e+02   9.341829e+00
  9.080780e-01   3.405953e+02   9.301534e+00
  9.107090e-01   3.393440e+02   9.241043e+00
  9.133400e-01   3.605980e+02   9.344453e+00
  9.159700e-01   3.517024e+02   9.290030e+00
  9.186010e-01   3.384517e+02   9.232372e+00
  9.212320e-01   3.489454e+02   9.232071e+00
  9.238630e-01   3.506150e+02   9.206445e+00
  9.264930e-01   3.509135e+02   9.209616e+00
  9.291240e-01   3.463388e+02   9.188214e+00
  9.317550e-01   3.390204e+02   9.154688e+00
  9.343860e-01   3.305951e+02   9.079961e+00
  9.370160e-01   3.379396e+02   9.090793e+00
  9.396470e-01   3.414847e+02   9.127726e+00
  9.422780e-01   3.377391e+02   9.150442e+00
  9.449090e-01   3.290969e+02   9.234013e+00
  9.475390e-01   3.178501e+02   9.270012e+00
  9.501700e-01   3.193196e+02   9.367852e+00
  9.528010e-01   3.146659e+02   9.410235e+00
  9.554320e-01   3.170525e+02   9.432030e+00
  9.580630e-01   3.245754e+02   9.527963e+00
  9.606930e-01   3.235302e+02   9.533491e+00
  9.633240e-01   3.231311e+02   9.619319e+00
  9.659550e-01   3.180069e+02   9.569403e+00
  9.685860e-01   3.219830e+02   9.614105e+00
  9.712160e-01   3.270839e+02   9.666687e+00
  9.738470e-01   3.072904e+02   9.650113e+00
  9.764780e-01   3.059027e+02   9.662441e+00
  9.791090e-01   3.134772e+02   9.660505e+00
  9.817390e-01   3.067381e+02   9.663242e+00
  9.843700e-01   2.944912e+02   9.665718e+00
  9.870010e-01   2.984434e+02   9.682960e+00
  9.896320e-01   2.933041e+02   9.466220e+00
  9.922620e-01   2.870233e+02   9.349080e+00
  9.948930e-01   2.876190e+02   9.320064e+00
  9.975240e-01   2.881275e+02   9.241675e+00
  1.000150e+00   2.843328e+02   9.120801e+00
  1.002790e+00   2.907197e+02   9.113066e+00
  1.005420e+00   2.995317e+02   9.154696e+00
  1.008050e+00   2.916181e+02   9.110414e+00
  1.010680e+00   2.930104e+02   9.017032e+00
  1.013310e+00   2.773065e+02   8.950994e+00
  1.015940e+00   2.811943e+02   8.933785e+00
  1.018570e+00   2.798532e+02   8.948046e+00
  1.021200e+00   2.784003e+02   8.903196e+00
  1.023830e+00   2.571477e+02   8.765400e+00
  1.026460e+00   2.708934e+02   8.797759e+00
  1.029090e+00   2.685135e+02   8.754119e+00
  1.031720e+00   2.646274e+02   8.793613e+00
  1.034350e+00   2.613356e+02   8.665889e+00
  1.036990e+00   2.673130e+02   8.675157e+00
  1.039620e+00   2.684818e+02   8.742682e+00
  1.042250e+00   2.722312e+02   8.721376e+00
  1.044880e+00   2.667456e+02   8.640143e+00
  1.047510e+00   2.636980e+02   8.637479e+00
  1.050140e+00   2.595325e+02   8.611331e+00
  1.052770e+00   2.438566e+02   8.570846e+00
  1.055400e+00   2.582435e+02   8.544609e+00
  1.058030e+00   2.682553e+02   8.547813e+00
  1.060660e+00   2.640870e+02   8.553456e+00
  1.063290e+00   2.564278e+02   8.481876e+00
  1.065920e+00   2.494152e+02   8.495762e+00
  1.068550e+00   2.501566e+02   8.451936e+00
  1.071180e+00   2.529816e+02   8.456617e+00
  1.073820e+00   2.533149e+02   8.398575e+00
  1.076450e+00   2.598301e+02   8.406401e+00
  1.079080e+00   2.552665e+02   8.373941e+00
  1.081710e+00   2.444875e+02   8.290594e+00
  1.084340e+00   2.418745e+02   8.328792e+00
  1.086970e+00   2.497609e+02   8.375088e+00
  1.089600e+00   2.425633e+02   8.257808e+00
  1.092230e+00   2.303889e+02   8.230449e+00
  1.094860e+00   2.303152e+02   8.201700e+00
  1.097490e+00   2.375509e+02   8.228877e+00
  1.100120e+00   2.450614e+02   8.233938e+00
  1.102750e+00   2.338674e+02   8.194462e+00
  1.105380e+00   2.314951e+02   8.206522e+00
  1.108020e+00   2.323954e+02   8.151110e+00
  1.110650e+00   2.294343e+02   8.121672e+00
  1.113280e+00   2.438070e+02   8.170761e+00
  1.115910e+00   2.408657e+02   8.148617e+00
  1.118540e+00   2.316082e+02   8.160883e+00
  1.121170e+00   2.343808e+02   8.151020e+00
  1.123800e+00   2.198505e+02   8.042749e+00
  1.126430e+00   2.273111e+02   8.084794e+00
  1.129060e+00   2.223554e+02   8.044266e+00
  1.131690e+00   2.264070e+02   8.087518e+00
  1.134320e+00   2.192725e+02   8.036658e+00
  1.136950e+00   2.169131e+02   8.004381e+00
  1.139580e+00   2.178057e+02   7.982150e+00
  1.142220e+00   2.134937e+02   7.957537e+00
  1.144850e+00   2.081437e+02   7.905815e+00
  1.147480e+00   2.295419e+02   7.992296e+00
  1.150110e+00   2.184021e+02   7.923133e+00
  1.152740e+00   2.056351e+02   7.931011e+00
  1.155370e+00   1.982031e+02   7.878432e+00
  1.158000e+00   1.992216e+02   7.845232e+00
  1.160630e+00   2.020199e+02   7.851947e+00
  1.163260e+00   1.939428e+02   7.811079e+00
  1.165890e+00   2.046811e+02   7.878532e+00
  1.168520e+00   2.123960e+02   7.845777e+00
  1.171150e+00   2.005956e+02   7.802530e+00
  1.173780e+00   1.986106e+02   7.780469e+00
  1.176420e+00   2.114335e+02   7.783187e+00
  1.179050e+00   2.061550e+02   7.768334e+00
  1.181680e+00   2.008725e+02   7.743809e+00
  1.184310e+00   2.022354e+02   7.757890e+00
  1.186940e+00   1.948437e+02   7.709941e+00
  1.189570e+00   1.968451e+02   7.684261e+00
  1.192200e+00   1.934487e+02   7.680618e+00
  1.194830e+00   1.882905e+02   7.647527e+00
  1.197460e+00   1.890333e+02   7.645182e+00
  1.200090e+00   1.796976e+02   7.598950e+00
  1.202720e+00   1.809963e+02   7.570396e+00
  1.205350e+00   1.927289e+02   7.617253e+00
  1.207980e+00   1.994553e+02   7.627089e+00
  1.210610e+00   1.912146e+02   7.622411e+00
  1.213250e+00   1.825703e+02   7.583263e+00
  1.215880e+00   1.845572e+02   7.553171e+00
  1.218510e+00   1.783114e+02   7.535219e+00
  1.221140e+00   1.802000e+02   7.548249e+00
  1.223770e+00   1.890661e+02   7.554711e+00
  1.226400e+00   1.805299e+02   7.498188e+00
  1.229030e+00   1.830502e+02   7.462795e+00
  1.231660e+00   1.819025e+02   7.484520e+00
  1.234290e+00   1.795862e+02   7.480383e+00
  1.236920e+00   1.722471e+02   7.455527e+00
  1.239550e+00   1.674239e+02   7.435105e+00
  1.242180e+00   1.737937e+02   7.438635e+00
  1.244810e+00   1.825065e+02   7.437836e+00
  1.247450e+00   1.836171e+02   7.448540e+00
  1.250080e+00   1.780197e+02   7.442132e+00
  1.252710e+00   1.767490e+02   7.387084e+00
  1.255340e+00   1.824680e+02   7.398790e+00
  1.257970e+00   1.759055e+02   7.394431e+00
  1.260600e+00   1.661513e+02   7.332845e+00
  1.263230e+00   1.734208e+02   7.397771e+00
  1.265860e+00   1.754740e+02   7.355561e+00
  1.268490e+00   1.644027e+02   7.312878e+00
  1.271120e+00   1.779720e+02   7.369611e+00
  1.273750e+00   1.758586e+02   7.374419e+00
  1.276380e+00   1.733820e+02   7.352049e+00
  1.279010e+00   1.681202e+02   7.284181e+00
  1.281650e+00   1.560353e+02   7.221046e+00
  1.284280e+00   1.604011e+02   7.231594e+00
  1.286910e+00   1.605194e+02   7.287524e+00
  1.289540e+00   1.736038e+02   7.263281e+00
  1.292170e+00   1.687034e+02   7.236947e+00
  1.294800e+00   1.512386e+02   7.164255e+00
  1.297430e+00   1.503844e+02   7.164098e+00
  1.300060e+00   1.576519e+02   7.184645e+00
