Sample description: mLANA_B6_DTT
Sample: mLANA_B6_DTT  c= 5.0000 mg/ml  Code: B6_DTT
Parent(s): processed/subtracted/B6_DTT_0049_sub.dat
  8.887200e-01   3.301066e+02   1.213521e+01
  8.913430e-01   3.315578e+02   1.212240e+01
  8.939670e-01   3.212402e+02   1.214115e+01
  8.965910e-01   3.498998e+02   1.230684e+01
  8.992150e-01   3.155370e+02   1.171908e+01
  9.018380e-01   3.185540e+02   1.197664e+01
  9.044610e-01   3.153868e+02   1.171871e+01
  9.070850e-01   3.098840e+02   1.190719e+01
  9.097090e-01   2.833990e+02   1.175649e+01
  9.123330e-01   3.055158e+02   1.162318e+01
  9.149570e-01   3.012978e+02   1.190000e+01
  9.175800e-01   3.040910e+02   1.166203e+01
  9.202040e-01   2.742112e+02   1.170402e+01
  9.228280e-01   3.061938e+02   1.174292e+01
  9.254520e-01   2.952224e+02   1.179594e+01
  9.280760e-01   2.920286e+02   1.192704e+01
  9.306990e-01   2.944166e+02   1.166874e+01
  9.333230e-01   2.842984e+02   1.162113e+01
  9.359470e-01   2.794602e+02   1.165444e+01
  9.385710e-01   2.669278e+02   1.161526e+01
  9.411940e-01   2.631336e+02   1.166784e+01
  9.438170e-01   2.946498e+02   1.167997e+01
  9.464410e-01   2.549034e+02   1.165571e+01
  9.490650e-01   2.739756e+02   1.147997e+01
  9.516890e-01   2.509110e+02   1.159400e+01
  9.543130e-01   2.474064e+02   1.151253e+01
  9.569360e-01   2.568346e+02   1.148804e+01
  9.595600e-01   2.474314e+02   1.160249e+01
  9.621840e-01   2.602188e+02   1.147919e+01
  9.648080e-01   2.379184e+02   1.148827e+01
  9.674320e-01   2.512440e+02   1.143066e+01
  9.700550e-01   2.467652e+02   1.145131e+01
  9.726790e-01   2.344558e+02   1.137314e+01
  9.753030e-01   2.287980e+02   1.135006e+01
  9.779270e-01   2.497998e+02   1.137398e+01
  9.805500e-01   2.403394e+02   1.149126e+01
  9.831730e-01   2.352628e+02   1.146207e+01
  9.857970e-01   2.043750e+02   1.122819e+01
  9.884210e-01   2.133912e+02   1.134555e+01
  9.910450e-01   2.201628e+02   1.131775e+01
  9.936680e-01   2.301000e+02   1.139856e+01
  9.962970e-01   2.249002e+02   1.127278e+01
  9.989160e-01   2.236620e+02   1.135613e+01
  1.001530e+00   2.276486e+02   1.124350e+01
  1.004160e+00   2.192504e+02   1.130470e+01
  1.006780e+00   2.129058e+02   1.135387e+01
  1.009410e+00   2.242064e+02   1.142121e+01
  1.012030e+00   1.941280e+02   1.106987e+01
  1.014660e+00   2.117778e+02   1.111351e+01
  1.017280e+00   1.937706e+02   1.150314e+01
  1.019910e+00   2.035652e+02   1.119509e+01
  1.022530e+00   1.988416e+02   1.131127e+01
  1.025160e+00   1.919796e+02   1.104921e+01
  1.027770e+00   1.972708e+02   1.121358e+01
  1.030400e+00   1.836356e+02   1.110382e+01
  1.033020e+00   1.918402e+02   1.109135e+01
  1.035650e+00   2.073944e+02   1.152208e+01
  1.038270e+00   1.741928e+02   1.105379e+01
  1.040900e+00   1.739996e+02   1.109868e+01
  1.043520e+00   2.023760e+02   1.119190e+01
  1.046150e+00   1.797216e+02   1.097087e+01
  1.048770e+00   1.763366e+02   1.109837e+01
  1.051390e+00   1.773012e+02   1.108398e+01
  1.054010e+00   1.821678e+02   1.107300e+01
  1.056640e+00   1.955416e+02   1.107359e+01
  1.059260e+00   1.662398e+02   1.096405e+01
  1.061890e+00   1.750684e+02   1.112641e+01
  1.064510e+00   1.818394e+02   1.100793e+01
