 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.524231E+00  0.774041E+02  0.384252E+00
  0.526516E+00  0.765877E+02  0.385574E+00
  0.528800E+00  0.743959E+02  0.381607E+00
  0.531085E+00  0.727419E+02  0.375083E+00
  0.533369E+00  0.713590E+02  0.377437E+00
  0.535654E+00  0.703885E+02  0.372866E+00
  0.537939E+00  0.701552E+02  0.373208E+00
  0.540223E+00  0.687122E+02  0.369315E+00
  0.542508E+00  0.674294E+02  0.366619E+00
  0.544792E+00  0.667787E+02  0.366611E+00
  0.547077E+00  0.643721E+02  0.361134E+00
  0.549361E+00  0.639782E+02  0.362253E+00
  0.551646E+00  0.624417E+02  0.357679E+00
  0.553931E+00  0.608691E+02  0.357192E+00
  0.556215E+00  0.595583E+02  0.355345E+00
  0.558500E+00  0.586131E+02  0.352505E+00
  0.560784E+00  0.579595E+02  0.350276E+00
  0.563069E+00  0.565414E+02  0.344733E+00
  0.565353E+00  0.562274E+02  0.348317E+00
  0.567638E+00  0.552822E+02  0.344797E+00
  0.569922E+00  0.543283E+02  0.342560E+00
  0.572207E+00  0.526499E+02  0.342153E+00
  0.574492E+00  0.513431E+02  0.337083E+00
  0.576776E+00  0.515895E+02  0.338441E+00
  0.579061E+00  0.508182E+02  0.336116E+00
  0.581345E+00  0.497752E+02  0.334051E+00
  0.583630E+00  0.487078E+02  0.332900E+00
  0.585914E+00  0.485337E+02  0.329297E+00
  0.588199E+00  0.471106E+02  0.329757E+00
  0.590483E+00  0.468359E+02  0.326106E+00
  0.592768E+00  0.455956E+02  0.325749E+00
  0.595053E+00  0.455462E+02  0.325478E+00
  0.597337E+00  0.448535E+02  0.321201E+00
  0.599622E+00  0.436399E+02  0.324051E+00
  0.601906E+00  0.428553E+02  0.317076E+00
  0.604191E+00  0.417629E+02  0.319806E+00
  0.606475E+00  0.412359E+02  0.315378E+00
  0.608760E+00  0.413447E+02  0.315946E+00
  0.611045E+00  0.407734E+02  0.315292E+00
  0.613329E+00  0.399142E+02  0.311338E+00
  0.615614E+00  0.391209E+02  0.312294E+00
  0.617898E+00  0.397447E+02  0.307409E+00
  0.620183E+00  0.382376E+02  0.310053E+00
  0.622467E+00  0.379342E+02  0.308841E+00
  0.624752E+00  0.378909E+02  0.305112E+00
  0.627036E+00  0.367268E+02  0.307626E+00
  0.629321E+00  0.365052E+02  0.300866E+00
  0.631606E+00  0.364059E+02  0.304448E+00
  0.633890E+00  0.352579E+02  0.301297E+00
  0.636175E+00  0.352484E+02  0.298502E+00
  0.638459E+00  0.345616E+02  0.300207E+00
  0.640744E+00  0.344848E+02  0.294539E+00
  0.643028E+00  0.337547E+02  0.298424E+00
  0.645313E+00  0.337624E+02  0.294889E+00
  0.647597E+00  0.337846E+02  0.294354E+00
  0.649882E+00  0.326054E+02  0.293977E+00
  0.652167E+00  0.323060E+02  0.291315E+00
  0.654451E+00  0.315265E+02  0.291461E+00
  0.656736E+00  0.309229E+02  0.288559E+00
  0.659020E+00  0.312451E+02  0.287882E+00
  0.661305E+00  0.306438E+02  0.289598E+00
  0.663589E+00  0.306594E+02  0.285161E+00
  0.665874E+00  0.292837E+02  0.287903E+00
  0.668159E+00  0.288607E+02  0.282835E+00
  0.670443E+00  0.294179E+02  0.284048E+00
  0.672728E+00  0.295885E+02  0.283331E+00
  0.675012E+00  0.291455E+02  0.280705E+00
  0.677297E+00  0.294965E+02  0.282475E+00
  0.679581E+00  0.288730E+02  0.278732E+00
  0.681866E+00  0.287716E+02  0.279829E+00
  0.684150E+00  0.279741E+02  0.277932E+00
  0.686435E+00  0.275808E+02  0.276376E+00
