Sample description: TG2 GDP
Sample: TG2 GDP  c= 5.5000 mg/ml  Code: TG2_clos
Parent(s): processed/subtracted/TG2_clos_0019_sub.dat
  8.999100e-01   2.025618e+02   8.472336e+00
  9.025450e-01   1.968222e+02   8.484665e+00
  9.051800e-01   1.999204e+02   8.407475e+00
  9.078140e-01   2.027245e+02   8.415396e+00
  9.104490e-01   1.858204e+02   8.286424e+00
  9.130840e-01   1.869527e+02   8.294982e+00
  9.157180e-01   1.815527e+02   8.225189e+00
  9.183530e-01   1.903675e+02   8.409196e+00
  9.209880e-01   1.941220e+02   8.654065e+00
  9.236220e-01   1.860533e+02   8.600249e+00
  9.262570e-01   1.743090e+02   8.421460e+00
  9.288920e-01   1.898318e+02   8.739529e+00
  9.315260e-01   1.765276e+02   8.531916e+00
  9.341610e-01   1.775095e+02   8.669413e+00
  9.367960e-01   1.811392e+02   8.709747e+00
  9.394300e-01   1.651305e+02   8.440087e+00
  9.420650e-01   1.761616e+02   8.698278e+00
  9.447000e-01   1.662793e+02   8.564420e+00
  9.473340e-01   1.774515e+02   8.841362e+00
  9.499690e-01   1.692943e+02   8.551204e+00
  9.526040e-01   1.689906e+02   8.646253e+00
  9.552380e-01   1.636944e+02   8.689325e+00
  9.578730e-01   1.704718e+02   8.740482e+00
  9.605080e-01   1.660755e+02   8.706909e+00
  9.631420e-01   1.599502e+02   8.537911e+00
  9.657770e-01   1.703336e+02   8.736438e+00
  9.684110e-01   1.631643e+02   8.739765e+00
  9.710460e-01   1.667998e+02   8.574827e+00
  9.736810e-01   1.622517e+02   8.441500e+00
  9.763150e-01   1.574541e+02   8.255889e+00
  9.789500e-01   1.569242e+02   8.210965e+00
  9.815850e-01   1.638456e+02   8.229176e+00
  9.842190e-01   1.488809e+02   7.954767e+00
  9.868540e-01   1.465979e+02   7.961351e+00
  9.894890e-01   1.491681e+02   7.940993e+00
  9.921230e-01   1.400958e+02   7.819215e+00
  9.947580e-01   1.408438e+02   7.778456e+00
  9.973930e-01   1.434143e+02   7.817320e+00
  1.000030e+00   1.493786e+02   7.847776e+00
  1.002660e+00   1.358191e+02   7.609496e+00
  1.005300e+00   1.274624e+02   7.501991e+00
  1.007930e+00   1.263563e+02   7.390280e+00
  1.010570e+00   1.170288e+02   7.368542e+00
  1.013200e+00   1.311952e+02   7.426796e+00
  1.015840e+00   1.393338e+02   7.560135e+00
  1.018470e+00   1.316013e+02   7.439196e+00
  1.021100e+00   1.247100e+02   7.304324e+00
  1.023740e+00   1.289349e+02   7.407576e+00
  1.026370e+00   1.213439e+02   7.206080e+00
  1.029010e+00   1.234822e+02   7.293285e+00
  1.031640e+00   1.194698e+02   7.159842e+00
  1.034280e+00   1.241154e+02   7.253504e+00
  1.036910e+00   1.202475e+02   7.176695e+00
  1.039550e+00   1.284232e+02   7.258515e+00
  1.042180e+00   1.191514e+02   7.150369e+00
  1.044820e+00   1.118471e+02   7.075831e+00
  1.047450e+00   1.089664e+02   6.998736e+00
  1.050090e+00   1.027516e+02   6.944580e+00
  1.052720e+00   1.160943e+02   7.027349e+00
  1.055360e+00   1.095853e+02   6.920644e+00
  1.057990e+00   1.062632e+02   6.891329e+00
  1.060620e+00   1.169110e+02   7.029909e+00
  1.063260e+00   1.068196e+02   6.866736e+00
  1.065890e+00   1.138870e+02   6.891560e+00
  1.068530e+00   1.089991e+02   6.866018e+00
  1.071160e+00   1.033312e+02   6.738140e+00
  1.073800e+00   1.003435e+02   6.742971e+00
  1.076430e+00   9.958578e+01   6.640887e+00
  1.079070e+00   9.761249e+01   6.614138e+00
  1.081700e+00   1.033502e+02   6.705762e+00
  1.084340e+00   1.028737e+02   6.639551e+00
  1.086970e+00   1.007476e+02   6.618175e+00
  1.089610e+00   9.443195e+01   6.526487e+00
  1.092240e+00   9.097275e+01   6.478382e+00
  1.094870e+00   9.359209e+01   6.478213e+00
  1.097510e+00   1.027168e+02   6.591087e+00
  1.100140e+00   9.897684e+01   6.618296e+00
  1.102780e+00   9.700664e+01   6.563813e+00
  1.105410e+00   8.171164e+01   6.278962e+00
  1.108050e+00   7.965453e+01   6.274762e+00
  1.110680e+00   8.504996e+01   6.342751e+00
  1.113320e+00   9.207573e+01   6.490551e+00
