Sample description: Sub_Ave_zarp_0079_1608-Ave_Tp_0078_855
Sample: Sub_Ave_zarp_00  c= 0 mg/ml  Code: 
 9.913238e-001  7.606433e-003  4.193233e-005
 9.969552e-001  7.503681e-003  4.172631e-005
 1.002587e+000  7.363302e-003  4.154455e-005
 1.008218e+000  7.297413e-003  4.136313e-005
 1.013849e+000  7.245411e-003  4.111563e-005
 1.019481e+000  7.172937e-003  4.092085e-005
 1.025112e+000  6.989613e-003  4.066183e-005
 1.030743e+000  6.922343e-003  4.040657e-005
 1.036374e+000  6.915009e-003  4.020897e-005
 1.042006e+000  6.807838e-003  3.988413e-005
 1.047637e+000  6.670061e-003  3.965448e-005
 1.053268e+000  6.501888e-003  3.927585e-005
 1.058899e+000  6.390553e-003  3.898691e-005
 1.064530e+000  6.326417e-003  3.872666e-005
 1.070162e+000  6.228544e-003  3.855959e-005
 1.075793e+000  6.109781e-003  3.841138e-005
 1.081424e+000  6.045699e-003  3.824738e-005
 1.087055e+000  5.985041e-003  3.809628e-005
 1.092686e+000  5.858331e-003  3.786662e-005
 1.098317e+000  5.654055e-003  3.770207e-005
 1.103948e+000  5.593669e-003  3.764543e-005
 1.109579e+000  5.594767e-003  3.742514e-005
 1.115210e+000  5.432207e-003  3.732944e-005
 1.120841e+000  5.322749e-003  3.707518e-005
 1.126472e+000  5.237757e-003  3.701835e-005
 1.132103e+000  5.262631e-003  3.686843e-005
 1.137733e+000  5.159744e-003  3.670579e-005
 1.143364e+000  5.092497e-003  3.666804e-005
 1.148995e+000  5.036215e-003  3.648398e-005
 1.154626e+000  5.018673e-003  3.638817e-005
 1.160257e+000  4.893980e-003  3.620714e-005
 1.165887e+000  4.772442e-003  3.606400e-005
 1.171518e+000  4.741422e-003  3.588609e-005
 1.177149e+000  4.654027e-003  3.579336e-005
 1.182780e+000  4.567091e-003  3.565830e-005
 1.188410e+000  4.461580e-003  3.548614e-005
 1.194041e+000  4.393326e-003  3.538595e-005
 1.199672e+000  4.375336e-003  3.522898e-005
 1.205302e+000  4.302416e-003  3.510515e-005
 1.210933e+000  4.258856e-003  3.497106e-005
 1.216563e+000  4.163135e-003  3.481263e-005
 1.222194e+000  4.073969e-003  3.477534e-005
 1.227824e+000  4.068013e-003  3.457927e-005
 1.233455e+000  3.982449e-003  3.454492e-005
 1.239085e+000  3.939042e-003  3.437525e-005
 1.244716e+000  3.879730e-003  3.424460e-005
 1.250346e+000  3.839833e-003  3.423947e-005
 1.255977e+000  3.703102e-003  3.404089e-005
 1.261607e+000  3.606844e-003  3.400909e-005
 1.267237e+000  3.504413e-003  3.377686e-005
 1.272868e+000  3.539384e-003  3.371083e-005
 1.278498e+000  3.475690e-003  3.360419e-005
 1.284128e+000  3.413056e-003  3.345092e-005
 1.289758e+000  3.430371e-003  3.343791e-005
 1.295389e+000  3.380627e-003  3.330587e-005
 1.301019e+000  3.319789e-003  3.322297e-005
 1.306649e+000  3.246887e-003  3.310980e-005
 1.312279e+000  3.206527e-003  3.300590e-005
 1.317909e+000  3.132158e-003  3.296276e-005
 1.323539e+000  3.088343e-003  3.277843e-005
 1.329169e+000  3.023460e-003  3.268453e-005
 1.334800e+000  2.934991e-003  3.252921e-005
 1.340430e+000  2.860189e-003  3.240081e-005
 1.346060e+000  2.813534e-003  3.235939e-005
 1.351689e+000  2.841734e-003  3.222609e-005
 1.357319e+000  2.792809e-003  3.219629e-005
 1.362949e+000  2.732866e-003  3.205764e-005
 1.368579e+000  2.657570e-003  3.195526e-005
 1.374209e+000  2.641843e-003  3.189508e-005
 1.379839e+000  2.614322e-003  3.174671e-005
 1.385469e+000  2.492091e-003  3.165376e-005
 1.391099e+000  2.419261e-003  3.158576e-005
 1.396728e+000  2.418231e-003  3.151856e-005
 1.402358e+000  2.403351e-003  3.142062e-005
 1.407988e+000  2.328177e-003  3.132040e-005
 1.413617e+000  2.316029e-003  3.124828e-005
 1.419247e+000  2.313435e-003  3.109112e-005
 1.424877e+000  2.279839e-003  3.108685e-005
 1.430506e+000  2.208902e-003  3.096666e-005
 1.436136e+000  2.210705e-003  3.091804e-005
 1.441765e+000  2.296856e-003  3.087351e-005
 1.447395e+000  2.274490e-003  3.074121e-005
 1.453024e+000  2.177094e-003  3.065792e-005
 1.458654e+000  2.068557e-003  3.051836e-005
 1.464283e+000  1.955731e-003  3.046798e-005
 1.469913e+000  1.924844e-003  3.039002e-005
 1.475542e+000  1.922204e-003  3.030174e-005
 1.481171e+000  1.907235e-003  3.023012e-005
 1.486801e+000  1.924518e-003  3.015657e-005
 1.492430e+000  1.865956e-003  3.010103e-005
 1.498059e+000  1.899330e-003  2.996322e-005
 1.503688e+000  1.849454e-003  2.989715e-005
 1.509318e+000  1.771215e-003  2.985741e-005
 1.514947e+000  1.669980e-003  2.970366e-005
 1.520576e+000  1.640873e-003  2.971205e-005
 1.526205e+000  1.669328e-003  2.960464e-005
 1.531834e+000  1.676319e-003  2.959432e-005
 1.537463e+000  1.640054e-003  2.949776e-005
 1.543092e+000  1.594226e-003  2.939664e-005
 1.548721e+000  1.542822e-003  2.934859e-005
 1.554350e+000  1.536114e-003  2.921504e-005
 1.559979e+000  1.568419e-003  2.920256e-005
 1.565608e+000  1.558844e-003  2.912182e-005
 1.571237e+000  1.401022e-003  2.902893e-005
 1.576866e+000  1.452786e-003  2.898482e-005
 1.582494e+000  1.482750e-003  2.889462e-005
 1.588123e+000  1.414892e-003  2.887117e-005
 1.593752e+000  1.421629e-003  2.874072e-005
 1.599381e+000  1.441196e-003  2.872789e-005
 1.605009e+000  1.428534e-003  2.867808e-005
 1.610638e+000  1.373062e-003  2.856056e-005
 1.616267e+000  1.312851e-003  2.853323e-005
 1.621895e+000  1.273340e-003  2.842614e-005
 1.627524e+000  1.259190e-003  2.842400e-005
 1.633152e+000  1.270336e-003  2.837060e-005
 1.638781e+000  1.236380e-003  2.826048e-005
 1.644409e+000  1.227507e-003  2.826014e-005
 1.650038e+000  1.171993e-003  2.814383e-005
 1.655666e+000  1.116312e-003  2.808304e-005
 1.661294e+000  1.119502e-003  2.798781e-005
 1.666923e+000  1.103941e-003  2.794323e-005
 1.672551e+000  1.192602e-003  2.790641e-005
 1.678179e+000  1.169501e-003  2.781158e-005
 1.683808e+000  1.064034e-003  2.780582e-005
 1.689436e+000  1.112347e-003  2.770926e-005
 1.695064e+000  1.165686e-003  2.766393e-005
 1.700692e+000  1.044029e-003  2.760260e-005
 1.706320e+000  1.044990e-003  2.752208e-005
 1.711948e+000  1.043967e-003  2.750598e-005
 1.717576e+000  9.747017e-004  2.738964e-005
 1.723204e+000  9.500739e-004  2.736534e-005
 1.728832e+000  9.770548e-004  2.729943e-005
 1.734460e+000  1.050640e-003  2.727679e-005
 1.740088e+000  1.043473e-003  2.726511e-005
 1.745716e+000  9.781829e-004  2.715108e-005
 1.751344e+000  9.433559e-004  2.710492e-005
 1.756972e+000  8.628748e-004  2.699724e-005
 1.762600e+000  8.169380e-004  2.698133e-005
 1.768227e+000  8.860719e-004  2.694722e-005
 1.773855e+000  8.837667e-004  2.689153e-005
 1.779483e+000  8.094776e-004  2.684467e-005
 1.785110e+000  7.846779e-004  2.673910e-005
 1.790738e+000  8.299527e-004  2.673188e-005
 1.796365e+000  8.166919e-004  2.665600e-005
 1.801993e+000  7.931927e-004  2.658757e-005
 1.807621e+000  7.809703e-004  2.654368e-005
 1.813248e+000  7.698711e-004  2.647867e-005
 1.818875e+000  7.034143e-004  2.647237e-005
 1.824503e+000  6.911748e-004  2.635080e-005
 1.830130e+000  7.125074e-004  2.632461e-005
 1.835758e+000  7.534504e-004  2.630468e-005
 1.841385e+000  7.805027e-004  2.624262e-005
 1.847012e+000  7.143322e-004  2.621364e-005
 1.852639e+000  7.563418e-004  2.612915e-005
 1.858266e+000  7.066830e-004  2.611460e-005
 1.863894e+000  6.652229e-004  2.603668e-005
 1.869521e+000  6.315256e-004  2.596616e-005
 1.875148e+000  6.604420e-004  2.598630e-005
 1.880775e+000  6.768260e-004  2.590042e-005
 1.886402e+000  7.499476e-004  2.591518e-005
 1.892029e+000  7.177505e-004  2.584004e-005
 1.897656e+000  6.567318e-004  2.577633e-005
 1.903283e+000  6.299486e-004  2.576026e-005
 1.908910e+000  5.788168e-004  2.564117e-005
 1.914536e+000  6.184652e-004  2.565840e-005
 1.920163e+000  5.940193e-004  2.558722e-005
 1.925790e+000  5.741237e-004  2.553884e-005
 1.931417e+000  5.612918e-004  2.551001e-005
 1.937043e+000  5.546586e-004  2.544822e-005
 1.942670e+000  5.962367e-004  2.544006e-005
 1.948297e+000  6.135001e-004  2.534951e-005
 1.953923e+000  5.477578e-004  2.532818e-005
 1.959550e+000  5.804313e-004  2.528024e-005
 1.965176e+000  5.791295e-004  2.521432e-005
 1.970803e+000  5.197740e-004  2.518178e-005
 1.976429e+000  4.137484e-004  2.510972e-005
 1.982055e+000  4.215669e-004  2.510125e-005
 1.987682e+000  4.776621e-004  2.503758e-005
 1.993308e+000  4.818661e-004  2.499424e-005
 1.998934e+000  4.678829e-004  2.495734e-005
 2.004560e+000  4.709124e-004  2.488732e-005
 2.010187e+000  4.592687e-004  2.490169e-005
 2.015813e+000  4.468704e-004  2.484106e-005
 2.021439e+000  4.664010e-004  2.481424e-005
 2.027065e+000  4.820418e-004  2.476351e-005
 2.032691e+000  4.839872e-004  2.504777e-005
 2.038317e+000  4.013191e-004  2.539678e-005
 2.043943e+000  4.295380e-004  2.561135e-005
 2.049569e+000  4.617950e-004  2.582546e-005
 2.055195e+000  4.394426e-004  2.594180e-005
 2.060820e+000  4.575364e-004  2.606936e-005
 2.066446e+000  4.345086e-004  2.620207e-005
 2.072072e+000  4.144557e-004  2.625890e-005
 2.077698e+000  4.601536e-004  2.638331e-005
 2.083323e+000  4.607573e-004  2.636769e-005
 2.088949e+000  4.457548e-004  2.642117e-005
 2.094575e+000  4.812793e-004  2.643971e-005
 2.100200e+000  4.633838e-004  2.644312e-005
 2.105826e+000  4.258856e-004  2.650285e-005
 2.111451e+000  4.450586e-004  2.642240e-005
 2.117077e+000  4.502544e-004  2.644444e-005
 2.122702e+000  4.821309e-004  2.644691e-005
 2.128327e+000  4.676637e-004  2.645223e-005
 2.133953e+000  4.208725e-004  2.645852e-005
 2.139578e+000  3.911262e-004  2.640088e-005
 2.145203e+000  3.479036e-004  2.644273e-005
 2.150828e+000  3.698771e-004  2.637945e-005
 2.156453e+000  4.538908e-004  2.597281e-005
 2.162078e+000  4.554500e-004  2.551959e-005
 2.167704e+000  4.192986e-004  2.523042e-005
 2.173329e+000  4.111529e-004  2.506223e-005
 2.178954e+000  3.684357e-004  2.484960e-005
 2.184578e+000  3.565447e-004  2.472403e-005
 2.190203e+000  3.538081e-004  2.456576e-005
 2.195828e+000  3.156172e-004  2.442499e-005
 2.201453e+000  3.973435e-004  2.435139e-005
 2.207078e+000  4.346400e-004  2.420245e-005
 2.212702e+000  3.684952e-004  2.411476e-005
 2.218327e+000  3.368618e-004  2.402666e-005
