Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  4.950500e-01   5.830594e+02   1.132413e+01
  4.976800e-01   5.815782e+02   1.142405e+01
  5.003110e-01   5.679830e+02   1.125015e+01
  5.029420e-01   6.002018e+02   1.133133e+01
  5.055730e-01   5.872433e+02   1.130528e+01
  5.082030e-01   5.973621e+02   1.126332e+01
  5.108340e-01   5.693267e+02   1.109198e+01
  5.134650e-01   5.847370e+02   1.113475e+01
  5.160960e-01   5.795397e+02   1.108537e+01
  5.187260e-01   5.585233e+02   1.121735e+01
  5.213570e-01   5.521473e+02   1.084368e+01
  5.239880e-01   5.440515e+02   1.095585e+01
  5.266190e-01   5.314494e+02   1.088806e+01
  5.292490e-01   5.468464e+02   1.102186e+01
  5.318800e-01   5.460373e+02   1.129749e+01
  5.345110e-01   5.427297e+02   1.118897e+01
  5.371420e-01   5.271709e+02   1.126756e+01
  5.397720e-01   5.051194e+02   1.121691e+01
  5.424030e-01   5.141561e+02   1.123129e+01
  5.450340e-01   5.302206e+02   1.127272e+01
  5.476650e-01   5.364467e+02   1.112353e+01
  5.502950e-01   5.194800e+02   1.095572e+01
  5.529260e-01   5.096082e+02   1.085587e+01
  5.555570e-01   5.008230e+02   1.060098e+01
  5.581880e-01   5.142155e+02   1.069217e+01
  5.608180e-01   4.978303e+02   1.040886e+01
  5.634490e-01   5.178048e+02   1.066438e+01
  5.660800e-01   4.996991e+02   1.038252e+01
  5.687110e-01   4.908718e+02   1.026133e+01
  5.713420e-01   4.955836e+02   1.043075e+01
  5.739720e-01   4.835061e+02   1.027539e+01
  5.766030e-01   4.890788e+02   1.027121e+01
  5.792340e-01   4.892730e+02   1.021649e+01
  5.818650e-01   4.986515e+02   1.020033e+01
  5.844950e-01   4.725494e+02   1.017716e+01
  5.871260e-01   4.721527e+02   1.009802e+01
  5.897570e-01   4.563421e+02   1.000123e+01
  5.923880e-01   4.775373e+02   1.000823e+01
  5.950180e-01   4.527964e+02   9.898703e+00
  5.976490e-01   4.767664e+02   1.004822e+01
  6.002800e-01   4.697009e+02   9.921458e+00
  6.029110e-01   4.847803e+02   9.909821e+00
  6.055410e-01   4.653561e+02   9.895915e+00
  6.081720e-01   4.411964e+02   9.806497e+00
  6.108030e-01   4.444685e+02   9.705070e+00
  6.134340e-01   4.323973e+02   9.734461e+00
