 22-Oct-2005       (fran2_080.d - 1.000 *Avrag05.dat) /  5.5000
fran2_080.da  Conc = .55E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 Avrag05.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.729879E+00  0.311191E+06  0.197834E+04
  0.732128E+00  0.309065E+06  0.195911E+04
  0.734378E+00  0.300764E+06  0.197761E+04
  0.736628E+00  0.298702E+06  0.194829E+04
  0.738878E+00  0.302165E+06  0.195401E+04
  0.741127E+00  0.299996E+06  0.195870E+04
  0.743377E+00  0.297844E+06  0.194580E+04
  0.745627E+00  0.295940E+06  0.195291E+04
  0.747876E+00  0.293535E+06  0.192350E+04
  0.750126E+00  0.290302E+06  0.193189E+04
  0.752376E+00  0.286360E+06  0.193189E+04
  0.754625E+00  0.288360E+06  0.193011E+04
  0.756875E+00  0.289873E+06  0.193365E+04
  0.759125E+00  0.287560E+06  0.190420E+04
  0.761375E+00  0.289116E+06  0.192592E+04
  0.763624E+00  0.283364E+06  0.191477E+04
  0.765874E+00  0.285578E+06  0.191096E+04
  0.768124E+00  0.281469E+06  0.190681E+04
  0.770373E+00  0.278745E+06  0.189450E+04
  0.772623E+00  0.273975E+06  0.190042E+04
  0.774873E+00  0.272442E+06  0.188308E+04
  0.777122E+00  0.272393E+06  0.189094E+04
  0.779372E+00  0.270240E+06  0.189193E+04
  0.781622E+00  0.265684E+06  0.187819E+04
  0.783872E+00  0.266267E+06  0.188865E+04
  0.786121E+00  0.261780E+06  0.185768E+04
  0.788371E+00  0.261824E+06  0.187057E+04
  0.790621E+00  0.260991E+06  0.186918E+04
  0.792870E+00  0.259080E+06  0.187029E+04
  0.795120E+00  0.255371E+06  0.186052E+04
  0.797370E+00  0.257684E+06  0.184254E+04
  0.799619E+00  0.254100E+06  0.185747E+04
  0.801869E+00  0.252484E+06  0.184758E+04
  0.804119E+00  0.253433E+06  0.184545E+04
  0.806368E+00  0.250329E+06  0.184376E+04
  0.808618E+00  0.250500E+06  0.183326E+04
  0.810868E+00  0.248033E+06  0.184806E+04
  0.813118E+00  0.247011E+06  0.182197E+04
  0.815367E+00  0.240696E+06  0.182298E+04
  0.817617E+00  0.241436E+06  0.182025E+04
  0.819867E+00  0.238155E+06  0.181758E+04
  0.822116E+00  0.237013E+06  0.182987E+04
  0.824366E+00  0.236860E+06  0.180064E+04
  0.826616E+00  0.241862E+06  0.182279E+04
  0.828865E+00  0.239480E+06  0.180082E+04
  0.831115E+00  0.234544E+06  0.180789E+04
  0.833365E+00  0.230973E+06  0.180494E+04
  0.835615E+00  0.230536E+06  0.179193E+04
  0.837864E+00  0.232391E+06  0.180769E+04
  0.840114E+00  0.229125E+06  0.178517E+04
  0.842364E+00  0.226016E+06  0.179195E+04
  0.844613E+00  0.224109E+06  0.177708E+04
  0.846863E+00  0.227291E+06  0.178165E+04
  0.849113E+00  0.222545E+06  0.180031E+04
  0.851362E+00  0.215835E+06  0.175697E+04
  0.853612E+00  0.215011E+06  0.177426E+04
  0.855862E+00  0.215398E+06  0.176045E+04
  0.858112E+00  0.211713E+06  0.176328E+04
  0.860361E+00  0.211260E+06  0.177070E+04
  0.862611E+00  0.209929E+06  0.174790E+04
  0.864861E+00  0.210996E+06  0.176568E+04
  0.867110E+00  0.209127E+06  0.174916E+04
  0.869360E+00  0.208325E+06  0.175275E+04
  0.871610E+00  0.207109E+06  0.175258E+04
  0.873859E+00  0.205551E+06  0.173253E+04
  0.876109E+00  0.203480E+06  0.175525E+04
  0.878359E+00  0.201809E+06  0.173422E+04
  0.880609E+00  0.199818E+06  0.173037E+04
  0.882858E+00  0.196764E+06  0.172867E+04
  0.885108E+00  0.198365E+06  0.172210E+04
  0.887358E+00  0.196805E+06  0.174018E+04
  0.889607E+00  0.194060E+06  0.171731E+04
  0.891857E+00  0.196096E+06  0.172008E+04
  0.894107E+00  0.197098E+06  0.171917E+04
  0.896356E+00  0.194913E+06  0.172312E+04
  0.898606E+00  0.194665E+06  0.171673E+04
  0.900856E+00  0.193109E+06  0.169841E+04
  0.903106E+00  0.191898E+06  0.171361E+04
  0.905355E+00  0.188907E+06  0.170492E+04
  0.907605E+00  0.185200E+06  0.170705E+04
  0.909855E+00  0.184733E+06  0.169567E+04
  0.912104E+00  0.185953E+06  0.168729E+04
  0.914354E+00  0.179196E+06  0.169846E+04
  0.916604E+00  0.179193E+06  0.168704E+04
  0.918853E+00  0.178691E+06  0.169500E+04
  0.921103E+00  0.176871E+06  0.167357E+04
  0.923353E+00  0.176838E+06  0.168567E+04
  0.925603E+00  0.176440E+06  0.168367E+04
  0.927852E+00  0.180038E+06  0.167354E+04
  0.930102E+00  0.174955E+06  0.168226E+04
  0.932352E+00  0.175618E+06  0.166293E+04
  0.934601E+00  0.169196E+06  0.167732E+04
  0.936851E+00  0.171420E+06  0.166567E+04
  0.939101E+00  0.170064E+06  0.165397E+04
  0.941350E+00  0.169976E+06  0.166849E+04
  0.943600E+00  0.169467E+06  0.165321E+04
  0.945850E+00  0.168393E+06  0.166961E+04
  0.948099E+00  0.167575E+06  0.164750E+04
  0.950349E+00  0.163713E+06  0.164569E+04
  0.952599E+00  0.160565E+06  0.165039E+04
  0.954849E+00  0.161482E+06  0.164073E+04
  0.957098E+00  0.158111E+06  0.165009E+04
  0.959348E+00  0.157747E+06  0.163197E+04
  0.961598E+00  0.157378E+06  0.164794E+04
