Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: LytAPhA
Parent(s): phage_zc.dat
 8.219850e-001  8.824680e+000  8.718130e-002
 8.247200e-001  8.820490e+000  8.713270e-002
 8.274550e-001  8.467040e+000  8.355130e-002
 8.301900e-001  8.553330e+000  8.461960e-002
 8.329250e-001  8.442210e+000  8.428240e-002
 8.356600e-001  8.380660e+000  8.413700e-002
 8.383950e-001  8.441560e+000  8.393990e-002
 8.411300e-001  8.215670e+000  8.471430e-002
 8.438650e-001  8.169230e+000  8.346390e-002
 8.466010e-001  8.280080e+000  8.470790e-002
 8.493360e-001  8.462190e+000  8.725630e-002
 8.520710e-001  8.201320e+000  8.396350e-002
 8.548060e-001  8.419360e+000  8.783360e-002
 8.575410e-001  8.129690e+000  8.459340e-002
 8.602760e-001  8.047970e+000  8.518350e-002
 8.630110e-001  7.859170e+000  8.359540e-002
 8.657460e-001  7.876820e+000  8.319940e-002
 8.684810e-001  7.930470e+000  8.499250e-002
 8.712160e-001  7.750790e+000  8.260560e-002
 8.739510e-001  7.916620e+000  8.312020e-002
 8.766860e-001  7.805900e+000  8.423200e-002
 8.794220e-001  7.652350e+000  8.236080e-002
 8.821570e-001  7.444950e+000  8.268400e-002
 8.848920e-001  7.364740e+000  8.037880e-002
 8.876270e-001  7.609770e+000  8.358330e-002
 8.903620e-001  7.582170e+000  8.328490e-002
 8.930970e-001  7.500010e+000  8.171500e-002
 8.958320e-001  7.296260e+000  8.100760e-002
 8.985670e-001  7.628440e+000  8.370580e-002
 9.013020e-001  7.431580e+000  8.415660e-002
 9.040370e-001  7.304100e+000  8.288860e-002
 9.067720e-001  7.350540e+000  8.236750e-002
 9.095070e-001  7.345600e+000  8.280050e-002
 9.122430e-001  7.140740e+000  8.148170e-002
 9.149780e-001  7.185730e+000  8.190560e-002
 9.177130e-001  7.227990e+000  8.251160e-002
 9.204480e-001  7.134130e+000  8.182600e-002
 9.231830e-001  7.040690e+000  8.095080e-002
 9.259180e-001  7.057670e+000  8.245990e-002
 9.286530e-001  6.961880e+000  8.130270e-002
 9.313880e-001  6.745660e+000  7.940360e-002
 9.341230e-001  6.883090e+000  8.154150e-002
 9.368580e-001  6.843900e+000  8.125270e-002
 9.395930e-001  6.931600e+000  8.181180e-002
