 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.565583E+00  0.110860E+02  0.124213E+00
  0.568317E+00  0.110197E+02  0.124672E+00
  0.571051E+00  0.111518E+02  0.123109E+00
  0.573785E+00  0.109887E+02  0.122486E+00
  0.576519E+00  0.109243E+02  0.122399E+00
  0.579253E+00  0.108181E+02  0.123040E+00
  0.581987E+00  0.107769E+02  0.121486E+00
  0.584721E+00  0.107095E+02  0.122195E+00
  0.587455E+00  0.106919E+02  0.121643E+00
  0.590189E+00  0.106685E+02  0.121004E+00
  0.592923E+00  0.106426E+02  0.122538E+00
  0.595657E+00  0.106655E+02  0.119833E+00
  0.598391E+00  0.103667E+02  0.119345E+00
  0.601125E+00  0.104225E+02  0.120244E+00
  0.603859E+00  0.104139E+02  0.119430E+00
  0.606593E+00  0.103423E+02  0.118257E+00
  0.609328E+00  0.102356E+02  0.119369E+00
  0.612062E+00  0.996591E+01  0.117337E+00
  0.614796E+00  0.102410E+02  0.119469E+00
  0.617530E+00  0.100334E+02  0.116474E+00
  0.620264E+00  0.101134E+02  0.118575E+00
  0.622998E+00  0.986112E+01  0.116914E+00
  0.625732E+00  0.978365E+01  0.116631E+00
  0.628466E+00  0.977501E+01  0.115012E+00
  0.631200E+00  0.962368E+01  0.114357E+00
  0.633934E+00  0.966504E+01  0.116585E+00
  0.636668E+00  0.966913E+01  0.115246E+00
  0.639402E+00  0.974307E+01  0.114901E+00
  0.642136E+00  0.945231E+01  0.113045E+00
  0.644870E+00  0.959636E+01  0.113988E+00
  0.647604E+00  0.955886E+01  0.115121E+00
  0.650338E+00  0.938208E+01  0.113578E+00
  0.653072E+00  0.932787E+01  0.111517E+00
  0.655806E+00  0.932049E+01  0.114292E+00
  0.658540E+00  0.925671E+01  0.111056E+00
  0.661274E+00  0.918743E+01  0.113854E+00
  0.664008E+00  0.883428E+01  0.109510E+00
  0.666742E+00  0.908210E+01  0.110966E+00
  0.669476E+00  0.891287E+01  0.110759E+00
  0.672211E+00  0.888930E+01  0.110345E+00
  0.674945E+00  0.893457E+01  0.111429E+00
  0.677679E+00  0.898565E+01  0.108913E+00
  0.680413E+00  0.865753E+01  0.110508E+00
  0.683147E+00  0.860994E+01  0.109882E+00
  0.685881E+00  0.882937E+01  0.109330E+00
  0.688615E+00  0.870999E+01  0.109850E+00
  0.691349E+00  0.856344E+01  0.108043E+00
  0.694083E+00  0.835801E+01  0.107622E+00
  0.696817E+00  0.841696E+01  0.107239E+00
  0.699551E+00  0.841815E+01  0.105858E+00
  0.702285E+00  0.834159E+01  0.107256E+00
  0.705019E+00  0.823605E+01  0.107180E+00
