Sample description: m7_hsa
Sample: m7_hsa  c= .0000 mg/ml  Code: m7_hsa
Parent(s): C:/Users/jeffries/AppData/Local/Temp/qt_temp.Yd7788 C:/Users/jeffries/AppData/Local/Temp/qt_temp.cd7788
 9.552380e-001  4.093940e+001  3.038388e+000
 9.578730e-001  4.147130e+001  3.020096e+000
 9.605080e-001  4.443870e+001  3.047483e+000
 9.631420e-001  4.968970e+001  3.019436e+000
 9.657770e-001  4.671360e+001  3.065290e+000
 9.684110e-001  4.300220e+001  3.073258e+000
 9.710460e-001  3.985220e+001  2.994852e+000
 9.736810e-001  3.939550e+001  2.966303e+000
 9.763150e-001  4.473810e+001  2.923379e+000
 9.789500e-001  3.970290e+001  2.931853e+000
 9.815850e-001  4.193100e+001  2.897681e+000
 9.842190e-001  3.959850e+001  2.867875e+000
 9.868540e-001  4.272880e+001  2.876258e+000
 9.894890e-001  4.223680e+001  2.849091e+000
 9.921230e-001  4.041170e+001  2.865452e+000
 9.947580e-001  3.789660e+001  2.821686e+000
 9.973930e-001  3.995950e+001  2.823944e+000
 1.000030e+000  3.580300e+001  2.803907e+000
 1.002660e+000  3.370030e+001  2.800726e+000
 1.005300e+000  3.409600e+001  2.783245e+000
 1.007930e+000  2.831240e+001  2.764358e+000
 1.010570e+000  3.468680e+001  2.795861e+000
 1.013200e+000  3.464670e+001  2.761355e+000
 1.015840e+000  2.854280e+001  2.753087e+000
 1.018470e+000  3.323920e+001  2.753445e+000
 1.021100e+000  3.284750e+001  2.740299e+000
 1.023740e+000  3.216360e+001  2.749390e+000
 1.026370e+000  3.541250e+001  2.720737e+000
 1.029010e+000  2.728560e+001  2.740827e+000
 1.031640e+000  3.465170e+001  2.716851e+000
 1.034280e+000  3.055470e+001  2.712342e+000
 1.036910e+000  3.223610e+001  2.724279e+000
 1.039550e+000  3.122660e+001  2.681447e+000
 1.042180e+000  3.374940e+001  2.712222e+000
 1.044820e+000  2.955960e+001  2.693518e+000
 1.047450e+000  3.391760e+001  2.691721e+000
 1.050090e+000  2.845120e+001  2.686341e+000
 1.052720e+000  3.085600e+001  2.663918e+000
 1.055360e+000  2.993470e+001  2.671169e+000
 1.057990e+000  3.236450e+001  2.666480e+000
 1.060620e+000  2.710380e+001  2.658593e+000
 1.063260e+000  2.459840e+001  2.640950e+000
 1.065890e+000  2.494790e+001  2.626786e+000
 1.068530e+000  2.457920e+001  2.632366e+000
 1.071160e+000  2.513650e+001  2.617359e+000
 1.073800e+000  2.389950e+001  2.634104e+000
 1.076430e+000  2.612870e+001  2.621869e+000
 1.079070e+000  2.602570e+001  2.596331e+000
 1.081700e+000  2.400920e+001  2.615629e+000
 1.084340e+000  2.469460e+001  2.590148e+000
 1.086970e+000  2.179030e+001  2.603199e+000
 1.089610e+000  1.925170e+001  2.594017e+000
 1.092240e+000  2.806670e+001  2.593667e+000
 1.094870e+000  2.573840e+001  2.586853e+000
 1.097510e+000  2.316240e+001  2.572402e+000
 1.100140e+000  2.426870e+001  2.592059e+000
 1.102780e+000  2.752030e+001  2.585002e+000
 1.105410e+000  2.255040e+001  2.555865e+000
 1.108050e+000  1.810960e+001  2.548686e+000
 1.110680e+000  2.176000e+001  2.563018e+000
 1.113320e+000  2.103890e+001  2.588550e+000
 1.115950e+000  2.061010e+001  2.549183e+000
 1.118590e+000  1.857450e+001  2.556943e+000
 1.121220e+000  2.350760e+001  2.561917e+000
 1.123860e+000  2.196920e+001  2.561030e+000
 1.126490e+000  2.191200e+001  2.555661e+000
 1.129130e+000  1.929550e+001  2.531241e+000
 1.131760e+000  2.221150e+001  2.539893e+000
 1.134390e+000  2.381210e+001  2.535827e+000
 1.137030e+000  2.203690e+001  2.539340e+000
 1.139660e+000  2.566730e+001  2.530782e+000
 1.142300e+000  1.824930e+001  2.518590e+000
 1.144930e+000  2.064050e+001  2.543819e+000
 1.147570e+000  1.839920e+001  2.510563e+000
 1.150200e+000  1.814610e+001  2.512588e+000
 1.152840e+000  1.757010e+001  2.506181e+000
 1.155470e+000  1.788760e+001  2.503988e+000
 1.158110e+000  1.686360e+001  2.517537e+000
 1.160740e+000  1.372990e+001  2.472645e+000
 1.163380e+000  1.943690e+001  2.504119e+000
 1.166010e+000  1.993200e+001  2.484750e+000
 1.168650e+000  1.952700e+001  2.488455e+000
 1.171280e+000  1.875350e+001  2.490386e+000
 1.173910e+000  1.749390e+001  2.470199e+000
 1.176550e+000  1.267130e+001  2.482954e+000
 1.179180e+000  1.765440e+001  2.471333e+000
 1.181820e+000  1.334070e+001  2.477330e+000
 1.184450e+000  2.107360e+001  2.467181e+000
 1.187090e+000  1.578980e+001  2.453796e+000
 1.189720e+000  1.180030e+001  2.461934e+000
 1.192360e+000  1.914900e+001  2.448546e+000
